"ID","Sets","N_Sets","Size"
"000010","PCCL3_6h",1,1408
"100000","MIN6_6h",1,1314
"000001","QGP1_6h",1,1251
"000100","GLUTag_6h",1,808
"010000","aTC1_6h",1,606
"000011","PCCL3_6h, QGP1_6h",2,294
"100100","MIN6_6h, GLUTag_6h",2,229
"010100","aTC1_6h, GLUTag_6h",2,207
"110000","MIN6_6h, aTC1_6h",2,196
"110100","MIN6_6h, aTC1_6h, GLUTag_6h",3,165
"001000","MGN3_6h",1,155
"100010","MIN6_6h, PCCL3_6h",2,151
"100001","MIN6_6h, QGP1_6h",2,140
"010010","aTC1_6h, PCCL3_6h",2,112
"000110","GLUTag_6h, PCCL3_6h",2,103
"000101","GLUTag_6h, QGP1_6h",2,90
"010001","aTC1_6h, QGP1_6h",2,89
"111100","MIN6_6h, aTC1_6h, MGN3_6h, GLUTag_6h",4,83
"011000","aTC1_6h, MGN3_6h",2,55
"010110","aTC1_6h, GLUTag_6h, PCCL3_6h",3,51
"100110","MIN6_6h, GLUTag_6h, PCCL3_6h",3,48
"100011","MIN6_6h, PCCL3_6h, QGP1_6h",3,47
"010011","aTC1_6h, PCCL3_6h, QGP1_6h",3,45
"111000","MIN6_6h, aTC1_6h, MGN3_6h",3,44
"101000","MIN6_6h, MGN3_6h",2,43
"110101","MIN6_6h, aTC1_6h, GLUTag_6h, QGP1_6h",4,40
"100101","MIN6_6h, GLUTag_6h, QGP1_6h",3,39
"110010","MIN6_6h, aTC1_6h, PCCL3_6h",3,37
"110001","MIN6_6h, aTC1_6h, QGP1_6h",3,36
"000111","GLUTag_6h, PCCL3_6h, QGP1_6h",3,33
"101100","MIN6_6h, MGN3_6h, GLUTag_6h",3,33
"011100","aTC1_6h, MGN3_6h, GLUTag_6h",3,32
"111101","MIN6_6h, aTC1_6h, MGN3_6h, GLUTag_6h, QGP1_6h",5,32
"010111","aTC1_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",4,31
"110110","MIN6_6h, aTC1_6h, GLUTag_6h, PCCL3_6h",4,30
"110111","MIN6_6h, aTC1_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",5,28
"111111","MIN6_6h, aTC1_6h, MGN3_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",6,27
"001001","MGN3_6h, QGP1_6h",2,26
"010101","aTC1_6h, GLUTag_6h, QGP1_6h",3,26
"111110","MIN6_6h, aTC1_6h, MGN3_6h, GLUTag_6h, PCCL3_6h",5,26
"001010","MGN3_6h, PCCL3_6h",2,23
"001100","MGN3_6h, GLUTag_6h",2,21
"110011","MIN6_6h, aTC1_6h, PCCL3_6h, QGP1_6h",4,16
"011111","aTC1_6h, MGN3_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",5,14
"011001","aTC1_6h, MGN3_6h, QGP1_6h",3,11
"011010","aTC1_6h, MGN3_6h, PCCL3_6h",3,11
"100111","MIN6_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",4,11
"111010","MIN6_6h, aTC1_6h, MGN3_6h, PCCL3_6h",4,11
"111001","MIN6_6h, aTC1_6h, MGN3_6h, QGP1_6h",4,9
"001011","MGN3_6h, PCCL3_6h, QGP1_6h",3,8
"101010","MIN6_6h, MGN3_6h, PCCL3_6h",3,8
"001110","MGN3_6h, GLUTag_6h, PCCL3_6h",3,7
"101110","MIN6_6h, MGN3_6h, GLUTag_6h, PCCL3_6h",4,7
"001101","MGN3_6h, GLUTag_6h, QGP1_6h",3,6
"101011","MIN6_6h, MGN3_6h, PCCL3_6h, QGP1_6h",4,6
"101101","MIN6_6h, MGN3_6h, GLUTag_6h, QGP1_6h",4,6
"011011","aTC1_6h, MGN3_6h, PCCL3_6h, QGP1_6h",4,5
"011110","aTC1_6h, MGN3_6h, GLUTag_6h, PCCL3_6h",4,5
"101001","MIN6_6h, MGN3_6h, QGP1_6h",3,5
"001111","MGN3_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",4,4
"101111","MIN6_6h, MGN3_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",5,4
"111011","MIN6_6h, aTC1_6h, MGN3_6h, PCCL3_6h, QGP1_6h",5,4
"011101","aTC1_6h, MGN3_6h, GLUTag_6h, QGP1_6h",4,1
