"ID","Sets","N_Sets","Size"
"010001000100","MIN6_24h, MGN3_24h, PCCL3_24h",3,13
"000000101100","GLUTag_6h, PCCL3_6h, PCCL3_24h",3,12
"000100001100","aTC1_24h, PCCL3_6h, PCCL3_24h",3,12
"001000101000","aTC1_6h, GLUTag_6h, PCCL3_6h",3,12
"001100000001","aTC1_6h, aTC1_24h, QGP1_24h",3,12
"010100001000","MIN6_24h, aTC1_24h, PCCL3_6h",3,12
"000000010011","GLUTag_24h, QGP1_6h, QGP1_24h",3,11
"000000011000","GLUTag_24h, PCCL3_6h",2,11
"001010000000","aTC1_6h, MGN3_6h",2,11
"001100001100","aTC1_6h, aTC1_24h, PCCL3_6h, PCCL3_24h",4,11
"010001000011","MIN6_24h, MGN3_24h, QGP1_6h, QGP1_24h",4,11
"010011000000","MIN6_24h, MGN3_6h, MGN3_24h",3,11
"010100000001","MIN6_24h, aTC1_24h, QGP1_24h",3,11
"011100000011","MIN6_24h, aTC1_6h, aTC1_24h, QGP1_6h, QGP1_24h",5,11
"100000001001","MIN6_6h, PCCL3_6h, QGP1_24h",3,11
"100000110000","MIN6_6h, GLUTag_6h, GLUTag_24h",3,11
"100010000000","MIN6_6h, MGN3_6h",2,11
"111011100000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h",6,11
"111101110011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",9,11
"111111110000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h",8,11
"000100000010","aTC1_24h, QGP1_6h",2,10
"001000000001","aTC1_6h, QGP1_24h",2,10
"001000110000","aTC1_6h, GLUTag_6h, GLUTag_24h",3,10
"010000000101","MIN6_24h, PCCL3_24h, QGP1_24h",3,10
"101100100000","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_6h",4,10
