"ID","Sets","N_Sets","Size"
"011100011000","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_24h, PCCL3_6h",5,3
"011100100001","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, QGP1_24h",5,3
"011100101100","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",6,3
"011100111100","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",7,3
"011100111111","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",9,3
"011101000001","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, QGP1_24h",5,3
"011101000010","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, QGP1_6h",5,3
"011101011111","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",9,3
"011101100011","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",7,3
"011101110001","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",7,3
"100000000111","MIN6_6h, PCCL3_24h, QGP1_6h, QGP1_24h",4,3
"100000001010","MIN6_6h, PCCL3_6h, QGP1_6h",3,3
"100000001110","MIN6_6h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,3
"100000001111","MIN6_6h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,3
"100000010001","MIN6_6h, GLUTag_24h, QGP1_24h",3,3
"100000011000","MIN6_6h, GLUTag_24h, PCCL3_6h",3,3
"100001001000","MIN6_6h, MGN3_24h, PCCL3_6h",3,3
"100001001100","MIN6_6h, MGN3_24h, PCCL3_6h, PCCL3_24h",4,3
"100100000001","MIN6_6h, aTC1_24h, QGP1_24h",3,3
"100111000000","MIN6_6h, aTC1_24h, MGN3_6h, MGN3_24h",4,3
"101000110000","MIN6_6h, aTC1_6h, GLUTag_6h, GLUTag_24h",4,3
"101010101000","MIN6_6h, aTC1_6h, MGN3_6h, GLUTag_6h, PCCL3_6h",5,3
"101100110011","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",7,3
"101101000000","MIN6_6h, aTC1_6h, aTC1_24h, MGN3_24h",4,3
"101111000000","MIN6_6h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h",5,3
"110000000100","MIN6_6h, MIN6_24h, PCCL3_24h",3,3
"110000001001","MIN6_6h, MIN6_24h, PCCL3_6h, QGP1_24h",4,3
"110000001010","MIN6_6h, MIN6_24h, PCCL3_6h, QGP1_6h",4,3
"110000010001","MIN6_6h, MIN6_24h, GLUTag_24h, QGP1_24h",4,3
"110001001111","MIN6_6h, MIN6_24h, MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",7,3
"110001100000","MIN6_6h, MIN6_24h, MGN3_24h, GLUTag_6h",4,3
"110011000001","MIN6_6h, MIN6_24h, MGN3_6h, MGN3_24h, QGP1_24h",5,3
"110100000001","MIN6_6h, MIN6_24h, aTC1_24h, QGP1_24h",4,3
"110100000011","MIN6_6h, MIN6_24h, aTC1_24h, QGP1_6h, QGP1_24h",5,3
"110101010000","MIN6_6h, MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h",5,3
"111010000000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h",4,3
"111010101000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, GLUTag_6h, PCCL3_6h",6,3
"111011110000","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h",7,3
"111100001011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, PCCL3_6h, QGP1_6h, QGP1_24h",7,3
"111100100001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, QGP1_24h",6,3
"111100100011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, QGP1_6h, QGP1_24h",7,3
"111100100100","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_24h",6,3
"111100101010","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, QGP1_6h",7,3
"111101100011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",8,3
"111101110100","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_24h",8,3
"111111000100","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, PCCL3_24h",7,3
"111111010001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_24h, QGP1_24h",8,3
"111111110001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",9,3
"111111110010","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_6h",9,3
"111111111000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h",9,3
"000000010100","GLUTag_24h, PCCL3_24h",2,2
"000000011001","GLUTag_24h, PCCL3_6h, QGP1_24h",3,2
"000000100101","GLUTag_6h, PCCL3_24h, QGP1_24h",3,2
"000000101010","GLUTag_6h, PCCL3_6h, QGP1_6h",3,2
"000001001011","MGN3_24h, PCCL3_6h, QGP1_6h, QGP1_24h",4,2
"000001010001","MGN3_24h, GLUTag_24h, QGP1_24h",3,2
"000001010010","MGN3_24h, GLUTag_24h, QGP1_6h",3,2
"000001010111","MGN3_24h, GLUTag_24h, PCCL3_24h, QGP1_6h, QGP1_24h",5,2
"000001011000","MGN3_24h, GLUTag_24h, PCCL3_6h",3,2
"000001101100","MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",4,2
"000001111111","MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",7,2
"000010001100","MGN3_6h, PCCL3_6h, PCCL3_24h",3,2
"000010100011","MGN3_6h, GLUTag_6h, QGP1_6h, QGP1_24h",4,2
"000011001010","MGN3_6h, MGN3_24h, PCCL3_6h, QGP1_6h",4,2
"000011001111","MGN3_6h, MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,2
"000011100010","MGN3_6h, MGN3_24h, GLUTag_6h, QGP1_6h",4,2
"000100001110","aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,2
"000100100011","aTC1_24h, GLUTag_6h, QGP1_6h, QGP1_24h",4,2
"000100110000","aTC1_24h, GLUTag_6h, GLUTag_24h",3,2
"000101000001","aTC1_24h, MGN3_24h, QGP1_24h",3,2
"000101001000","aTC1_24h, MGN3_24h, PCCL3_6h",3,2
"000101100000","aTC1_24h, MGN3_24h, GLUTag_6h",3,2
"000110100000","aTC1_24h, MGN3_6h, GLUTag_6h",3,2
"000111000011","aTC1_24h, MGN3_6h, MGN3_24h, QGP1_6h, QGP1_24h",5,2
"001000001101","aTC1_6h, PCCL3_6h, PCCL3_24h, QGP1_24h",4,2
"001000010001","aTC1_6h, GLUTag_24h, QGP1_24h",3,2
"001000100011","aTC1_6h, GLUTag_6h, QGP1_6h, QGP1_24h",4,2
"001000100100","aTC1_6h, GLUTag_6h, PCCL3_24h",3,2
"001001000001","aTC1_6h, MGN3_24h, QGP1_24h",3,2
"001001000011","aTC1_6h, MGN3_24h, QGP1_6h, QGP1_24h",4,2
"001001011000","aTC1_6h, MGN3_24h, GLUTag_24h, PCCL3_6h",4,2
"001010000001","aTC1_6h, MGN3_6h, QGP1_24h",3,2
"001010000100","aTC1_6h, MGN3_6h, PCCL3_24h",3,2
"001010100001","aTC1_6h, MGN3_6h, GLUTag_6h, QGP1_24h",4,2
"001011000100","aTC1_6h, MGN3_6h, MGN3_24h, PCCL3_24h",4,2
"001011101011","aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",7,2
"001011101110","aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h",7,2
"001011110000","aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h",5,2
"001100000100","aTC1_6h, aTC1_24h, PCCL3_24h",3,2
"001100001001","aTC1_6h, aTC1_24h, PCCL3_6h, QGP1_24h",4,2
"001100001111","aTC1_6h, aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,2
"001100010001","aTC1_6h, aTC1_24h, GLUTag_24h, QGP1_24h",4,2
"001100010011","aTC1_6h, aTC1_24h, GLUTag_24h, QGP1_6h, QGP1_24h",5,2
"001100011100","aTC1_6h, aTC1_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h",5,2
"001100101010","aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, QGP1_6h",5,2
"001101000100","aTC1_6h, aTC1_24h, MGN3_24h, PCCL3_24h",4,2
"001101001000","aTC1_6h, aTC1_24h, MGN3_24h, PCCL3_6h",4,2
"001111000011","aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, QGP1_6h, QGP1_24h",6,2
"001111100000","aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h",5,2
"010000000110","MIN6_24h, PCCL3_24h, QGP1_6h",3,2
"010000010001","MIN6_24h, GLUTag_24h, QGP1_24h",3,2
"010000010010","MIN6_24h, GLUTag_24h, QGP1_6h",3,2
"010000010011","MIN6_24h, GLUTag_24h, QGP1_6h, QGP1_24h",4,2
"010000011100","MIN6_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h",4,2
"010000100111","MIN6_24h, GLUTag_6h, PCCL3_24h, QGP1_6h, QGP1_24h",5,2
"010000101010","MIN6_24h, GLUTag_6h, PCCL3_6h, QGP1_6h",4,2
"010000101100","MIN6_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",4,2
"010000110011","MIN6_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",5,2
"010001001011","MIN6_24h, MGN3_24h, PCCL3_6h, QGP1_6h, QGP1_24h",5,2
"010001001111","MIN6_24h, MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,2
"010001011000","MIN6_24h, MGN3_24h, GLUTag_24h, PCCL3_6h",4,2
"010001011001","MIN6_24h, MGN3_24h, GLUTag_24h, PCCL3_6h, QGP1_24h",5,2
"010001100100","MIN6_24h, MGN3_24h, GLUTag_6h, PCCL3_24h",4,2
"010010000000","MIN6_24h, MGN3_6h",2,2
"010010000011","MIN6_24h, MGN3_6h, QGP1_6h, QGP1_24h",4,2
"010100001110","MIN6_24h, aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",5,2
"010100011100","MIN6_24h, aTC1_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h",5,2
"010100110000","MIN6_24h, aTC1_24h, GLUTag_6h, GLUTag_24h",4,2
"010101000011","MIN6_24h, aTC1_24h, MGN3_24h, QGP1_6h, QGP1_24h",5,2
"010101001000","MIN6_24h, aTC1_24h, MGN3_24h, PCCL3_6h",4,2
"011000000001","MIN6_24h, aTC1_6h, QGP1_24h",3,2
"011000001011","MIN6_24h, aTC1_6h, PCCL3_6h, QGP1_6h, QGP1_24h",5,2
"011000101100","MIN6_24h, aTC1_6h, GLUTag_6h, PCCL3_6h, PCCL3_24h",5,2
"011000111100","MIN6_24h, aTC1_6h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",6,2
"011001000011","MIN6_24h, aTC1_6h, MGN3_24h, QGP1_6h, QGP1_24h",5,2
"011001000100","MIN6_24h, aTC1_6h, MGN3_24h, PCCL3_24h",4,2
"011010100000","MIN6_24h, aTC1_6h, MGN3_6h, GLUTag_6h",4,2
"011100000001","MIN6_24h, aTC1_6h, aTC1_24h, QGP1_24h",4,2
"011100100010","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, QGP1_6h",5,2
"011100110000","MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h",5,2
"011101001000","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, PCCL3_6h",5,2
"011101011100","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h",7,2
"011101111100","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",8,2
"011101111110","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",9,2
"011111000000","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h",5,2
"011111100000","MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h",6,2
"100000000110","MIN6_6h, PCCL3_24h, QGP1_6h",3,2
"100000001101","MIN6_6h, PCCL3_6h, PCCL3_24h, QGP1_24h",4,2
"100000011111","MIN6_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,2
"100000100100","MIN6_6h, GLUTag_6h, PCCL3_24h",3,2
"100000101001","MIN6_6h, GLUTag_6h, PCCL3_6h, QGP1_24h",4,2
"100000101011","MIN6_6h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",5,2
"100000111100","MIN6_6h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",5,2
"100001000010","MIN6_6h, MGN3_24h, QGP1_6h",3,2
"100001000100","MIN6_6h, MGN3_24h, PCCL3_24h",3,2
"100001010000","MIN6_6h, MGN3_24h, GLUTag_24h",3,2
"100001100001","MIN6_6h, MGN3_24h, GLUTag_6h, QGP1_24h",4,2
"100010001111","MIN6_6h, MGN3_6h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,2
"100010100001","MIN6_6h, MGN3_6h, GLUTag_6h, QGP1_24h",4,2
"100010100100","MIN6_6h, MGN3_6h, GLUTag_6h, PCCL3_24h",4,2
"100010101000","MIN6_6h, MGN3_6h, GLUTag_6h, PCCL3_6h",4,2
"100010110000","MIN6_6h, MGN3_6h, GLUTag_6h, GLUTag_24h",4,2
"100011000001","MIN6_6h, MGN3_6h, MGN3_24h, QGP1_24h",4,2
"100100000011","MIN6_6h, aTC1_24h, QGP1_6h, QGP1_24h",4,2
"100100101000","MIN6_6h, aTC1_24h, GLUTag_6h, PCCL3_6h",4,2
"100101000100","MIN6_6h, aTC1_24h, MGN3_24h, PCCL3_24h",4,2
"101000000011","MIN6_6h, aTC1_6h, QGP1_6h, QGP1_24h",4,2
"101000001100","MIN6_6h, aTC1_6h, PCCL3_6h, PCCL3_24h",4,2
"101000010000","MIN6_6h, aTC1_6h, GLUTag_24h",3,2
"101000100010","MIN6_6h, aTC1_6h, GLUTag_6h, QGP1_6h",4,2
"101000100100","MIN6_6h, aTC1_6h, GLUTag_6h, PCCL3_24h",4,2
"101000110011","MIN6_6h, aTC1_6h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",6,2
"101001100000","MIN6_6h, aTC1_6h, MGN3_24h, GLUTag_6h",4,2
"101011000000","MIN6_6h, aTC1_6h, MGN3_6h, MGN3_24h",4,2
"101011100000","MIN6_6h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h",5,2
"101011101000","MIN6_6h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h",6,2
"101011101100","MIN6_6h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",7,2
"101100001100","MIN6_6h, aTC1_6h, aTC1_24h, PCCL3_6h, PCCL3_24h",5,2
"101100010000","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_24h",4,2
"101100101000","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h",5,2
"101100101011","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",7,2
"101100101100","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",6,2
"101100110000","MIN6_6h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h",5,2
"101101110000","MIN6_6h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h",6,2
"101110100000","MIN6_6h, aTC1_6h, aTC1_24h, MGN3_6h, GLUTag_6h",5,2
"101111101100","MIN6_6h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",8,2
"110000001101","MIN6_6h, MIN6_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",5,2
"110000101100","MIN6_6h, MIN6_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h",5,2
"110000110100","MIN6_6h, MIN6_24h, GLUTag_6h, GLUTag_24h, PCCL3_24h",5,2
"110001000100","MIN6_6h, MIN6_24h, MGN3_24h, PCCL3_24h",4,2
"110001001001","MIN6_6h, MIN6_24h, MGN3_24h, PCCL3_6h, QGP1_24h",5,2
"110001001011","MIN6_6h, MIN6_24h, MGN3_24h, PCCL3_6h, QGP1_6h, QGP1_24h",6,2
"110001010000","MIN6_6h, MIN6_24h, MGN3_24h, GLUTag_24h",4,2
"110001110011","MIN6_6h, MIN6_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",7,2
"110010000000","MIN6_6h, MIN6_24h, MGN3_6h",3,2
"110010000100","MIN6_6h, MIN6_24h, MGN3_6h, PCCL3_24h",4,2
"110010100000","MIN6_6h, MIN6_24h, MGN3_6h, GLUTag_6h",4,2
"110010101000","MIN6_6h, MIN6_24h, MGN3_6h, GLUTag_6h, PCCL3_6h",5,2
"110011110000","MIN6_6h, MIN6_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h",6,2
"110011110001","MIN6_6h, MIN6_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",7,2
"110100000010","MIN6_6h, MIN6_24h, aTC1_24h, QGP1_6h",4,2
"110100001100","MIN6_6h, MIN6_24h, aTC1_24h, PCCL3_6h, PCCL3_24h",5,2
"110100001111","MIN6_6h, MIN6_24h, aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",7,2
"110100010000","MIN6_6h, MIN6_24h, aTC1_24h, GLUTag_24h",4,2
"110100010010","MIN6_6h, MIN6_24h, aTC1_24h, GLUTag_24h, QGP1_6h",5,2
"110100011101","MIN6_6h, MIN6_24h, aTC1_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",7,2
"110100101000","MIN6_6h, MIN6_24h, aTC1_24h, GLUTag_6h, PCCL3_6h",5,2
"110101000001","MIN6_6h, MIN6_24h, aTC1_24h, MGN3_24h, QGP1_24h",5,2
"110101100000","MIN6_6h, MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_6h",5,2
"110101110001","MIN6_6h, MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",7,2
"111000000111","MIN6_6h, MIN6_24h, aTC1_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,2
"111000001000","MIN6_6h, MIN6_24h, aTC1_6h, PCCL3_6h",4,2
"111000001011","MIN6_6h, MIN6_24h, aTC1_6h, PCCL3_6h, QGP1_6h, QGP1_24h",6,2
"111000100001","MIN6_6h, MIN6_24h, aTC1_6h, GLUTag_6h, QGP1_24h",5,2
"111000101000","MIN6_6h, MIN6_24h, aTC1_6h, GLUTag_6h, PCCL3_6h",5,2
"111000101011","MIN6_6h, MIN6_24h, aTC1_6h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",7,2
"111000110000","MIN6_6h, MIN6_24h, aTC1_6h, GLUTag_6h, GLUTag_24h",5,2
"111000110011","MIN6_6h, MIN6_24h, aTC1_6h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",7,2
"111001000011","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_24h, QGP1_6h, QGP1_24h",6,2
"111001111100","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",8,2
"111010100010","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, GLUTag_6h, QGP1_6h",6,2
"111011000100","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, PCCL3_24h",6,2
"111011100011","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",8,2
"111011110001","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",8,2
"111011111011","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, QGP1_6h, QGP1_24h",10,2
"111011111111","MIN6_6h, MIN6_24h, aTC1_6h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",11,2
"111100010010","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_24h, QGP1_6h",6,2
"111100010011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_24h, QGP1_6h, QGP1_24h",7,2
"111100101011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",8,2
"111100110011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",8,2
"111100111111","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",10,2
"111101000011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, QGP1_6h, QGP1_24h",7,2
"111101001011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, PCCL3_6h, QGP1_6h, QGP1_24h",8,2
"111101110001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",8,2
"111101111000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h",8,2
"111101111100","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",9,2
"111110110011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, GLUTag_6h, GLUTag_24h, QGP1_6h, QGP1_24h",9,2
"111111001100","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, PCCL3_6h, PCCL3_24h",8,2
"111111010011","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_24h, QGP1_6h, QGP1_24h",9,2
"111111101000","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h",8,2
"111111111001","MIN6_6h, MIN6_24h, aTC1_6h, aTC1_24h, MGN3_6h, MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h, QGP1_24h",10,2
"000000010111","GLUTag_24h, PCCL3_24h, QGP1_6h, QGP1_24h",4,1
"000000011110","GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",4,1
"000000101001","GLUTag_6h, PCCL3_6h, QGP1_24h",3,1
"000000101101","GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_24h",4,1
"000000111100","GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",4,1
"000000111101","GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",5,1
"000000111110","GLUTag_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",5,1
"000001000110","MGN3_24h, PCCL3_24h, QGP1_6h",3,1
"000001010100","MGN3_24h, GLUTag_24h, PCCL3_24h",3,1
"000001011001","MGN3_24h, GLUTag_24h, PCCL3_6h, QGP1_24h",4,1
"000001011010","MGN3_24h, GLUTag_24h, PCCL3_6h, QGP1_6h",4,1
"000001011100","MGN3_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h",4,1
"000001100010","MGN3_24h, GLUTag_6h, QGP1_6h",3,1
"000001100011","MGN3_24h, GLUTag_6h, QGP1_6h, QGP1_24h",4,1
"000001100100","MGN3_24h, GLUTag_6h, PCCL3_24h",3,1
"000001101011","MGN3_24h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",5,1
"000001101110","MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h",5,1
"000001101111","MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",6,1
"000001110001","MGN3_24h, GLUTag_6h, GLUTag_24h, QGP1_24h",4,1
"000001111000","MGN3_24h, GLUTag_6h, GLUTag_24h, PCCL3_6h",4,1
"000010001010","MGN3_6h, PCCL3_6h, QGP1_6h",3,1
"000010001011","MGN3_6h, PCCL3_6h, QGP1_6h, QGP1_24h",4,1
"000010010011","MGN3_6h, GLUTag_24h, QGP1_6h, QGP1_24h",4,1
"000010010100","MGN3_6h, GLUTag_24h, PCCL3_24h",3,1
"000010011011","MGN3_6h, GLUTag_24h, PCCL3_6h, QGP1_6h, QGP1_24h",5,1
"000010011100","MGN3_6h, GLUTag_24h, PCCL3_6h, PCCL3_24h",4,1
"000010101010","MGN3_6h, GLUTag_6h, PCCL3_6h, QGP1_6h",4,1
"000010110000","MGN3_6h, GLUTag_6h, GLUTag_24h",3,1
"000011000100","MGN3_6h, MGN3_24h, PCCL3_24h",3,1
"000011000101","MGN3_6h, MGN3_24h, PCCL3_24h, QGP1_24h",4,1
"000011001101","MGN3_6h, MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",5,1
"000011001110","MGN3_6h, MGN3_24h, PCCL3_6h, PCCL3_24h, QGP1_6h",5,1
"000011010011","MGN3_6h, MGN3_24h, GLUTag_24h, QGP1_6h, QGP1_24h",5,1
"000011011000","MGN3_6h, MGN3_24h, GLUTag_24h, PCCL3_6h",4,1
"000011011100","MGN3_6h, MGN3_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h",5,1
"000011100001","MGN3_6h, MGN3_24h, GLUTag_6h, QGP1_24h",4,1
"000011101001","MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, QGP1_24h",5,1
"000011101011","MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, QGP1_6h, QGP1_24h",6,1
"000011101110","MGN3_6h, MGN3_24h, GLUTag_6h, PCCL3_6h, PCCL3_24h, QGP1_6h",6,1
