gene_symbol	dmso_24h_n_1	dmso_24h_n_2	dmso_24h_n_3	thapsigargin_6h_n_1	thapsigargin_6h_n_2	thapsigargin_6h_n_3	thapsigargin_24h_n_1	thapsigargin_24h_n_2	thapsigargin_24h_n_3
Xkr4	21.851717496066	17.2322521452058	20.4860854145393	25.6859938502496	19.9948454690538	12.4979021311194	35.7426786405618	29.8375675301256	28.8820543495973
Rp1	0	0	0	0.00809516278774439	0.287571246801964	0.204257585828813	0	0	0
Sox17	0	0	0	0.0192682665914883	3.5277188908195	0.941969770471254	0.151443022333403	0	0
Mrpl15	22.1991955440412	20.5076640844805	19.6919455419602	30.0325587135775	25.661993871228	25.9169893022384	29.7703960767633	27.8760933196655	28.6250925804339
Lypla1	102.995719822987	105.944221294278	100.429834728697	99.3672348478138	95.6208081520904	96.8138927870945	126.59777680756	114.307099914117	117.06068764353
Tcea1	128.686095847805	122.843135162941	124.496545051789	247.824221718004	255.069006041588	254.762654957171	404.532664999167	403.997431001789	402.152954276135
Rgs20	3.19341333175305	3.70012686815013	4.22040584967271	4.61552809341236	7.46448480223916	5.39713383179976	8.03407342712999	5.79993872731244	4.63771350469868
Atp6v1h	115.71312823896	121.099170986459	110.982908058735	115.999401652672	117.408193328197	99.4945574625516	150.19262106348	149.569291159376	152.310794878209
Oprk1	2.44738188675717	1.57229282469787	2.16599314011925	1.81040653978152	1.74065408014238	1.50681465473213	1.30288616728089	1.41401066142685	0.942571581613966
Npbwr1	0	0.0856643415406476	0.0185333238392121	0.042742985748724	2.62799113292865	0	0.335947549542409	0.182556829911712	0
Rb1cc1	44.8783376010294	37.974275564432	43.8751480036515	63.8641719131849	51.8986765498543	51.3018085771922	63.498494539442	65.8957739526612	59.5746981060289
Fam150a	0	0.221169754523126	0.159498908192007	0.183924362918752	2.76425733982125	0	0.401553468308266	0	0
St18	125.738674860679	99.3120045696526	114.859872903072	132.154804400461	103.448999566289	96.8830243820532	82.338939513135	73.1324260702414	72.0339038803809
Pcmtd1	69.24542677766	57.5722794566496	70.2821330075746	59.6753352534052	55.0981156232032	59.3854408760557	63.6121479417056	56.5048106475405	56.7014305401407
Sntg1	21.1300851350499	19.9466977454388	21.8315613123792	23.6862768781156	25.0290522063628	27.0383342343525	17.4211611122113	16.9381666794565	13.6869974071122
Rrs1	17.4119569217221	17.3579379804742	18.5763269421828	25.5820109001875	26.6356710664221	23.8169032628414	23.8212183664466	34.3088285261469	26.5782022890042
Adhfe1	2.47409213002767	1.77330372151578	2.39781888422454	1.70928369387252	3.22834259566254	2.37842309143848	1.69028553279732	1.12726952347204	1.49778946075917
2610203C22Rik	0	0.203227469216431	0.0549598647504989	0	2.25137103821586	1.29928127298969	0.498119820446013	0	0.106376177777545
3110035E14Rik	0	0	0.0644101333050246	0.0990317561244362	0.744189770180933	0.741823719257831	0	0.0264355120816615	0.0207779010563293
Mybl1	51.0836898436348	39.4579444840181	50.5362241919142	70.5445879494776	54.1625832218267	54.4511190919588	44.7948040778297	41.1952636355077	39.9653421679166
Vcpip1	42.6187683859259	34.9071164108774	39.3466742466063	52.7291659938785	48.3241746256781	44.8891597181203	49.8086609051687	51.0736859262641	45.9302525435448
1700034P13Rik	0.56314300284493	0.296373392607295	0.366399098336659	1.63722229080086	3.17501043850955	2.58190509376157	0.507344261565384	0.563922202170384	0.221617037036551
Sgk3	17.9414308357242	15.3071508397358	14.7929561230358	11.6249360856042	12.7372256355892	10.0297720879701	12.2241735651625	11.5431463155296	11.9948604516937
Mcmdc2	0.557696351728198	0.222989012198405	0.509234469515492	0.37087450854122	2.61808627014798	0	0.83670341951142	0.19800229613221	0.648444679460649
Snhg6	34.505733365398	30.6170670991204	39.3401901664935	75.0262272846682	64.1008864207198	70.0116400180923	81.2657397484405	89.4250370168017	79.8860265288994
Snord87	11.3694006250044	11.9670769879811	37.9111661647191	21.3252842411202	8.74102996646179	45.400561321776	41.9026470577896	30.7398564745256	34.0044389909164
Tcf24	25.6557442745438	22.2893768626724	23.2528204071261	18.851756210483	18.7063330391	22.2554411652296	28.2542710753788	27.6185188898093	24.4123530940913
Ppp1r42	1.03225860790342	0.701853534464512	1.1388354776317	1.47738966413863	5.68187153622066	1.6395230189145	0.716781295024603	1.75277344669047	0.367374039758788
Cops5	96.7608563830162	105.375750863772	99.7061702764902	103.314196206448	106.256208244791	117.848265558653	109.323312749354	115.83766245956	113.893927236093
Cspp1	42.0355677819851	23.6950323181867	35.516897438787	45.9213596664893	34.7633612538476	34.5800903447815	32.1743379200122	32.0242792701062	25.9310257203535
Arfgef1	119.970239291195	100.819236989992	114.60852710757	170.815769035323	144.02714982512	141.659283498134	162.18779939011	162.422278871027	151.085404018603
Cpa6	0	0.228238066265618	0.176353174263843	0	1.33368292271788	1.47521487914591	0	0	0.0682671862541458
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	0.133057737784637	0.073505778789397	0.152911932632455	0.232753839799836	1.34914142088353	0.978809581648691	0.277178500248184	0.444332586327976	0.242691159142521
A830018L16Rik	6.21194125179957	5.3163416382671	5.17333833621255	7.69721130097009	8.4237684181795	8.40244231491261	10.0954405910363	8.72672497849455	8.58381869848192
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0.021382822379491	0.123286799518976	1.07806036253029	0	0.129199828428185	0	0
Sulf1	0.0532221436140135	0.234083449071763	0.0984735241160769	0.081109736525642	2.21640699533365	1.38143155337641	0.467499379180932	1.00462554815929	0.422038299889425
