Geneid	KRS7_19_GLUTag_1_DMSO	KRS7_22_GLUTag_2_DMSO	KRS7_25_GLUTag_3_DMSO	KRS7_20_GLUTag_1_Tg6h	KRS7_23_GLUTag_2_Tg6h	KRS7_26_GLUTag_3_Tg6h	KRS7_21_GLUTag_1_Tg24h	KRS7_24_GLUTag_2_Tg24h	KRS7_27_GLUTag_3_Tg24h
Xkr4	6.84470224430161	7.91894183953633	6.4347514599811	7.16545982681968	6.85485459912446	7.93222143275701	6.1321397886718	7.18542294263008	8.42294889537807
Rp1	0.0458007539360165	0.0235784113365703	0.0244684769054235	0.0436302979401775	0.0443536625830723	0.180541067176919	0.0473969574985948	0.0654174338009653	0.278607739704507
Sox17	0	0	0	0	0	0	0.0353241475697073	0	0
Mrpl15	64.2694085179217	65.5855032816855	70.7781329496811	71.8731624917036	76.7583481510344	66.6362787330796	67.3712528547775	55.7916124533458	70.4702607690189
Lypla1	23.1634836285142	22.8613981249396	30.9249384861999	29.2812566618048	21.9433472649185	32.4649487719533	27.2766631602899	34.5355885386805	24.3252284258592
Tcea1	4.34027701749516	5.26813702689459	4.9132762732133	8.84547046901709	7.73648805924016	7.25368111803634	8.79331144487729	10.2390632703452	9.03914770613708
Rgs20	1.12087388572762	1.16755850629314	1.70188895345441	2.13551338722412	1.45574291589079	1.70532812366024	1.41091812611759	1.37625481654096	1.27594269198006
Atp6v1h	128.99709606656	127.981189165719	139.51333249611	78.2040833785669	120.834096656971	114.867424851258	134.938437167255	106.854864095991	131.648736943991
Oprk1	0.736144053706503	0.344518094128677	0.3575233678536	0.669383455142613	0.367243950980678	0.105519686611417	0.207763482006787	0.143377914403472	0
Npbwr1	0.018447958332488	0	0	0	0	0	0	0.0526986125453051	0
Rb1cc1	16.8244384742056	19.010819199155	18.6585072909771	38.112581107018	27.0432435564098	32.474366677365	19.7015211438389	26.2971307796966	20.8748382097763
Fam150a	0	0	0	0	0	0	0	0	0
St18	24.3725124197137	18.933190665997	24.0598012805138	22.7841719799497	12.5382742485803	19.9733595324004	16.8749670537066	16.2186520716117	13.5833061392806
Pcmtd1	18.530810620731	25.7389400260483	22.7506227405434	31.2655631762579	27.0215151648171	29.7803853553417	21.0758522878395	32.321065987775	24.0215140412782
Sntg1	29.8506413777987	33.7581481871824	26.4928243885784	28.3652221577722	33.2154250149507	28.7208686729528	29.8907613918107	35.1493248587967	31.9126321643639
Rrs1	37.9803113219101	37.4595501873192	39.2699757425971	42.5956267579527	43.6979186336317	47.4224999985908	34.3725128055266	35.0509499403594	36.0830530551646
Adhfe1	0.986798062075991	0.698510435845894	0.85667474256375	0.881282438507565	0.318539940369338	0.486229919556019	1.08501330546499	0.880905216524363	1.03171928609325
2610203C22Rik	0.0113401365261554	0.0233517905840667	0.0484666028130831	0.0864219023135989	0.0732122721283477	0.0357611641629166	0.0234707039848871	0.194366048610474	0.0172456211632805
3110035E14Rik	0	0	0	0	0.0187376435511375	0	0	0.0207271815652791	0
Mybl1	117.242148394708	127.7211638359	123.534331933652	184.512212292667	146.082519740738	146.920113686429	133.188326600026	173.415742139731	120.600972859833
Vcpip1	74.3210071977953	75.7943255712662	80.4840214750813	78.5879277229822	86.300728288952	91.7441390556871	77.810716892888	81.9427026638396	74.6886273976616
1700034P13Rik	0.98456042474702	0.443498689425965	0.262994513677342	0.234475750834968	0.595908051711345	0.0970254714760311	0.636795857549147	0.615235389318601	0.327529932093096
Sgk3	7.51611190614547	7.20524098066493	9.89349497565931	6.0475559335808	6.01509587397432	8.93366438864259	8.71414607683255	9.12617804319238	8.7727403538717
Mcmdc2	1.56334946635857	1.75378372542563	1.42108621889668	1.82268101928076	3.01284552369966	2.06031044159249	1.56954026282427	2.59954144721548	1.11776981984308
Snhg6	1.53129913561435	3.83182867664034	1.80184116183189	1.86496150320363	5.11825425614875	2.10884862253154	3.41004181717568	1.52270758856354	3.21306863383327
Snord87	0.176672830124282	0.0363807518669736	0.0755081904503305	0	0.0912484204182999	0.0557138449491273	0.0365660121327049	0.0504685280300414	0.0268676897420118
Tcf24	7.2230181533796	7.61063609205228	7.32091350993054	4.95155041735262	5.60020156358281	6.54596100656013	7.82403507364861	8.38832131556034	7.93037958713469
Ppp1r42	0.103378844598437	0.159659528193347	0.138072119680604	0.29543944605206	0.183539679927094	0.366756282179398	0.0267454260170641	0.0738282467182321	0.157214367404686
Cops5	28.8520504931971	24.9375172604848	32.1207045697776	19.4732223905664	23.7193199100812	22.0736216030975	25.1726199250116	19.323957358059	23.9443609740089
Cspp1	52.0434594382543	50.5223986474838	52.6943733465978	83.8877148569433	59.6256345001844	62.4564921935641	42.7010877025867	61.119000593678	47.8014232399979
Arfgef1	204.053408162677	226.563214593573	226.41998857822	277.536989552878	287.873313754405	296.198202727003	217.355294945962	235.125853290052	227.563892487966
Cpa6	0	0	0	0.016862982080597	0	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	7.39110431007518	6.95712663739702	9.85215545571416	12.425023432096	8.54933131011296	15.7385289315302	12.1666692652392	11.0483626222027	11.432937349231
A830018L16Rik	5.11598175625462	7.09961426597466	8.27074631660538	8.60285764016347	4.85381761595572	11.1179260950284	6.58332084665931	10.6748382959805	8.0846199795504
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0
Sulf1	0.445199722263963	0.333368142387302	0.194598289482731	0.443379481864109	0.509521381127687	0.159538526923675	0.544481827193029	0.375747788107334	0.4923939918715
