Geneid	KRS7_28_MGN3_2_DMSO	KRS7_31_MGN3_3_DMSO	KRS7_34_MGN3_4_DMSO	KRS7_29_MGN3_2_Tg6h	KRS7_32_MGN3_3_Tg6h	KRS7_35_MGN3_4_Tg6h	KRS7_30_MGN3_2_Tg24h	KRS7_33_MGN3_3_Tg24h	KRS7_36_MGN3_4_Tg24h
Xkr4	8.58622263112543	7.44166229409122	7.22178603599985	5.09837121188073	8.73924205743658	7.40356151042297	10.0564176778269	9.48767229979187	10.9154552908384
Rp1	0	0	0	0	0.131866519924607	0	0	0	0.0266369586243872
Sox17	0	0	0	0	0	0	0	0	0
Mrpl15	37.4791972394739	32.1803376573517	44.5796842286871	59.9658506523501	28.3997664579146	49.9279624800776	51.9967771176117	48.8478318072707	31.8197620116589
Lypla1	30.0962424827767	33.4749213021868	26.5053903817106	15.5673660928135	29.1690908765217	15.3239744176164	19.9854501067692	24.8256615960683	26.1551886738928
Tcea1	3.5609095698153	4.65657226533186	3.71470032069522	3.80391781048812	6.78900217741782	3.95361491975701	8.49108191463001	9.31624724172403	12.9243053460796
Rgs20	0.372001925983246	0.854738340652589	0.206021966244389	0.755347093362117	1.23612917998166	0.523427600169791	0.734737067966252	0.474139816235873	0.960667703431701
Atp6v1h	112.01357613465	91.7565926719633	131.970469236172	123.137335737164	111.890655881537	119.126257705987	171.054019794903	178.862444570955	115.576246360758
Oprk1	0	0	0	0	0	0	0	0	0.116762500505174
Npbwr1	0	0	0	0	0	0	0.0353479110248889	0	0
Rb1cc1	21.8075065450181	38.5242179665073	15.8994780999737	19.2242701185005	59.0281239979949	21.143486613801	29.1850706264368	28.8696227141501	76.7935929574101
Fam150a	0	0	0	0	0	0	0.0631028848514706	0	0
St18	17.5564578245635	26.6859367008171	13.4731193012047	12.1136335763324	21.2580562922947	9.49733997379092	3.97267446062991	3.74811016762564	5.006408645129
Pcmtd1	52.2607072799079	65.2393871426442	33.6678931264652	18.8467222651065	52.7114334631326	24.2052738037433	36.4114003912888	42.8299196192502	62.217673999761
Sntg1	0	0	0	0	0	0	0	0	0
Rrs1	22.0864127583234	22.7437410801656	25.1125828885906	34.6203172667394	29.0423530652566	38.8183249310237	44.5061793624984	38.3839249680978	42.7834090485799
Adhfe1	1.56391912209785	1.35544563213805	0.798197403978931	1.44453851003287	0.799066156247689	0.996721712660981	2.65892610260514	1.54427006581719	1.50650162583608
2610203C22Rik	0.123238806111227	0.0498450545876089	0.136281092196271	0.074369889024676	0	0.0862432198954464	0.119507845443738	0.126197488779229	0
3110035E14Rik	0	0	0	0	0	0	0	0	0
Mybl1	85.9492737436483	123.911418176814	66.4500261370716	64.9172801479627	162.709522819109	72.2163114103882	82.8330535150303	84.1713256298345	144.391065059715
Vcpip1	96.4666524028551	91.2603408192669	76.9912931405503	87.9528744703259	143.279111829193	87.5410767594136	117.474200154604	117.856437967127	140.983102720409
1700034P13Rik	0.222910402890526	0	0.341308899660573	0.230602066000713	0.265751404950101	0.526479656147457	0.471626096304868	0.684785919838309	0.429453006393181
Sgk3	12.5808604933205	12.3375673538609	11.6764877382061	9.91531233286564	18.1831943110585	12.5078803157457	8.04374385410326	9.62023055816485	7.36511905964304
Mcmdc2	0	0.102561664340626	0	0	0.0671804927388905	0.0887274399010333	0	0	0.08142251754918
Snhg6	1.3575243536033	2.75478188474532	3.11785679839933	7.91772193613446	3.26475600981199	7.59183664164634	6.2024726990294	5.28483533635216	4.12596975892248
Snord87	0.255998665819588	0.0517704928941613	0.130657313151313	0	0	0.100771496684474	0.0338520684359451	0.34406480054376	0.123299984257417
Tcf24	0.122268019495923	0.049452411122781	0	0.0948652155842484	0	0	0.0646726083552384	0	0
Ppp1r42	0.78018641011684	0.757328353194589	0.525615705477282	1.88863092054583	3.42287809575729	1.69526449279481	0.569488511288128	0.359512607915113	0.751542761188066
Cops5	15.5691867443335	14.0696155317984	20.7884713683059	21.7126604559679	11.6181194100562	20.8730519561727	21.402587437246	22.2230002342137	14.2077025170895
Cspp1	44.7378125034122	93.438411430675	43.070377858537	54.33047853625	105.601599380719	55.9927541760235	44.1220749513981	40.1045342984759	72.4981386888542
Arfgef1	348.386816300386	456.014484724073	309.341139608259	266.986795950824	449.086435447166	299.465812360961	423.05797844036	397.380475656105	545.948533511532
Cpa6	0	0	0	0.0165843951575855	0.0509660228671425	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0
Prex2	43.6393987341055	68.1330099059758	33.0742677883698	27.2228971653084	61.1017120456065	27.381862490286	23.863674411454	24.3930984435861	32.9976438510424
A830018L16Rik	6.90273123836162	6.38763012653469	4.50317926507082	5.83498834216556	8.93382161575284	4.80002722567882	10.3993554235224	9.9013308409408	8.74500085067688
Mir6341	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0
Sulf1	0.122176842747604	0.118597281260898	0.0561212620247251	0.132712262815846	0.203921100442695	0.057712535013927	0.096936571807628	0.0281497567718768	0.0235382520282616
Slco5a1	11.069715596742	7.38522640720482	10.0232196055203	9.30211465226106	8.50583453015372	8.30963345050694	3.80784478891601	3.5799950771345	3.22378948738585
Prdm14	0.0762633729051371	0	0.00973087824866258	0.0197237220919927	0	0.0100067894302659	0.0302541371902319	0.0585707119179004	0
Ncoa2	72.7307698295868	75.0056250550895	59.8930991755153	78.5876085996618	102.350964960992	80.9701373550018	73.9655038195802	70.313920664295	90.0165323546739
Tram1	354.96373048397	309.276524777575	304.069331338147	253.911572131595	370.895589195088	259.767908179135	451.040254533723	512.402631848743	478.915546575465
