gene_set	time_point	cell_line	total_genes	sig_genes	up_genes	down_genes
MIN6_unique_UP_6h	6h	MIN6	16	16	16	0
MIN6_unique_UP_6h	6h	aTC1	16	0	0	0
MIN6_unique_UP_6h	6h	MGN3	16	0	0	0
MIN6_unique_UP_6h	6h	GLUTag	16	0	0	0
MIN6_unique_UP_6h	6h	PCCL3	16	0	0	0
MIN6_unique_UP_6h	6h	QGP1	16	0	0	0
MIN6_unique_UP_6h	24h	MIN6	16	0	0	0
MIN6_unique_UP_6h	24h	aTC1	16	0	0	0
MIN6_unique_UP_6h	24h	MGN3	16	0	0	0
MIN6_unique_UP_6h	24h	GLUTag	16	0	0	0
MIN6_unique_UP_6h	24h	PCCL3	16	0	0	0
MIN6_unique_UP_6h	24h	QGP1	16	1	0	1
aTC1_unique_UP_6h	6h	MIN6	16	0	0	0
aTC1_unique_UP_6h	6h	aTC1	16	16	16	0
aTC1_unique_UP_6h	6h	MGN3	16	0	0	0
aTC1_unique_UP_6h	6h	GLUTag	16	0	0	0
aTC1_unique_UP_6h	6h	PCCL3	16	0	0	0
aTC1_unique_UP_6h	6h	QGP1	16	0	0	0
aTC1_unique_UP_6h	24h	MIN6	16	5	4	1
aTC1_unique_UP_6h	24h	aTC1	16	8	8	0
aTC1_unique_UP_6h	24h	MGN3	16	4	4	0
aTC1_unique_UP_6h	24h	GLUTag	16	1	1	0
aTC1_unique_UP_6h	24h	PCCL3	16	0	0	0
aTC1_unique_UP_6h	24h	QGP1	16	1	0	1
MGN3_unique_UP_6h	6h	MIN6	16	1	1	0
MGN3_unique_UP_6h	6h	aTC1	16	0	0	0
MGN3_unique_UP_6h	6h	MGN3	16	16	16	0
MGN3_unique_UP_6h	6h	GLUTag	16	3	3	0
MGN3_unique_UP_6h	6h	PCCL3	16	0	0	0
MGN3_unique_UP_6h	6h	QGP1	16	0	0	0
MGN3_unique_UP_6h	24h	MIN6	16	0	0	0
MGN3_unique_UP_6h	24h	aTC1	16	0	0	0
MGN3_unique_UP_6h	24h	MGN3	16	10	10	0
MGN3_unique_UP_6h	24h	GLUTag	16	3	3	0
MGN3_unique_UP_6h	24h	PCCL3	16	1	0	1
MGN3_unique_UP_6h	24h	QGP1	16	2	2	0
GLUTag_unique_UP_6h	6h	MIN6	16	1	0	1
GLUTag_unique_UP_6h	6h	aTC1	16	0	0	0
GLUTag_unique_UP_6h	6h	MGN3	16	0	0	0
GLUTag_unique_UP_6h	6h	GLUTag	16	16	16	0
GLUTag_unique_UP_6h	6h	PCCL3	16	0	0	0
GLUTag_unique_UP_6h	6h	QGP1	16	0	0	0
GLUTag_unique_UP_6h	24h	MIN6	16	2	1	1
GLUTag_unique_UP_6h	24h	aTC1	16	0	0	0
GLUTag_unique_UP_6h	24h	MGN3	16	2	2	0
GLUTag_unique_UP_6h	24h	GLUTag	16	9	9	0
GLUTag_unique_UP_6h	24h	PCCL3	16	0	0	0
GLUTag_unique_UP_6h	24h	QGP1	16	0	0	0
PCCL3_unique_UP_6h	6h	MIN6	16	0	0	0
PCCL3_unique_UP_6h	6h	aTC1	16	0	0	0
PCCL3_unique_UP_6h	6h	MGN3	16	0	0	0
PCCL3_unique_UP_6h	6h	GLUTag	16	0	0	0
PCCL3_unique_UP_6h	6h	PCCL3	16	16	16	0
PCCL3_unique_UP_6h	6h	QGP1	16	0	0	0
PCCL3_unique_UP_6h	24h	MIN6	16	5	4	1
PCCL3_unique_UP_6h	24h	aTC1	16	1	1	0
PCCL3_unique_UP_6h	24h	MGN3	16	2	0	2
PCCL3_unique_UP_6h	24h	GLUTag	16	0	0	0
PCCL3_unique_UP_6h	24h	PCCL3	16	11	11	0
PCCL3_unique_UP_6h	24h	QGP1	16	1	1	0
QGP1_unique_UP_6h	6h	MIN6	16	0	0	0
QGP1_unique_UP_6h	6h	aTC1	16	1	0	1
QGP1_unique_UP_6h	6h	MGN3	16	0	0	0
QGP1_unique_UP_6h	6h	GLUTag	16	0	0	0
QGP1_unique_UP_6h	6h	PCCL3	16	0	0	0
QGP1_unique_UP_6h	6h	QGP1	16	16	16	0
QGP1_unique_UP_6h	24h	MIN6	16	4	1	3
QGP1_unique_UP_6h	24h	aTC1	16	1	0	1
QGP1_unique_UP_6h	24h	MGN3	16	2	0	2
QGP1_unique_UP_6h	24h	GLUTag	16	0	0	0
QGP1_unique_UP_6h	24h	PCCL3	16	1	0	1
QGP1_unique_UP_6h	24h	QGP1	16	15	15	0
MIN6_unique_DOWN_6h	6h	MIN6	16	16	0	16
MIN6_unique_DOWN_6h	6h	aTC1	16	0	0	0
MIN6_unique_DOWN_6h	6h	MGN3	16	0	0	0
MIN6_unique_DOWN_6h	6h	GLUTag	16	0	0	0
MIN6_unique_DOWN_6h	6h	PCCL3	16	0	0	0
MIN6_unique_DOWN_6h	6h	QGP1	16	0	0	0
MIN6_unique_DOWN_6h	24h	MIN6	16	12	0	12
MIN6_unique_DOWN_6h	24h	aTC1	16	0	0	0
MIN6_unique_DOWN_6h	24h	MGN3	16	0	0	0
MIN6_unique_DOWN_6h	24h	GLUTag	16	1	0	1
MIN6_unique_DOWN_6h	24h	PCCL3	16	0	0	0
MIN6_unique_DOWN_6h	24h	QGP1	16	1	0	1
aTC1_unique_DOWN_6h	6h	MIN6	16	0	0	0
aTC1_unique_DOWN_6h	6h	aTC1	16	16	0	16
aTC1_unique_DOWN_6h	6h	MGN3	16	0	0	0
aTC1_unique_DOWN_6h	6h	GLUTag	16	0	0	0
aTC1_unique_DOWN_6h	6h	PCCL3	16	0	0	0
aTC1_unique_DOWN_6h	6h	QGP1	16	0	0	0
aTC1_unique_DOWN_6h	24h	MIN6	16	3	0	3
aTC1_unique_DOWN_6h	24h	aTC1	16	10	0	10
aTC1_unique_DOWN_6h	24h	MGN3	16	4	0	4
aTC1_unique_DOWN_6h	24h	GLUTag	16	0	0	0
aTC1_unique_DOWN_6h	24h	PCCL3	16	0	0	0
aTC1_unique_DOWN_6h	24h	QGP1	16	0	0	0
MGN3_unique_DOWN_6h	6h	MIN6	16	0	0	0
MGN3_unique_DOWN_6h	6h	aTC1	16	0	0	0
MGN3_unique_DOWN_6h	6h	MGN3	16	16	0	16
MGN3_unique_DOWN_6h	6h	GLUTag	16	0	0	0
MGN3_unique_DOWN_6h	6h	PCCL3	16	0	0	0
MGN3_unique_DOWN_6h	6h	QGP1	16	0	0	0
MGN3_unique_DOWN_6h	24h	MIN6	16	3	0	3
MGN3_unique_DOWN_6h	24h	aTC1	16	0	0	0
MGN3_unique_DOWN_6h	24h	MGN3	16	14	0	14
MGN3_unique_DOWN_6h	24h	GLUTag	16	0	0	0
MGN3_unique_DOWN_6h	24h	PCCL3	16	1	0	1
MGN3_unique_DOWN_6h	24h	QGP1	16	1	1	0
GLUTag_unique_DOWN_6h	6h	MIN6	16	2	0	2
GLUTag_unique_DOWN_6h	6h	aTC1	16	0	0	0
GLUTag_unique_DOWN_6h	6h	MGN3	16	0	0	0
GLUTag_unique_DOWN_6h	6h	GLUTag	16	16	0	16
GLUTag_unique_DOWN_6h	6h	PCCL3	16	0	0	0
GLUTag_unique_DOWN_6h	6h	QGP1	16	0	0	0
GLUTag_unique_DOWN_6h	24h	MIN6	16	2	0	2
GLUTag_unique_DOWN_6h	24h	aTC1	16	1	0	1
GLUTag_unique_DOWN_6h	24h	MGN3	16	1	0	1
GLUTag_unique_DOWN_6h	24h	GLUTag	16	6	0	6
GLUTag_unique_DOWN_6h	24h	PCCL3	16	1	1	0
GLUTag_unique_DOWN_6h	24h	QGP1	16	0	0	0
PCCL3_unique_DOWN_6h	6h	MIN6	16	1	0	1
PCCL3_unique_DOWN_6h	6h	aTC1	16	1	1	0
PCCL3_unique_DOWN_6h	6h	MGN3	16	0	0	0
PCCL3_unique_DOWN_6h	6h	GLUTag	16	0	0	0
PCCL3_unique_DOWN_6h	6h	PCCL3	16	16	0	16
PCCL3_unique_DOWN_6h	6h	QGP1	16	0	0	0
PCCL3_unique_DOWN_6h	24h	MIN6	16	3	1	2
