genes	logFC_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	FDR_TgvDMSO_6h_QGP1	FDR_TgvDMSO_24h_QGP1	FDR_Tg_24hv6h_QGP1	QGP1_DMSO_24h_1	QGP1_DMSO_24h_2	QGP1_DMSO_24h_3	QGP1_Tg_6h_1	QGP1_Tg_6h_2	QGP1_Tg_6h_3	QGP1_Tg_24h_1	QGP1_Tg_24h_2	QGP1_Tg_24h_3	avg_expression
Aak1	0.835393242899328	1.16152517930692	0.326131936407587	0.0089306341589737	0.00112428056112926	0.294344932127476	26.2137368760704	27.1367655282893	21.1951756905187	37.1005819682596	35.5601666743058	43.1081546324865	53.9212303971596	50.4506036402664	62.444971042439	39.6812651610884
Aasdh	-0.664163885764934	-0.350763913791825	0.313399971973109	0.047764840714952	0.237522827417045	0.401351009174205	6.57905830574817	5.0134331112453	6.08376868997252	2.69311249207793	3.14058772181468	3.86717706163879	3.67590674901187	5.09970414303047	4.99523587892725	4.57199823927411
Aatk	-1.76978337740503	-1.48622712123222	0.283556256172809	0.0275900722973174	0.0391774796216375	0.784455964128458	8.58520239919578	2.32607058521746	4.33062475225984	0.396725876502059	1.74937273856423	1.56348983939985	2.23369808774401	1.61124180161053	1.46874213091155	2.69612980126726
Abca3	-1.07372181423542	-0.284388433405812	0.789333380829612	0.00268683630429666	0.278763413771808	0.0285137216155372	7.56581983398263	4.87412130660085	6.90123189733208	2.34073634933145	2.51967476000298	3.06996813376202	5.96570409684896	4.29747908130841	5.44825611961796	4.77588795319859
Abcc2	-1.26631357616815	-0.808231183744144	0.458082392424005	0.00088267635734163	0.00673009456879538	0.140761541188904	33.840340703412	38.6853475461851	36.1163973013855	9.86219009152398	14.4775046499299	15.2781941063568	20.3230178390747	19.9542952630085	21.8322531155146	23.3743934018212
Abcf3	0.982979823411649	0.70277215536842	-0.28020766804323	0.00142924008570024	0.00617135912042399	0.272764787341839	6.80682264566297	5.58584556027573	6.49654504913548	10.1237272816544	11.7808270403055	10.3868575696919	9.57051763544494	10.101736898193	10.895469305248	9.08314988729021
Abhd10	0.641925660550332	0.433674438655611	-0.208251221894721	0.013979906917969	0.0572369420960317	0.436332099280022	9.76348840960127	10.7068121149983	10.2976969460103	13.8917797221895	13.5557123376441	14.2376371950608	13.7619148278007	13.4909158114707	14.2947299172652	12.6667430313379
Abhd12	-0.84829646266588	-0.556962816708464	0.291333645957416	0.0375127652906531	0.127795372183133	0.525170831796433	349.936238289706	210.848606589191	417.434698832482	98.4929385099884	179.018407311752	194.885751210693	223.594338050477	232.193861111657	201.012924446468	234.157529372491
Abhd18	0.890727513141685	0.815786250964828	-0.0749412621768577	0.00498346646191826	0.00577970402993409	0.828602134925808	14.1362794259077	13.4447605588622	12.3434959586546	20.6162325542325	21.9680681481958	21.4246890832083	24.3757816880156	21.1716821511005	24.3612017803586	19.3157990387262
Acvr2a	-0.696487829577807	-0.667260362672349	0.0292274669054583	0.016543962310906	0.0152621907792976	0.942018675915299	39.7747352013563	36.5754547192814	29.5979636901315	18.9053621978404	17.8613975237539	19.8846765170181	23.31503729582	21.1057886049977	22.1040088686191	25.4582694020909
Adat1	-0.603837989422179	-0.216135350113462	0.387702639308717	0.0122690359816708	0.277792959481284	0.119264165033958	24.5542870782778	23.9385169679622	23.7207496539004	12.0920342985696	13.7444895698141	15.5517213724846	20.4209851626595	20.4926695087902	21.1206661023262	19.5151244127538
Adcy5	-1.43581146194747	-1.15859605790907	0.277215404038405	0.00653030523314479	0.0116168930361296	0.624449506118705	1.9794462556114	1.6019932869892	1.38601767683892	0.321165049785133	0.629415720527756	0.60753884354015	0.684949093245201	0.598577539914035	0.924780860523077	0.970431591886097
Adgrb1	-2.29440016091047	-1.52517890779783	0.769221253112641	0.00947070261146814	0.0311721774731632	0.416810220126557	4.71618066204383	0.903074109606945	2.06981997582268	0.368559662792937	0.487786445783935	0.464795928570212	1.03007051014751	0.820191237798132	0.750817456660034	1.29014399880291
Adgrb2	-1.19281108093443	-0.769117329496475	0.423693751437955	0.040427256164165	0.137098104746605	0.519861702717659	13.8196287575697	4.28055505179011	10.4208687535797	2.0645963931549	4.14048962085596	4.52308105044595	5.73239687809884	4.61810653842497	6.05379720098781	6.18372447165644
Adgrg2	-1.59864081291633	-2.03135127266921	-0.432710459752881	0.0356690342868621	0.00986954589394823	0.672754738860852	1.32369289609656	2.04553425740529	1.00256952878344	0.318407680365712	0.260283021137044	0.708615065618518	0.485733666421801	0.350123469201588	0.184909136394245	0.7422076357138
Adgrg3	3.20524889351101	3.63052258795209	0.42527369444108	0.0129119266811155	0.0029073812921295	0.637580412204457	0.050662096955549	0.0215797564058261	0.00894298514980465	0.0205498063471323	0.263606947939426	0.272114413259611	0.266465710070749	0.342985942424651	0.304314572371485	0.172358025658248
Adgrl4	1.85988446624562	2.02205193778864	0.162167471543018	0.00261042903378081	0.00115358272355317	0.78604835603943	9.36144131413212	4.27830839781068	4.63044909290337	21.9923100468076	14.8201279603438	19.491692794261	29.2081005001649	18.5907664624181	25.089554317625	16.3847500984963
Agl	-0.672900615872909	-0.508071204452977	0.164829411419932	0.0378724407681946	0.0858871843234744	0.660977306323949	24.2324809016857	29.9745914049613	22.4832637182457	15.2788301813089	11.8997305494059	14.6417270073797	17.5992180084803	17.443247561458	19.1137378193816	19.185203016923
Ago4	-0.971423249458788	-0.485875376538884	0.485547872919904	0.00166186958519989	0.0365290136742028	0.0788374202375314	9.72935735663774	8.90736443058351	8.98520764058049	4.30981926198608	4.02447399200415	3.82512749022953	6.30456792510271	6.47319769181151	6.87661664124777	6.60397027002039
Agr2	1.5723109982552	2.54591634738056	0.973605349125362	0.00573949668809319	0.000322336445956545	0.0803534006240197	17.3237363941202	22.4153369827043	26.4690505160536	40.3276932838774	90.1395234738898	42.6855342675849	104.605060378333	141.559943955274	140.814558223388	69.5933819416917
Ahi1	0.967199176221543	0.480586846603066	-0.486612329618477	0.021399302583145	0.182925149774336	0.260872926473758	15.950708182332	19.2117287262345	14.8486278605918	34.8105681110367	20.2804938218701	29.2583695756815	22.0535746050704	21.7688438608258	26.0610178531597	22.6937702885336
Ahr	1.56238970020506	1.30623454678655	-0.256155153418504	0.00212133198042052	0.00394230169063447	0.575372594469702	20.1564566164211	22.2381043537762	17.6100115085044	63.8448604833066	36.5797753551831	52.0236836574492	56.4673056694286	41.7102088859852	50.4931378751764	40.1248382672479
Ahsa2p	-0.745507911833251	-0.265941755615314	0.479566156217937	0.012186250247202	0.275555212478466	0.118235208468579	19.0395942731773	19.8653292658072	21.288080809175	9.84076810462988	10.3918785923968	10.9795319734418	13.7416648447215	18.0193368308019	18.1963917941972	15.7069529431498
Akr1c3	-0.903110242814415	0.260348079997367	1.16345832281178	0.042686706048763	0.529687688140398	0.0321421807000004	297.760719709238	201.4076242046	386.852359167956	82.6016335366996	186.894265975229	143.085378469076	289.937020136766	362.54044126512	395.164163690808	260.693734017277
Aldh6a1	0.622192446051966	0.584536686880569	-0.0376557591713975	0.041920092250204	0.0442241311660075	0.930270681647854	316.781526208007	337.549924199745	231.462082430283	360.475768242982	405.552285355465	419.986906586892	476.205728232859	402.729520449127	447.606062674225	377.594422708843
Alg11	0.684066637486944	0.700409272076614	0.0163426345896699	0.024572845410635	0.0170339954015552	0.970463449565871	1.86794716892734	1.83931978471018	2.20964707289894	2.58793988634972	3.05045278076891	2.61529408894664	3.0152600399564	2.9825165805836	3.61057029746569	2.64210530006749
Alkbh8	0.934039490783596	0.834516424543068	-0.0995230662405287	0.01736217152096	0.0222450834124354	0.832927055383252	4.6439658815885	4.71625194981547	4.27139723225723	9.24999792018816	5.79450919343314	7.35645725643671	7.71338196784301	7.42645282182464	9.09039123386501	6.69586727302799
Ampd2	0.76100188036509	0.198204912921072	-0.562796967444019	0.035974554149143	0.558516425525663	0.155720947312129	3.82450683397153	2.24581493777023	3.08294533884925	3.04389890325715	5.76406318962875	4.64897056600206	3.97226307209354	3.2044106595507	3.20900236423646	3.66620842948441
Ankrd10	1.59923424889087	1.35461304986288	-0.244621199027991	6.84732609239771e-05	0.000130762989745538	0.321412817199309	199.498276297675	147.138147872231	177.791779696253	407.515691448145	483.082235131138	484.959083656209	462.007073300792	449.558534454839	420.135544035039	359.076262876925
Ankrd34c	1.32994915519212	0.770207845828962	-0.559741309363157	0.0105058952094541	0.0809057767201287	0.248005150991756	0.379260445213355	0.422773911778909	0.294855603707232	0.795372439410425	0.829240459655769	0.696566460180593	0.549514766392923	0.786674990296617	0.468550087683084	0.580312129368767
