genes	logFC_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_24h_PCCL3	FDR_Tg_24hv6h_PCCL3	PCCL3_DMSO_24h_1	PCCL3_DMSO_24h_2	PCCL3_DMSO_24h_3	PCCL3_Tg_6h_1	PCCL3_Tg_6h_2	PCCL3_Tg_6h_3	PCCL3_Tg_24h_1	PCCL3_Tg_24h_2	PCCL3_Tg_24h_3	avg_expression
Abca1	-1.08502546036362	-1.61269586406265	-0.527670403699023	0.0257492823822696	0.00689233067305097	0.272144711175799	6241.54980804626	3456.10537650601	4868.92183956186	2138.15163926658	1172.8091403585	2527.47615962867	2019.0722588596	1206.04283356158	1246.35676674494	2764.05398028156
Abcb11	5.29654504499543	5.7154902985568	0.418945253561377	0.0182963042067967	0.0141962637859811	0.747203909367083	0.0384509223944936	0.0153315729264902	0	0.299490134615286	1.67875503392886	0.166262080308542	0.226992376653616	0.53282747500521	2.17057087650753	0.569853385815559
Abcb6	-0.874470787717453	-0.0501111611817246	0.824359626535728	0.00887228555772698	0.904177393425352	0.0215256090133518	41.3372173541691	45.6131364931697	51.4013684717756	21.5910084270796	17.9435664321284	24.3188245853553	40.9165873276239	33.0689506069136	51.5467040109849	36.4152626343556
Abcb9	-7.1671256153599	-4.06307405921733	3.10405155614257	0.00246382252053324	0.00590051414321833	0.368409193593347	1.14800042667614	1.25381861548415	0.647034367454025	0	0	0	0	0.0628783847392549	0.0871426861880825	0.355430497837961
Abcc10	-1.08801776944264	-0.475010505723358	0.613007263719282	0.0410256981392203	0.39953872952067	0.267723986862289	8.76224137124078	10.1830813112296	7.34928961461923	3.62880480411146	1.52236928812888	5.15362076856562	6.97407222733245	5.29479653389791	5.41023447500016	6.03094559934734
Abcd1	-1.31204276518401	0.00576808054392272	1.31781084572794	0.00428336154218082	0.991443183155346	0.00937572844695369	100.144638343517	105.608892760454	66.64081567598	30.5516631594355	25.6261809996686	36.1343689335478	93.8032552694958	92.8523030380816	68.2581071908551	68.8466917078928
Abcg4	0.939323218874819	0.67626002838221	-0.263063190492609	0.0336059113687967	0.145960869125353	0.54760500654399	13.0241650597811	15.0768515180265	12.2541686009354	25.9172631201973	16.5086390698721	22.6384301499218	24.3889705059192	14.0255930872912	21.6384896085377	18.3858411911647
Abhd14a	-2.56573448062566	-0.480336993994953	2.08539748663071	0.00302765541761099	0.433890377039951	0.0175264647193883	0.442389285845076	0.407386839180032	0.326185308161251	0.0459429730226968	0.0242037285968693	0.0910902204809454	0.383451369440604	0.159229568882377	0.242129597659728	0.23577876569662
Abhd2	1.54525803776491	0.384348590573218	-1.16090944719169	0.00206687499105926	0.345748658951886	0.0155258684114676	18.6883848747162	19.3752762034707	28.0403245802126	58.192896296733	35.8930065303203	70.1823652607961	28.3794934978897	23.1405401833006	29.5613256044344	34.6059570035415
Abhd5	1.87367343404866	1.09648349380016	-0.777189940248504	0.000303266061291935	0.00356692137312431	0.0229278070919705	37.401511688756	32.4388017368522	41.6816670344999	107.255463768418	98.6579836003349	139.719244769218	68.0776606406588	70.4269008678699	84.8409104713852	75.6111271753325
