genes	logFC_TgvDMSO_6h_QGP1	logCPM_TgvDMSO_6h_QGP1	F_TgvDMSO_6h_QGP1	PValue_TgvDMSO_6h_QGP1	FDR_TgvDMSO_6h_QGP1	logFC_TgvDMSO_24h_QGP1	logCPM_TgvDMSO_24h_QGP1	F_TgvDMSO_24h_QGP1	PValue_TgvDMSO_24h_QGP1	FDR_TgvDMSO_24h_QGP1	logFC_Tg_24hv6h_QGP1	logCPM_Tg_24hv6h_QGP1	F_Tg_24hv6h_QGP1	PValue_Tg_24hv6h_QGP1	FDR_Tg_24hv6h_QGP1
KCNJ2	1.97279966182805	6.89563928701817	156.243302989933	1.07409047975685e-07	3.85759595804673e-05	0.715216326626944	6.89563928701817	21.6444107844004	0.00076751525308691	0.00761998902961061	-1.25758333520111	6.89563928701817	66.5200387978058	6.72931051485589e-06	0.00214829499680933
SOX2	-3.0057608345133	5.03965331987189	154.155515189986	1.14977791781996e-07	3.9467789864185e-05	-3.06508916451147	5.03965331987189	162.537697334117	8.81873998870037e-08	2.35739128363502e-05	-0.0593283299981696	5.03965331987189	0.0614663838941449	0.808913554364298	0.913517185912861
WIPI1	2.32240510108193	7.73924099029935	154.022392387673	1.15386828226073e-07	3.9467789864185e-05	1.9525231894908	7.73924099029935	111.637040337327	5.67610685658269e-07	7.7388319236136e-05	-0.369881911591126	7.73924099029935	4.33034693667399	0.0624453441399785	0.24544335553626
VEGFA	1.89438735199886	7.51979928837493	149.490224090363	1.3396332244887e-07	4.47562114023364e-05	1.92015910759382	7.51979928837493	153.531114218769	1.17245557505739e-07	2.95499943706571e-05	0.0257717555949584	7.51979928837493	0.0298481822084423	0.866078110424602	0.943510892117982
TES	1.83744774726645	7.81348278498277	146.421695914471	1.48571382440307e-07	4.83788322323398e-05	1.75980458508712	7.81348278498277	135.058407408521	2.22051510253013e-07	4.55713142327826e-05	-0.0776431621793241	7.81348278498277	0.280305866360516	0.607371767292467	0.798380712684013
PIGA	2.03303135490611	5.57171973361283	145.066149177304	1.55645793133858e-07	4.83788322323398e-05	1.76924153399438	5.57171973361283	111.647881161343	5.67413090150905e-07	7.7388319236136e-05	-0.263789820911733	5.57171973361283	2.70925348682163	0.128957301490211	0.362481753435813
SLC6A9	3.95157532490517	5.02791799931849	144.596527694218	1.58498660693294e-07	4.83788322323398e-05	3.76401099563541	5.02791799931849	132.748612086272	2.4237916231493e-07	4.70707515191531e-05	-0.187564329269753	5.02791799931849	0.468958968435547	0.508114800447994	0.732595064555989
ARHGAP42	3.05070283914732	5.00743583569	144.424050959468	1.59241800558057e-07	4.83788322323398e-05	3.10371241910234	5.00743583569	149.957550198806	1.32009295651752e-07	3.16074256888846e-05	0.0530095799550183	5.00743583569	0.0556639398548471	0.817966231670384	0.918469820554693
MFSD9	1.98827969198856	7.49975073550749	143.965225202824	1.61644434578331e-07	4.83788322323398e-05	1.20719855789772	7.49975073550749	55.2986821338532	1.57022236882515e-05	0.000562948740348024	-0.781081134090832	7.49975073550749	23.7565923530119	0.000541416608100009	0.0186970937306844
NFIL3	2.39261968032172	5.15471867225912	142.726351136009	1.68850325602446e-07	4.90472372316054e-05	3.07880624751044	5.15471867225912	230.27077754215	1.51172192212408e-08	9.04891547218108e-06	0.686186567188716	5.15471867225912	13.9885814163492	0.00345726194343867	0.0538104280383965
FLRT3	2.55148248744256	5.70951624025644	142.315991030441	1.7125181987518e-07	4.90472372316054e-05	3.41072232080097	5.70951624025644	242.918996107094	1.15010104205334e-08	8.46447569698958e-06	0.859239833358414	5.70951624025644	19.1242932337157	0.00120284141256797	0.0294569355234262
ARG2	2.257921322204	7.42284206616122	141.832901892823	1.74120082055678e-07	4.90472372316054e-05	3.01427686763279	7.42284206616122	239.451404141959	1.23732416564654e-08	8.46447569698958e-06	0.75635554542879	7.42284206616122	17.5579494602534	0.00162345541486561	0.0351074034420706
TBC1D9B	-1.7103478637842	6.60197481308462	140.254543082784	1.84083150583493e-07	5.08565104092781e-05	-0.700746390097234	6.60197481308462	24.9818554731303	0.000446698305163621	0.00530352715039717	1.00960147368696	6.60197481308462	50.2678461000872	2.4107992408311e-05	0.00364730454102474
SV2C	5.44985224397564	2.10455702737365	105.961271246977	2.11668627627659e-07	5.73741793301689e-05	5.64030762785684	2.10455702737365	118.070596150645	1.15728010368919e-07	2.95499943706571e-05	0.190455383881205	2.10455702737365	0.388459578634335	0.544500830572574	0.759029504123743
RGS2	2.37118195103383	6.89065344663145	133.363762850976	2.36410231314365e-07	6.28938774641141e-05	1.82749820638351	6.89065344663145	82.0025098914915	2.51651928607197e-06	0.000179112108033691	-0.543683744650322	6.89065344663145	7.81026192046142	0.0179537659579905	0.128384172101788
MTHFD2	2.19833250975744	9.0346288209236	131.934128597679	2.4936851554098e-07	6.43416566429719e-05	1.38593527571158	9.0346288209236	55.0976768915106	1.59631534458689e-05	0.00057014970621227	-0.812397234045863	9.0346288209236	19.4637389070965	0.00112953273929754	0.0286188136380043
RGS4	1.60640724470033	10.508300623088	131.671851365597	2.51838407258189e-07	6.43416566429719e-05	-0.141911967194679	10.508300623088	1.07756446815795	0.322261755926583	0.499476855828996	-1.74831921189501	10.508300623088	154.647786085818	1.13070786585681e-07	0.000570889084325136
DIRAS2	2.30041253327838	4.41987311197492	130.918199975612	2.59264478352207e-07	6.43416566429719e-05	1.33680006407634	4.41987311197492	45.2495740431421	3.84021988709308e-05	0.00100856670745849	-0.963612469202039	4.41987311197492	26.0132230018878	0.000382027449285099	0.0152161678408101
SLC31A1	1.8763774520082	7.12846133871203	130.448895414783	2.63747451329757e-07	6.43416566429719e-05	1.69478987146067	7.12846133871203	107.640150186762	6.78276489419644e-07	8.32830773248086e-05	-0.181587580547537	7.12846133871203	1.31609888312137	0.276439255807264	0.540577446094655
PAIP2B	1.69935539511275	7.46606367364002	130.399073622392	2.64245979530513e-07	6.43416566429719e-05	0.958231841079215	7.46606367364002	42.8687775609631	4.86008683099484e-05	0.00116755865240923	-0.741123554033538	7.46606367364002	26.022688044363	0.000381404957380043	0.0152161678408101
KCNE4	2.65383108530456	9.16812277500337	129.6169715592	2.72230158826342e-07	6.51809743616539e-05	3.06012440252013	9.16812277500337	166.74777232058	7.74983597351774e-08	2.30609060258617e-05	0.406293317215574	9.16812277500337	3.44233605136533	0.0914385302276876	0.300244848395959
SEL1L	2.79384964789516	9.11723619181469	127.776198716618	2.92181755575628e-07	6.72573027565683e-05	2.16341102962697	9.11723619181469	80.3801182835835	2.76705003623023e-06	0.000192035945992674	-0.630438618268191	9.11723619181469	7.41371686254732	0.0203789765574946	0.13652409168322
DERL2	1.51735440972369	6.52610919558363	127.578019741808	2.94433338732455e-07	6.72573027565683e-05	1.0827993723133	6.52610919558363	66.2057776958486	6.87885862256821e-06	0.00032940560990605	-0.434555037410388	6.52610919558363	10.9937445398462	0.00719050760720366	0.0783569192599194
NR4A2	3.57250006133268	9.54318776288988	127.532880069647	2.94947102440749e-07	6.72573027565683e-05	2.3712696214002	9.54318776288988	62.089968389562	9.25374615412993e-06	0.000393708913607532	-1.20123043993248	9.54318776288988	17.2425178755072	0.00172821971899534	0.0362128469380574
ANKRD10	1.59923424889087	5.59776304918567	126.318129327973	3.09255188442748e-07	6.84732609239771e-05	1.35461304986288	5.59776304918567	91.8024830575016	1.46658566527116e-06	0.000130762989745538	-0.244621199027991	5.59776304918567	3.16571516444053	0.103744343126354	0.321412817199309
PSPH	2.01394124289655	6.44765484036673	126.270912951233	3.09812192681227e-07	6.84732609239771e-05	1.80744123323338	6.44765484036673	103.025558804244	8.39617109201076e-07	9.35034061300981e-05	-0.206500009663172	6.44765484036673	1.45357283436417	0.254086877226632	0.517083358311582
SCN4A	3.46632476843215	4.05786033145657	124.694027454247	3.34815463653018e-07	7.20273012786596e-05	4.66266176376827	4.05786033145657	226.108963845428	1.6922398953068e-08	9.35027628306826e-06	1.19633699533612	4.05786033145657	23.5859664889895	0.000559192559614225	0.0189423692332957
C2CD4B	3.97193635593023	3.95348525596673	124.04018066917	3.40687254427181e-07	7.20273012786596e-05	3.12662770059402	3.95348525596673	78.0981239935367	3.18914218373483e-06	0.000208250984597884	-0.845308655336215	3.95348525596673	8.2188320248177	0.0158203194364349	0.120884651203489
PDIA4	1.78734324806131	10.1763899156528	123.198239428536	3.49836711684506e-07	7.20273012786596e-05	0.567081773372933	10.1763899156528	13.0709107777933	0.00427983876776927	0.0254066792304848	-1.22026147468838	10.1763899156528	59.2550649942951	1.14660307911834e-05	0.00266344272599892
SERP1	1.94700159395358	7.34180717530032	123.028521395429	3.52222985681611e-07	7.20273012786596e-05	1.50180252511635	7.34180717530032	75.0886375988058	3.81816377579737e-06	0.000226330508051606	-0.445199068837235	7.34180717530032	6.9287278464228	0.0239045750570817	0.148914616849275
LINC00473	3.02327748097139	4.02034187542245	122.742433142208	3.57027778624381e-07	7.20273012786596e-05	2.42136436649254	4.02034187542245	79.9505185812114	2.84297584958893e-06	0.000193721549643063	-0.60191311447885	4.02034187542245	6.37016694529049	0.0289263561132958	0.166096264155042
CGA	3.75987730329315	12.1244572760085	122.564262795321	3.58846334803804e-07	7.20273012786596e-05	4.57771447680229	12.1244572760085	168.195975244461	7.42019235538302e-08	2.26805283781771e-05	0.817837173509141	12.1244572760085	7.14342201736366	0.0222599250549291	0.142796210293274
EDEM1	1.75921028502854	7.31979451692755	122.416338411808	3.60988841157141e-07	7.20273012786596e-05	1.21852352496674	7.31979451692755	60.3403742412996	1.05518298627384e-05	0.000425807830921629	-0.540686760061804	7.31979451692755	12.2608049703022	0.00520735722035614	0.0668533456904703
LMO4	1.51604976468535	6.27158281307309	118.015192796742	4.32269698902026e-07	8.50683081428289e-05	1.70614981870748	6.27158281307309	148.643295197871	1.37824031225728e-07	3.19351618159485e-05	0.190100054022127	6.27158281307309	1.97268416938242	0.188681042959945	0.442401152792977
MYC	1.41839144256454	6.90426006548434	116.304796728928	4.64381336727443e-07	8.68476102272178e-05	1.09802104188004	6.90426006548434	70.7101514025243	5.06216556726744e-06	0.000272371050709229	-0.320370400684497	6.90426006548434	6.20035502861314	0.0306934859049258	0.170661587118327
GARS	2.11223098480383	9.50679498323775	115.913326762611	4.72127684604065e-07	8.68476102272178e-05	1.8018958593395	9.50679498323775	86.1089624685523	1.99344333960183e-06	0.000154175042524589	-0.310335125464329	9.50679498323775	2.71589889538974	0.128537530787924	0.361717956375969
NEDD9	4.54658026141042	2.97975421804647	116.294313884771	4.78647489974957e-07	8.68476102272178e-05	4.30024117256127	2.97975421804647	104.324874620481	8.12510826241056e-07	9.26697093875752e-05	-0.246339088849149	2.97975421804647	0.672372741822195	0.430274635623702	0.669463500803019
TMEM156	2.94014629138342	7.14076594404829	115.439174279944	4.81755944121295e-07	8.68476102272178e-05	2.9258167005088	7.14076594404829	114.600807340834	4.99287839665939e-07	7.17276910464088e-05	-0.0143295908746247	7.14076594404829	0.00324710021788007	0.955614635070189	0.982562277686619
SESN2	2.90875295702179	5.61119621110215	115.40766145768	4.82546905368221e-07	8.68476102272178e-05	3.07912300534589	5.61119621110215	128.32196680497	2.86204609533135e-07	5.07606842043583e-05	0.170370048324105	5.61119621110215	0.48481951284232	0.501177588790454	0.72682386841951
AREG	5.29079245774644	3.34466841821054	112.376779013275	4.84193123888125e-07	8.68476102272178e-05	5.70372718648495	3.34466841821054	135.035553539194	1.93406057797857e-07	4.27457142511386e-05	0.412934728738511	3.34466841821054	1.61943105067547	0.229895349924458	0.490739464638153
TRIM67	1.71301962637551	5.20233889114954	115.298597127124	4.84675260733671e-07	8.68476102272178e-05	1.55908241777229	5.20233889114954	96.5449590583784	1.15044121453286e-06	0.000115657486005592	-0.153937208603211	5.20233889114954	1.01756801653769	0.335490074972818	0.592750020545996
PCSK1	1.68036507448143	10.9830436186513	115.054300913096	4.89673982208314e-07	8.68476102272178e-05	1.83584193505156	10.9830436186513	136.041228262991	2.14203594607668e-07	4.45978092773008e-05	0.155476860570126	10.9830436186513	1.03923410362841	0.330623140453284	0.588217871606076
SYVN1	1.90141813825709	7.5770534439496	114.688968533852	4.97371245087143e-07	8.71370159380719e-05	1.26880804653306	7.5770534439496	52.8105077221938	1.93273718577195e-05	0.000641240240434175	-0.632610091724029	7.5770534439496	13.5520399785315	0.00382231975109425	0.0565514372237075
SELENOK	2.31778573363984	6.39579767537381	112.23000399692	5.53126317433328e-07	9.54621166513846e-05	1.76397655251522	6.39579767537381	67.1614078278852	6.43627968573225e-06	0.000317957037749942	-0.553809181124621	6.39579767537381	7.12752271655765	0.0223770997303941	0.14325731494066
MCFD2	1.58607817071795	7.91124984256336	112.019890956237	5.58180272777134e-07	9.54621166513846e-05	1.19764354847407	7.91124984256336	65.1149656831261	7.42945591300039e-06	0.00034573943579376	-0.388434622243887	7.91124984256336	7.05514111257996	0.0229191365850562	0.144776216266167
LURAP1L	1.87327975331983	4.56198950593957	111.386048464446	5.74291450864788e-07	9.70620115661593e-05	2.73855526591267	4.56198950593957	234.575743592439	1.37570595617077e-08	8.59277902884751e-06	0.865275512592844	4.56198950593957	27.690096518843	0.000299004550094258	0.0139464265151107
RAPGEF4	1.89076342461534	7.1005984315648	110.429975960563	5.98604975087331e-07	9.99948729314488e-05	0.561088114126734	7.1005984315648	10.2406603506387	0.00879951359114615	0.0421660481155456	-1.32967531048861	7.1005984315648	56.6660746931162	1.40555636565735e-05	0.00284397503507515
LRP5	-1.83268232294457	6.53655162332294	109.163618671117	6.33310896576877e-07	0.000104576371726706	-1.24662608452094	6.53655162332294	52.6955385071743	1.95177363690495e-05	0.000643100460270103	0.586056238423631	6.53655162332294	11.6509005786209	0.00606698805748124	0.0722107294397477
PHLDA1	2.18314356025037	8.06093025119465	108.646612712796	6.48158384409524e-07	0.000105811856254855	1.62331302157285	8.06093025119465	62.2137534859516	9.16932088708157e-06	0.000393213324966608	-0.559830538677513	8.06093025119465	7.78312628460431	0.0181081730764894	0.128579386393193
STC2	3.48161710133695	7.48397943789283	108.050195439848	6.6586223372576e-07	0.000107480638760722	3.72987614668672	7.48397943789283	121.599180120882	3.73128955488069e-07	5.86404128156455e-05	0.248259045349777	7.48397943789283	0.684166068613126	0.426320122379307	0.667454414314492
RRP12	1.68653960785855	6.74326182114466	107.339836372631	6.87584694390323e-07	0.000109753796884571	1.86178533333979	6.74326182114466	129.844696419457	2.6987775425248e-07	4.90767571846978e-05	0.175245725481245	6.74326182114466	1.24007653274524	0.289984103397148	0.554226882682977
TNS3	-1.69320247992622	5.40684825522406	106.568579482319	7.12252492267964e-07	0.000112191726870611	-1.02345288205966	5.40684825522406	41.1575290504185	5.79714390716743e-05	0.00128521249028345	0.669749597866557	5.40684825522406	17.0630573081083	0.00179147102135604	0.0367853483684446
RPS6KA2	1.5778864192967	6.5300589623712	106.232996948366	7.23220591849869e-07	0.000112191726870611	1.43493483498664	6.5300589623712	88.6246233324359	1.7367736174887e-06	0.000142574227364815	-0.142951584310052	6.5300589623712	0.926236114103844	0.35720843453658	0.612881448770155
ARNTL	1.64223373480123	5.6970518589211	106.143277819398	7.26286412290607e-07	0.000112191726870611	2.06987798434272	5.6970518589211	166.261006612064	7.86568561372146e-08	2.30609060258617e-05	0.427644249541487	5.6970518589211	7.79867176410887	0.0180197055094733	0.128441718679262
CACNG4	-2.85231294226553	3.7274868785364	103.635808265721	8.18200790536105e-07	0.000124901267008382	-0.774784990464493	3.7274868785364	10.2012378049013	0.00889880583424332	0.0424436403103385	2.07752795180104	3.7274868785364	54.8758533830622	1.62894336948651e-05	0.0031201867261391
ENTPD7	1.781830323053	6.51520685363043	103.373209671184	8.25951577738845e-07	0.000124901267008382	0.915246671285082	6.51520685363043	28.2683763858861	0.000275406074490269	0.00382268953249005	-0.866583651767918	6.51520685363043	25.8037335598909	0.000394143044197612	0.0154284985638771
