genes	logFC_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	FDR_TgvDMSO_6h_MGN3	FDR_TgvDMSO_24h_MGN3	FDR_Tg_24hv6h_MGN3	MGN3_DMSO_24h_2	MGN3_DMSO_24h_3	MGN3_DMSO_24h_4	MGN3_Tg_6h_2	MGN3_Tg_6h_3	MGN3_Tg_6h_4	MGN3_Tg_24h_2	MGN3_Tg_24h_3	MGN3_Tg_24h_4	avg_expression
1600020E01Rik	1.66810720013867	1.24741025626289	-0.420696943875789	0.0241685768926512	0.0326249583281606	0.511828519275043	2.32121576563688	1.59602256251752	3.16909544436904	10.9559803877818	5.07343591268373	9.89868774987987	7.67366840578685	6.68515180007441	3.83845806953905	5.69019067758546
1700017B05Rik	-0.525355715610147	-1.35302847431159	-0.827672758701445	0.180229387234677	0.00468624575191274	0.0637759988481908	21.0635702236357	11.8782218896364	14.0090771160838	15.778694145089	8.9484311358682	12.3586163533839	7.59640415702608	6.44089306617919	5.47451930102931	11.5053808208813
1700088E04Rik	0.560841470998532	1.0587683415286	0.497926870530068	0.172711106061579	0.0142162535896804	0.244806126011259	1.10823554051332	0.811670469945756	1.08538725952389	2.0915438755869	1.15458540011684	1.81572919802957	2.60617606211064	2.40387086553844	1.70230618119198	1.6421672058397
2310015A10Rik	-0.449793131056013	-0.795886994219249	-0.346093863163236	0.184855983553461	0.0219342926500058	0.353520336058731	4.16478008625641	3.87356915253784	4.18571602982392	3.35948216980545	2.84351027357022	4.00106851785523	2.75122924838427	2.4306353530655	2.33289645466217	3.32698747621789
2310033P09Rik	0.0879624145356162	-0.739057138521651	-0.827019553057267	0.844622885967785	0.0431051799149462	0.0537730805887708	3.16747703975851	3.21408161582218	2.93191574872779	4.50040397944305	2.93918336183307	3.95096895108858	2.55742609636172	1.8290761973183	1.63703470698525	2.96972974414872
2810408I11Rik	0.720967469701734	1.00895062676762	0.287983157065884	0.121631885161206	0.0262266178876896	0.580321500172003	5.80070799838284	5.99016776538093	7.74790485218183	10.2461578986588	13.6839452243798	12.3400485883451	15.2758893226882	16.5639848449025	10.5810427168399	10.9144276901955
2810459M11Rik	-0.512366663168172	-2.00884106674953	-1.49647440358135	0.401608015684214	0.00635348449545568	0.0427657237535965	4.8839919734441	2.4342697066969	4.95281397653517	4.52977597624433	1.7020033800175	3.56704755794288	1.34135231041764	1.20318424960355	0.694845313714809	2.81214271606854
4921507P07Rik	1.86692254752174	1.78675160133222	-0.0801709461895116	0.0348744640637491	0.0201967043024389	0.939048918058721	0.895583756950842	1.21452577542059	0.564641250403102	3.4334497318852	3.83117821252018	3.56685734888326	4.01261302515332	2.00275110357856	3.50156096772189	2.55812901916855
4921511I17Rik	0.0931254527451641	-2.76393416659806	-2.85705961934322	0.875484381414734	0.0014425909063744	0.00593095107275592	0.41131166391097	0.393211564134886	0.343515918030383	0.483527534739037	0.430923636098242	0.471008045362807	0.0692235526480186	0.0574344980313227	0.0480255549180659	0.300909107541526
4930412C18Rik	0.290601608110681	1.40223912565516	1.11163751754447	0.704482170327004	0.0338280409526633	0.11717351996235	0.330908590393389	0.22943826040519	0.174921836890241	0.275084034610732	0.469649633657908	0.266720999159099	0.656367107159081	0.70796062967655	0.683056416756646	0.421567500967648
