genes	logFC_TgvDMSO_6h_aTC1	logCPM_TgvDMSO_6h_aTC1	F_TgvDMSO_6h_aTC1	PValue_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	logCPM_TgvDMSO_24h_aTC1	F_TgvDMSO_24h_aTC1	PValue_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	logCPM_Tg_24hv6h_aTC1	F_Tg_24hv6h_aTC1	PValue_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Spata5	1.34782278400184	6.29920167683053	232.386965924832	1.50183006901037e-08	1.12600807050997e-05	0.811365345893153	6.29920167683053	84.7639763345884	2.20360645963074e-06	0.000136685365380998	-0.536457438108683	6.29920167683053	38.3085007816467	7.99763644851375e-05	0.0048882172148114
Ddit3	2.94569450468247	7.53120332503489	232.049602487691	1.51297322151987e-08	1.12600807050997e-05	2.9617945873218	7.53120332503489	233.888582838412	1.45340495187788e-08	7.14913517080701e-06	0.0161000826393256	7.53120332503489	0.00822102047177934	0.929445182950553	0.96380104515941
Xlr3a	1.62770617825391	7.29413089447258	229.017273779537	1.61765796532429e-08	1.13703380984905e-05	1.07303201044535	7.29413089447258	101.496273402742	9.28186277836554e-07	8.16006716125798e-05	-0.554674167808567	7.29413089447258	27.9968501191307	0.000289442106387879	0.00938979879492165
Pdia4	1.60657157057846	8.90323995614961	218.155039776826	2.07056547149792e-08	1.37877864975746e-05	0.76910233800588	8.90323995614961	51.7174625502006	2.16224574400242e-05	0.000636203096584155	-0.837469232572583	8.90323995614961	61.5045570673041	9.86675584551477e-06	0.00152968098242838
Vimp	1.6762468322042	6.76261327890163	214.317716829524	2.26562147518793e-08	1.43323214520388e-05	1.33355484272451	6.76261327890163	137.072397187403	2.13093460201117e-07	3.45648520315966e-05	-0.342691989479687	6.76261327890163	9.55770493847038	0.0106851103107145	0.0724868716628205
P2rx7	4.05007275133819	1.71171112419917	210.716622812304	2.6094423352777e-08	1.46293254195517e-05	1.56715711406831	1.71171112419917	19.0454816638251	0.00124433026500372	0.00962069606438302	-2.48291563726987	1.71171112419917	121.759690155698	3.98947487935935e-07	0.000201899344694618
Akna	2.0456319823536	3.45773681552252	208.386205308047	2.614308259357e-08	1.46293254195517e-05	2.72522793410772	3.45773681552252	364.305638067636	1.49905564459888e-09	2.37075650193313e-06	0.67959595175412	3.45773681552252	31.6584420394972	0.000176760563532846	0.00745458216605855
Stbd1	1.78795584043476	5.86513643153888	207.394212711408	2.67582793729481e-08	1.46293254195517e-05	2.16721929973358	5.86513643153888	297.397087262495	4.25662415977867e-09	3.59032059130131e-06	0.379263459298813	5.86513643153888	10.3451426839309	0.00858793603050235	0.0636150858652903
Plekha2	-1.59205372473222	6.24672826239488	205.368843675615	2.81210801361424e-08	1.46293254195517e-05	-1.86794220274167	6.24672826239488	273.360464900334	6.55661370492239e-09	5.18100166354519e-06	-0.275888478009449	6.24672826239488	6.25298649514134	0.0301988692966866	0.133967775014614
Stc1	-2.23720330093614	3.69029633166563	202.827437646543	2.99616370097212e-08	1.46293254195517e-05	-2.17868755271337	3.69029633166563	180.624873604068	5.37716225997626e-08	1.48545547373024e-05	0.0585157482227659	3.69029633166563	0.124624220087307	0.730990908506228	0.850045677796029
Cebpg	1.20919200887348	8.08770711983011	202.675665424331	3.00634256171629e-08	1.46293254195517e-05	1.02772911623717	8.08770711983011	147.107034803694	1.50081449228692e-07	2.83407536662897e-05	-0.181462892636317	8.08770711983011	4.71198533749084	0.0536074375199601	0.188767408712089
3632451O06Rik	-2.10253237206821	3.05837920062551	197.346561777515	3.4420699265016e-08	1.61292847074438e-05	-1.8039063567995	3.05837920062551	138.55006851987	2.02184612115825e-07	3.3221294967395e-05	0.298626015268709	3.05837920062551	3.5195084616634	0.0884305403015606	0.252784273812776
Arl14ep	1.29216284961913	7.08824245073182	193.726139059711	3.77699887720881e-08	1.63036076499506e-05	1.08101179075028	7.08824245073182	136.036637482648	2.21244762159917e-07	3.49296609864406e-05	-0.211151058868845	7.08824245073182	5.38344613686251	0.0413823217587194	0.16194529381111
Hspa5	2.2807807202518	11.2387731017026	192.643367546294	3.88536486739597e-08	1.63036076499506e-05	1.68053322329183	11.2387731017026	108.851566687668	6.60946855024926e-07	6.5628487615969e-05	-0.600247496959978	11.2387731017026	14.5632856022179	0.00305591987494452	0.0357333625303125
Pdia6	1.63544884524245	9.01391182908421	191.75654689026	3.97688435295125e-08	1.63036076499506e-05	1.07491592786335	9.01391182908421	84.9896873218403	2.17589374539453e-06	0.000136284196369959	-0.560532917379098	9.01391182908421	23.6030254186226	0.000560362586414165	0.0138170206065798
Mknk1	1.49764589671474	6.30281972604002	191.586694762773	3.99471891517917e-08	1.63036076499506e-05	1.6954828248315	6.30281972604002	241.959425230135	1.22279133804465e-08	7.14913517080701e-06	0.197836928116761	6.30281972604002	3.57556754570084	0.0862552013940966	0.248701186881976
Dusp16	1.3239411098981	5.09410270901249	188.79336199341	4.30189557947211e-08	1.65495057336854e-05	0.975715307017903	5.09410270901249	101.338793498787	9.35195809660455e-07	8.16006716125798e-05	-0.348225802880197	5.09410270901249	13.8773848977287	0.00356641941318083	0.0390116639986319
Sec24d	2.0712521752812	5.20434158325144	188.66896032045	4.31657990208361e-08	1.65495057336854e-05	1.47838949519636	5.20434158325144	96.6139194378921	1.17773352751556e-06	9.37149974221816e-05	-0.592862680084845	5.20434158325144	17.3779596147356	0.00169462193773128	0.0251456123938566
Dus4l	1.38120536516599	4.67352601087249	186.976123086261	4.5172162536758e-08	1.66590074116859e-05	1.21371516358629	4.67352601087249	141.687956803201	1.80855055737483e-07	3.22278614815582e-05	-0.167490201579703	4.67352601087249	2.99125781324044	0.112675796026935	0.29211826201721
Txnip	1.56912765084599	8.09150579000914	185.393100487201	4.71442766488572e-08	1.66590074116859e-05	1.03250089665761	8.09150579000914	82.022230688491	2.57607992187433e-06	0.000154618189073674	-0.53662675418838	8.09150579000914	22.6920906557376	0.000649763677517303	0.0148314195759136
Uso1	1.13302613578736	7.55395943927359	185.192904349386	4.74015386358434e-08	1.66590074116859e-05	0.738794537708077	7.55395943927359	79.4158150403254	3.00155760511047e-06	0.000169534405445793	-0.394231598079279	7.55395943927359	23.010546533886	0.000616700728101574	0.0144205872007693
Magee1	-1.21880754095817	5.0382164162094	183.920381128971	4.90768728395348e-08	1.67816377071836e-05	-1.05593004167557	5.0382164162094	135.828589279333	2.22928553961837e-07	3.49296609864406e-05	0.162877499282605	5.0382164162094	3.25523552275549	0.099643881145017	0.271759944868885
Gpr119	-2.1366041272199	3.10624484865138	182.52564366532	5.10449959342386e-08	1.69952970673681e-05	-2.64138705252659	3.10624484865138	233.484011958102	1.46790739499866e-08	7.14913517080701e-06	-0.504782925306686	3.10624484865138	8.03198644948667	0.0168022395992248	0.0946260435400351
Plod2	-1.42442553427898	6.15856976299626	180.224383809583	5.43550914492663e-08	1.76333491542594e-05	-1.44632196603269	6.15856976299626	182.980608592584	5.03585854214402e-08	1.48545547373024e-05	-0.0218964317537025	6.15856976299626	0.043124613940148	0.839425702345168	0.915326493718569
Colgalt2	-1.89252938051887	4.24556909151347	179.203953248951	5.59428739717987e-08	1.76947310372799e-05	-2.22027624755669	4.24556909151347	226.382814578869	1.71611724951973e-08	7.29223999517536e-06	-0.327746867037825	4.24556909151347	4.97601171136616	0.0483353366453233	0.17661155867457
Snhg17	1.49477647650253	4.94692932453926	177.048660434875	5.94409861438552e-08	1.83426184559038e-05	0.459582627222909	4.94692932453926	16.4524004110446	0.00204224040429369	0.0134505078579509	-1.03519384927962	4.94692932453926	88.0165161952303	1.84163324043544e-06	0.000529553267227026
Mgl2	4.60796290878114	0.853455860725453	170.68197835284	6.32431350534784e-08	1.89390261043195e-05	1.52295569999778	0.853455860725453	7.89707416085327	0.0173443300427849	0.0613819478884796	-3.08500720878336	0.853455860725453	122.525883008765	3.33962026169683e-07	0.000187034229192927
Zfp330	1.130273857227	5.98267763697646	173.673411537878	6.54701534486457e-08	1.89390261043195e-05	0.414294881430048	5.98267763697646	23.3298038891893	0.000585546499968152	0.0057163073438249	-0.71597897579695	5.98267763697646	71.2004771111629	5.01297656108609e-06	0.000991002803919705
Bcat1	1.14997670043983	8.18477988520565	173.465680885309	6.58644600529608e-08	1.89390261043195e-05	1.13093889141846	8.18477988520565	167.565348461906	7.8347667714524e-08	1.90625902293107e-05	-0.0190378090213689	8.18477988520565	0.048996441183429	0.829024100559863	0.90977646979646
Magt1	1.17556900498918	6.3967652954805	168.836812764367	7.54352573165841e-08	2.12090416793205e-05	0.921869574239027	6.3967652954805	103.845815289214	8.30794729617113e-07	7.56202512166598e-05	-0.253699430750149	6.3967652954805	8.16401438051066	0.0161285717656475	0.0924597598454788
Alg12	1.63019150647886	4.94132800570908	162.632319909527	9.09965688570886e-08	2.50280128082584e-05	0.66609757655631	4.94132800570908	26.8722829146257	0.000340124690318107	0.00386294912011405	-0.964093929922547	4.94132800570908	60.1098909592916	1.09588791221517e-05	0.0015936981454421
Rgs4	-1.49712026099185	7.34443946868608	160.70838938212	9.65695132744821e-08	2.59956911052925e-05	-1.1461153266562	7.34443946868608	95.4180767054148	1.25043733878163e-06	9.73083219310526e-05	0.351004934335657	7.34443946868608	9.11114921272899	0.0121473954298342	0.078644365563827
Stard5	1.32689498936331	6.71697012885421	159.29208574157	1.0093766378093e-07	2.61790934744001e-05	1.92736079610473	6.71697012885421	325.377997769331	2.68120880514248e-09	2.7195454820299e-06	0.600465806741426	6.71697012885421	34.287255142547	0.000127323377368584	0.00619575142487432
Tuba4a	-1.12867848826075	7.17336485401738	159.14980718475	1.0138915430332e-07	2.61790934744001e-05	-0.791493214492723	7.17336485401738	78.8790476837244	3.09927284084957e-06	0.000173125355142356	0.337185273768023	7.17336485401738	14.4257551000416	0.00315089632741416	0.0364065208533735
