genes	logFC_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	FDR_TgvDMSO_6h_aTC1	FDR_TgvDMSO_24h_aTC1	FDR_Tg_24hv6h_aTC1	aTC1_DMSO_24h_1	aTC1_DMSO_24h_2	aTC1_DMSO_24h_3	aTC1_Tg_6h_1	aTC1_Tg_6h_2	aTC1_Tg_6h_3	aTC1_Tg_24h_1	aTC1_Tg_24h_2	aTC1_Tg_24h_3	avg_expression
1110006O24Rik	-1.04125575795309	-0.651778447133215	0.389477310819875	0.0055473820961516	0.0655726124737607	0.31319350086002	1.09864912435728	1.19005760471752	1.1504854143733	0.569050873242581	0.600228171665123	0.518573023257746	0.791362011495264	0.832979418876516	0.499182602913355	0.805618693877632
1500009C09Rik	-1.21269584799239	-2.08344626390549	-0.870750415913102	0.00962433260507405	0.00190513266549745	0.152859857963024	0.487913757964758	0.607821918300339	0.302165521980879	0.250388207208299	0.180949029161372	0.22962465087159	0.0680219073579966	0.14753764632116	0.0804515323191134	0.261652685720612
1700007K13Rik	2.06280062354904	-1.0099063296228	-3.07270695317184	0.0353813325969689	0.569927712579431	0.0245178210762605	0.00649127990757626	0.036685354201041	0.0151056676759994	0.0864563470636545	0.0801794744758496	0.111416253150583	0.0374055899081958	0.00357933951981314	0	0.0419243673225236
1700012D14Rik	0.614416934671293	-0.194907671362857	-0.809324606034151	0.0497484714616405	0.606098238460194	0.0379737078854204	0.338293718643737	0.297400599929407	0.393616710684902	0.458911994550468	0.531427314043428	0.63871164154913	0.341144327536082	0.298460234329522	0.256178755160812	0.394905032936388
1700019G17Rik	1.18146463787289	0.0894372893458462	-1.09202734852704	0.0495777577083124	0.915177225045314	0.101817044776268	0.407446032874223	0.309975357847971	0.145870115367419	0.718923161304941	0.753419365757952	0.537953768395939	0.0451515768148087	0.35428532315852	0.462818307336885	0.415093667650962
1700020I14Rik	-0.749879304140573	-0.251335939999905	0.498543364140668	0.00131753601592893	0.152544811144396	0.0269557794898002	18.6431029173709	17.0829074087111	17.4542490913921	8.75643141942256	11.4366294752839	12.4118432471249	14.797437639792	14.0868997125033	15.2290094025385	14.4331678126821
1700029J07Rik	0.602010345752763	0.479194328510072	-0.122816017242691	0.0146091826942124	0.0522530585318192	0.636081713350351	2.01815546155822	1.95629519291144	1.84663900905778	3.55203729794732	2.75157492729874	2.85860751674218	2.42751557156764	2.64701276826538	2.98237758938042	2.56002392608101
1700034H15Rik	0.800465396425676	1.1689136590384	0.368448262612723	0.0317889790882153	0.00801122306864811	0.29678478165644	0.882655407028804	0.831385250812222	1.02700079497723	1.93513580698859	1.64002648244646	1.29054594523423	2.3547434986044	1.69444639589063	2.22802011927321	1.54266218902842
1700052K11Rik	-0.629827107138624	-0.353379549488568	0.276447557650056	0.00933576233483717	0.108910820592885	0.261895079255419	3.69657334011935	3.38925072134316	4.04943412068752	2.56063799784453	2.14846772855525	2.74209855698625	2.90343109362916	2.50452872252804	3.24971224715405	3.02712605876081
1700086L19Rik	-0.588457290571761	-0.833841167999893	-0.245383877428132	0.00934097703705091	0.00201204886415407	0.29161381552111	7.70825585546296	7.32724470779554	6.64418722339337	4.99066265616709	4.73364412665676	5.1559808484703	2.91903592264122	4.6019836945225	4.45838354237215	5.39326428638688
1700102P08Rik	1.66130099979337	1.08406604521533	-0.577234954578045	0.0023484168425924	0.0350694136633304	0.175123865998109	0.236859868966343	0.176622071308734	0.252628601309647	0.869002937643467	0.675153084251516	0.626758424003295	0.241699273321621	0.473447747398884	0.650202556249028	0.466930507161393
2210417A02Rik	-0.706581843881457	-1.0708728852658	-0.364291041384344	0.0204467437974166	0.00482984984578012	0.297452213883346	0.803064779775672	0.931409910941979	0.585739700544624	0.50109291779787	0.472621408261884	0.509177486308016	0.241740820967188	0.419683660241204	0.40844865229614	0.541442148570509
2310034G01Rik	-0.938238088487303	-0.838946408265013	0.0992916802222901	0.0167723905273949	0.0393672928281504	0.840409559326308	1.52527232384997	1.94875711156492	1.47599503333115	0.815723392178859	0.797793189172707	1.12754396809557	0.435113133468187	1.12417091207327	1.06355056290818	1.14599106962698
2310040G24Rik	0.82785160917331	1.0641357529519	0.23628414377859	0.00866230705270456	0.00317959291275984	0.414750461437012	1.35644238345844	1.84803193940386	1.01460131031346	2.70635218455527	2.60064626518103	2.49449585990841	2.61710271518119	3.05859071372153	3.13659619783352	2.31476217439519
2310043L19Rik	4.71711977167197	2.3540442928281	-2.36307547884387	0.000889578597395644	0.187918119266683	0.0140020330254025	0	0	0.0231594173783762	0.265102962623525	0.213705645860881	0.119573321441744	0.0573487837511936	0.0439016240294907	0.0113046852811177	0.0815662711518143
2410002F23Rik	0.619992231402736	0.128946735114027	-0.491045496288709	0.00039266786924363	0.264432516468674	0.00512487233074507	8.09235843481634	8.1328042551777	7.81383640417705	12.3029305847262	13.0042566813361	12.7135263377126	7.62835798849222	9.30566734866843	9.07181992414834	9.78506199547278
2410012E07Rik	0.729987071585439	0.483927326510788	-0.24605974507465	0.00774845368200868	0.0665492647132634	0.344271214756295	0.623798459947934	0.721864756954957	0.476961894461443	1.06820673772072	1.07363096411902	0.98656155061992	0.821622667786507	0.894314361865526	0.819920439895341	0.831875759263485
2500002B13Rik	-0.703415789560971	-0.769501001719316	-0.066085212158345	0.0085330113527586	0.00779741183248761	0.832505815727134	1.32204945503525	1.47406692842763	1.20124926080182	0.867618947206607	0.808721809267911	0.861961648377616	0.518200910184902	0.891271303659907	0.886172304944133	0.981256951989531
2510039O18Rik	-0.680799719904695	-0.232455907289681	0.448343812615014	0.000636156387764478	0.100282004988559	0.0160828707383103	55.0752575715541	53.1214119207241	55.1150315210837	36.7198865375401	35.0864578640874	32.9309188773548	38.323820682475	50.1940348280352	49.1176844187385	45.0760560246214
2810029C07Rik	-0.742733628564219	-0.994820495994902	-0.252086867430683	0.0269930600312432	0.0139719974178632	0.539896227581498	0.45470485629508	0.77791948349559	0.71261841654495	0.453180785930743	0.375606092550152	0.382263618954291	0.253999752709189	0.312130283272417	0.400550746229117	0.45810822622017
2810474O19Rik	0.992297860829859	0.704518526602093	-0.287779334227766	0.00457071628827452	0.027217496736858	0.382619493850871	14.0514343110771	12.3949063357082	13.3150310459415	31.2105202870471	25.7514026992148	24.3092772084968	27.7934459497377	17.094935528054	18.5432555867507	20.496023216892
2900011O08Rik	-0.600045737977425	-1.15602817762082	-0.555982439643397	0.0263874684759785	0.00193088013297077	0.0901820421844301	0.65306446011269	1.0376982139682	0.964696403084538	0.533649332854405	0.665829274582379	0.57995378639462	0.343600415550464	0.385155301473237	0.451540475221606	0.623909740360238
3110070M22Rik	-1.26022441818119	-1.10875436951165	0.151470048669535	0.0135737801655395	0.0436745537764416	0.822812168531908	0.241444117232995	0.31011754113224	0.268159283169422	0.121808963234231	0.114703362467454	0.122440619119657	0.110672104354671	0.175494901729376	0.049864833683817	0.168300636235985
4921504A21Rik	0.921302004816632	0.679595233245616	-0.241706771571016	0.0270592116354379	0.11924971722823	0.562304495449857	0.752591449101012	0.738412731730944	0.620263967880497	1.6706080682351	1.09048234777719	1.61468386446671	0.767968027465332	1.27953543205422	1.21106482663994	1.08284563503899
4921507L20Rik	2.87318582479729	3.503411697628	0.630225872830715	0.00240104458548254	0.000851651716726383	0.202234024309631	0.0163367899532681	0.0461635405094885	0.0950421655822637	0.350557096633772	0.450146875145654	0.294424697219673	0.847257469556268	0.477435990001544	0.519595274407952	0.344106655445543
4930579G24Rik	-0.689213587029875	-0.444394285970623	0.244819301059252	0.00511941437994499	0.0442950470650862	0.300234968485583	583.959941353294	632.054765565226	623.645426879869	375.380677739004	360.649994140658	439.852200066139	316.974017892476	523.249691044033	498.674959588358	483.826852696562
