genes	logFC_TgvDMSO_6h_MIN6	FDR_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	FDR_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_Tg_24hv6h_MIN6
Bhlha15	1.61024610091465	4.20267384292587e-08	2.32588170369483	2.45808033381578e-11	0.715635602780182	6.55702365315236e-05
Pgam1	-1.28446834108425	4.20267384292587e-08	-1.24237370253994	9.63186860070666e-09	0.0420946385443072	0.793262675448835
Ctsa	-1.08313846433901	4.34214271232401e-08	0.0253344631670243	0.837741809873557	1.10847292750603	5.73675683182192e-08
Hax1	1.13440095802368	4.54416906384455e-08	1.34789817667618	9.08706400633406e-10	0.213497218652494	0.0634698598029282
Ucn3	-1.99271157864268	4.61470923712356e-08	-1.82214376603175	1.28508095959387e-08	0.170567812610923	0.497502220680706
Tubb5	-1.10099174648987	4.67164725858434e-08	-1.06539803783477	1.99364355375059e-08	0.035593708655105	0.787242043480461
Syt2	-1.4053634913956	4.99996247027702e-08	-1.20222293763626	2.64469276522454e-08	0.203140553759337	0.228904842530475
Wnt5a	2.28820824122369	5.05308753070027e-08	2.60841094989465	1.03398395961079e-09	0.320202708670965	0.0923168129834919
Atf6	1.01273864026354	5.33156542515006e-08	1.72930012401367	1.28038948238208e-11	0.716561483750133	3.33895331280115e-06
Sars	1.01212406873299	6.01479489277883e-08	0.976306860714912	2.38763087629038e-08	-0.0358172080180759	0.763752715986424
Gpd2	-1.04193740470198	6.84521128902803e-08	-2.1202693967068	2.59725190077711e-12	-1.07833199200483	1.30139224612338e-07
Glul	-1.09874665696953	7.1297874007815e-08	-0.725013844937976	2.2189613723778e-06	0.373732812031555	0.00543213785584652
Fam84b	1.57247710910867	7.1297874007815e-08	1.83810424809246	1.3719828528425e-09	0.26562713898379	0.0820485749328644
Ly6e	-1.11644445787582	7.22491291821783e-08	-1.13591498561859	7.77412329766975e-09	-0.0194705277427736	0.899236425102477
Jun	1.54716141656287	7.37400785448092e-08	1.67599179174066	5.43606365034126e-09	0.128830375177792	0.424136718122704
Slc3a2	1.31508225801578	7.76613597257548e-08	1.45734875420326	5.1095786387862e-09	0.142266496187481	0.312051943263758
Dnajb9	1.2064647258318	8.10271137999789e-08	1.66767389178181	3.4470531486834e-10	0.461209165950013	0.00179792519217024
Nfkb2	1.2480449690299	8.10271137999789e-08	1.0178685713379	2.01575367929049e-07	-0.230176397691995	0.0737867533410551
Nptx1	-1.14325820063667	8.27693639733521e-08	-1.74307463750941	7.94167250283076e-11	-0.599816436872738	0.000435429682268
Ece1	-0.976616786886083	8.32187254632331e-08	-1.31481339124639	5.2104546332981e-10	-0.338196604360309	0.00506086036173786
Tuba1a	-1.33744863930595	8.32604082021901e-08	-0.784613208344048	8.92172817061509e-06	0.552835430961902	0.00140065997282671
Slc38a5	-1.14061926246813	8.78029093332233e-08	-3.26564945540273	2.29533907281365e-13	-2.12503019293459	2.35436040307869e-09
Gars	0.989552703361859	8.81531514869834e-08	0.885818014229999	9.63321710676086e-08	-0.10373468913186	0.347297093660534
Gcg	-1.1330680928317	8.88381589952357e-08	-2.2992792034391	4.09791588167151e-12	-1.1662111106074	2.40919452886193e-07
Junb	1.36214763811786	8.88381589952357e-08	0.82073976752926	1.30291615457494e-05	-0.541407870588603	0.000972304184093586
Nfe2l1	1.00261159029853	8.97817876110073e-08	1.21003734676558	2.16938790045767e-09	0.207425756467048	0.0642354370054455
Tubb3	-1.13328106309839	9.18413474499524e-08	-0.654124354766545	7.00776318860783e-06	0.47915670833184	0.00158004571892502
Ins1	-1.62462692039528	9.18413474499524e-08	-3.05508849824183	1.43914025546206e-11	-1.43046157784655	6.68563611302184e-07
Sytl4	-0.999816238258002	9.42146801403485e-08	-1.57878624378566	7.09349024567955e-11	-0.57897000552766	9.41889590892912e-05
Slc43a2	-1.01188929387894	9.88972481573669e-08	-1.38144590524128	4.18057043848703e-10	-0.369556611362336	0.00546864106961954
St8sia1	-1.69164968558344	1.03762090089185e-07	-2.33744111162607	3.91844234876182e-10	-0.645791426042631	0.0133698144769191
Ifrd1	1.12542757782555	1.11617724069231e-07	1.3413631467131	2.46066671901848e-09	0.215935568887554	0.0798021140307345
Dusp8	1.21921386338327	1.1268725311541e-07	0.95838635722227	6.12325075837838e-07	-0.260827506161001	0.0574903136138096
Pcdhb11	-1.5019383661299	1.16574470288685e-07	-0.597872653967676	0.000186583703748576	0.904065712162222	8.71885588504355e-05
Cebpb	2.0665078203306	1.24403315687968e-07	2.59942144140248	5.04715667322092e-10	0.53291362107188	0.00753207658248615
H3f3a	-1.08211126724346	1.37136174616892e-07	-0.762814215665939	1.86655236757889e-06	0.319297051577522	0.0178151481445456
Cdkn2c	-0.963786922903034	1.4284168544124e-07	-0.952186154654312	3.75400465831966e-08	0.0116007682487223	0.932321333352969
Arsb	-1.06790144040603	1.4284168544124e-07	-0.854919635895505	4.12026558431957e-07	0.21298180451052	0.0966593501511765
Hrk	3.18716802349143	1.54291214874014e-07	4.9132575263108	2.39889016143971e-12	1.72608950281937	1.31252150968629e-07
Cyp51	0.885808554364495	1.54291214874014e-07	0.878601786212697	3.93824578739883e-08	-0.00720676815179796	0.952255505437721
Lrp11	-0.919070975337837	1.54291214874014e-07	-0.624186012295954	3.95365094128307e-06	0.294884963041882	0.0113017179629174
Ddr2	1.85736096705761	1.54291214874014e-07	3.40885510504966	9.92850798392822e-13	1.55149413799205	3.56657711263654e-08
Rundc3b	1.00771639589533	1.84961832152412e-07	0.316618593130144	0.00901022167070723	-0.691097802765188	1.50101609735847e-05
Setd7	-0.952495985316679	1.93358070347674e-07	-0.493344803011556	7.39156761552673e-05	0.459151182305123	0.000660736532957131
Eif5a2	-1.05753467802168	1.93358070347674e-07	-0.399190690969236	0.00092966100331101	0.658343987052447	6.44696302981981e-05
Gm16973	1.93121289253599	1.95299981581034e-07	1.287636213195	1.01176570410129e-05	-0.643576679340999	0.00377983736669543
Arhgef2	1.13655418909746	2.00865431250879e-07	2.44937615069511	1.55720142175009e-12	1.31282196159765	2.62097251583742e-08
Pcdh10	-0.894292479287826	2.00865431250879e-07	-0.9279321111969	2.9865620272592e-08	-0.0336396319090739	0.782379269100881
Etv5	1.47967003849367	2.06995018255367e-07	1.35228454008715	1.20820094275103e-07	-0.127385498406521	0.429721473991083
Ubtd2	-1.14695186726553	2.07429957266951e-07	-0.98416398495411	1.40652258490335e-07	0.162787882311424	0.275917109869989
Zdhhc2	-0.908617324641629	2.26589800572241e-07	-0.769513487365805	3.70996707806254e-07	0.139103837275824	0.213613140104921
Syt13	-0.908676887182668	2.26589800572241e-07	-1.33993770332723	4.70490646932838e-10	-0.431260816144562	0.000835708647164765
Uqcrh	-1.26168314004763	2.26589800572241e-07	-1.1169319283977	1.04160133567825e-07	0.14475121164993	0.393781804798676
Pcbd1	-1.08269766184685	2.28632099728849e-07	-0.697679121940858	4.80333294869831e-06	0.385018539905995	0.00919448001102195
Nipal1	-0.959363236026023	2.49325535236546e-07	-1.80182174668812	2.29860839974385e-11	-0.842458510662097	4.2267256402401e-06
Bnip3	-1.18662681800901	2.49325535236546e-07	-1.30278528981698	1.99364355375059e-08	-0.116158471807966	0.440009851914108
Purb	-0.863123660521832	2.50075524808889e-07	-0.481181946328105	6.39730800018552e-05	0.381941714193727	0.00148383196784037
Il1r1	-0.905487823863471	2.60153264020626e-07	-1.02180180155647	1.68013411905039e-08	-0.116313977693	0.298610456630785
Actb	-1.05078954141156	2.63050523956038e-07	-0.544823641362493	0.000151700802572189	0.505965900049064	0.000715506797625556
Mknk1	1.138441486543	2.81111411540103e-07	1.46008010840975	1.53350581580384e-09	0.321638621866754	0.0163827338622872
Mthfr	1.60692017489134	3.06283297501782e-07	1.64545446122506	3.49709512487706e-08	0.0385342863337157	0.844995147286211
Pcsk9	1.05425962906928	3.07571684805286e-07	0.736851025946724	6.02357541568956e-06	-0.317408603122561	0.0162796953445578
Hspa12a	-1.03300529433514	3.07571684805286e-07	-1.80360568800615	7.1335418316702e-11	-0.770600393671013	2.45635941987007e-05
Rcc2	0.921812360378173	3.25626325447939e-07	1.02964792023964	2.04294620009462e-08	0.107835559861462	0.3404559356347
Dmrta1	1.3737227864759	3.25626325447939e-07	1.59906077826522	5.14593590557607e-09	0.225337991789329	0.125397101471414
Skp1a	-0.973751463919574	3.25626325447939e-07	-0.46097344967294	0.000275604148667384	0.512778014246633	0.000431170383776154
Spock1	-0.904341880287072	3.29740647909304e-07	-0.818167013419716	1.66851784155171e-07	0.0861748668673561	0.479857454178539
Arhgef17	-0.901148485710386	3.33592296430333e-07	-0.971536080890151	2.72596653622294e-08	-0.070387595179765	0.563393917319516
Fam162a	-1.34509801523187	3.36166447536684e-07	-1.38410220701239	3.131176382714e-08	-0.0390041917805209	0.853389492381398
Tapbp	-1.00329723012428	3.58110396576005e-07	-0.444903709684388	0.000542688666257697	0.558393520439892	0.000276460687472926
Bbc3	1.7493301921506	3.58110396576005e-07	1.97886826157195	6.32067696649701e-09	0.229538069421355	0.184323519396234
Atf5	1.11595613342668	3.58803815560877e-07	1.44512002422956	3.37718802459279e-09	0.329163890802883	0.020030751538254
Vat1l	-1.06849089598685	3.58803815560877e-07	-1.41187772395657	2.58115809777516e-09	-0.343386827969726	0.0197762611342111
Tubb4b	-0.947862490029205	3.66417704576822e-07	-0.612573607048395	1.4239276027453e-05	0.33528888298081	0.00983144517435951
Zfp869	0.903028046713627	3.66417704576822e-07	1.00169204073431	2.10364346517632e-08	0.0986639940206822	0.373212575431032
Nedd9	1.01954009180595	3.68542952112972e-07	0.63848623286459	2.71031446758286e-05	-0.381053858941365	0.00500816405381303
Egln1	-1.05413994072491	3.68542952112972e-07	-1.0021969208903	1.29666544472247e-07	0.0519430198346076	0.731688888384058
Hepacam2	-1.08837340803005	3.70980239609545e-07	-1.45358341690934	2.55379210759569e-09	-0.36521000887929	0.0153765742198624
Shank2	-0.973140079372187	3.81975069647608e-07	-1.54848268766943	2.60490077111368e-10	-0.575342608297241	0.000340752312946059
Hadh	-1.07618333086146	3.84243253762883e-07	-1.98668122909067	5.07124369492387e-11	-0.910497898229206	7.60671503082659e-06
Slc39a10	-1.08625710036712	3.84689474035798e-07	-0.628405911206698	2.32683431010202e-05	0.457851189160426	0.00402806515362988
Lss	0.986165512400322	3.92902522650753e-07	1.22687123387083	4.48992216056911e-09	0.240705721470505	0.0461311077964483
Itpkb	-1.00527535500839	3.9359758408183e-07	-1.09987677476564	2.91928720663619e-08	-0.094601419757246	0.48650427024886
Tmsb10	-1.13131113756865	3.9359758408183e-07	-0.317969232972726	0.0139076097720493	0.813341904595924	2.59586097241619e-05
1700001L05Rik	-1.16175564353646	4.22031556986168e-07	-1.30840061833981	1.38450425022048e-08	-0.146644974803347	0.385352127333818
Rnasek	-1.17138791376539	4.30702901958894e-07	-0.620800207079625	7.44509493598376e-05	0.550587706685765	0.00174471717920544
Snhg12	2.200142790118	4.30767183560437e-07	2.34464237725963	2.29136031953341e-08	0.144499587141625	0.512244145902663
Arntl	1.3180837708862	4.30767183560437e-07	0.572981033489582	0.00147740096980526	-0.745102737396615	0.000158188819077376
Bace2	-0.984577332391105	4.36509808084554e-07	-0.819195844587695	9.90774855324086e-07	0.16538148780341	0.196404893089499
Syt7	-0.869682915960148	4.36509808084554e-07	-0.782356359653261	4.15679349561254e-07	0.0873265563068865	0.44923047035617
Slc7a2	-0.817726088386428	4.36509808084554e-07	-1.91035541625451	3.13380671279784e-12	-1.09262932786808	3.56657711263654e-08
Cox6b1	-1.11099424174582	4.40701845427382e-07	-0.653679992430081	3.27370233944082e-05	0.457314249315736	0.00463489325521454
Pvrl1	-0.870719239247179	4.69290700078829e-07	-0.960213573226424	3.33185964031532e-08	-0.0894943339792451	0.446185082386591
Cntfr	-0.97012055350342	4.69290700078829e-07	-0.826680005447023	5.77673902712573e-07	0.143440548056398	0.269812892150735
Marcks	-0.860420086472005	4.73660407679891e-07	-1.08026454327652	7.12436916176722e-09	-0.219844456804511	0.0569440902769129
Tpp1	-1.06189824462275	4.73660407679891e-07	0.14662888421766	0.246081265917106	1.20852712884041	1.52094956860957e-07
Cdhr1	-0.824804094489579	4.77994371929047e-07	-0.829157392059712	1.29666544472247e-07	-0.00435329757013208	0.973634360910598
Leprotl1	0.848939547854617	4.8756994957119e-07	1.17515789664719	1.76627177751158e-09	0.326218348792577	0.00508758030851052
Ffar1	-0.983688571428987	4.89580963184198e-07	-1.58028557776237	3.09354050855497e-10	-0.59659700633338	0.000395322010460407
Lamp1	-0.907335382724911	4.92843220877082e-07	-0.115630835991696	0.329257409655639	0.791704546733215	3.49050838038601e-06
Pfn2	-0.907534814056398	4.97872061320448e-07	-0.602281637373441	1.04186801136042e-05	0.305253176682957	0.0171017923787903
Peg13	-0.862220540773154	5.26225394279934e-07	-1.1079660842005	5.96587503681919e-09	-0.245745543427343	0.0378155690302383
Lgals3bp	-1.30435925421192	5.42056114370966e-07	-0.194106327023227	0.189736157989309	1.1102529271887	5.63000281728459e-06
Loxl2	-0.877340761381246	5.42056114370966e-07	-1.37731348743979	5.14751408931815e-10	-0.499972726058544	0.000422199469623248
Gm2a	-1.06484367014326	5.42056114370966e-07	-0.840605859956058	1.10668242718439e-06	0.224237810187202	0.130381136207404
Necap2	1.40836907603088	5.66060737770346e-07	1.40480772396213	9.14299499892127e-08	-0.00356135206874886	0.985379362494704
Dennd4a	0.93248606656784	5.66060737770346e-07	1.31717457614707	1.51991448816033e-09	0.384688509579226	0.00309764297926494
Tfrc	-1.07075933768503	5.74439325042708e-07	-0.657990342200659	3.90147800788154e-05	0.412768995484376	0.00740762965871146
Sez6l	-1.01866535279446	6.14035068883341e-07	-0.971298355630153	2.33820114103432e-07	0.0473669971643024	0.757244342150109
Scg2	-0.896483480811025	6.32640439941222e-07	-0.64070860357501	1.18964374309217e-05	0.255774877236015	0.0358591333269362
Atp2b2	-1.04632290045111	6.62684126656761e-07	-1.06298515175062	7.29687670512147e-08	-0.0166622512995085	0.925810050274783
Pdk1	-0.902877966829774	7.34032241460692e-07	-1.24105931024042	3.55676781161693e-09	-0.338181343410642	0.0113485304833677
Abca2	-0.920313528069387	7.47393863801523e-07	-0.48692305380086	0.000161863850459632	0.433390474268526	0.00219934966177298
Slc16a12	-0.833221606791774	8.02532208017252e-07	-0.839832323869696	1.62626790709345e-07	-0.00661071707792178	0.961623614235897
Dynlt1a	-1.11630755506391	8.39382069110313e-07	-0.864177407576269	1.51384503112965e-06	0.252130147487641	0.126116277659741
Sqstm1	0.905740442385785	8.42475576950178e-07	1.89890719985944	1.98723042398755e-11	0.993166757473657	3.43590682258888e-07
Ppp1r16b	2.45629151308912	8.53998350020115e-07	4.09898097055469	1.08378112945954e-11	1.64268945746557	3.89568489297186e-07
Tspan7	-0.903797947632159	8.53998350020115e-07	-1.557854316057	2.91616536674722e-10	-0.654056368424843	4.59794479140322e-05
Sh3bgrl	-0.858442351771422	8.53998350020115e-07	-0.816514186525862	3.02322638702831e-07	0.0419281652455596	0.75207600711568
Ddc	-1.1867246522592	8.60062363011543e-07	-2.64374622936989	2.22942553716062e-11	-1.45702157711069	1.11449412983999e-06
2410006H16Rik	1.51743909621531	8.63400428922412e-07	1.9829014278312	2.29447646779764e-09	0.465462331615896	0.00947338778166563
Dner	-0.860495169328422	8.66500588618122e-07	-0.566416925755425	1.96535018337689e-05	0.294078243572997	0.0193692332572687
Cox7a2	-1.10382805112679	9.09787466761133e-07	-0.676018605518926	3.3375829123339e-05	0.427809445607866	0.0106269482084954
Slc1a5	1.33256619944189	9.59022406911473e-07	2.26915759065209	3.34734415163211e-11	0.936591391210195	4.96567421404337e-06
Isl1	-0.806903140102275	9.59022406911473e-07	-1.13018313488604	3.96941347127623e-09	-0.323279994783768	0.00792788180577934
Calm3	-1.05286398837642	9.59022406911473e-07	-0.944968205197369	8.50682999614377e-07	0.10789578317905	0.475153610705405
Glrx	-1.05265612302651	9.59022406911473e-07	-1.09398805864154	8.97230093681828e-08	-0.0413319356150248	0.814914578702008
Pxdn	-1.06633714356942	9.67711134859537e-07	-0.279566541686671	0.0288543547327	0.786770601882748	4.31159184171168e-05
Ghitm	0.900907043320578	9.89419595541358e-07	1.37648293342158	1.1885282022753e-09	0.475575890100999	0.000669934268159372
Tsc22d3	1.05254921035277	1.00899410939309e-06	0.860152731978055	2.5315995834922e-06	-0.192396478374714	0.152146347323256
8430419L09Rik	-0.95673897377761	1.01325705863234e-06	-0.524201515569783	0.000124019373009073	0.432537458207827	0.00388426512690396
