genes	logFC_TgvDMSO_6h_MGN3	logFC_TgvDMSO_24h_MGN3	logFC_Tg_24hv6h_MGN3	FDR_TgvDMSO_6h_MGN3	FDR_TgvDMSO_24h_MGN3	FDR_Tg_24hv6h_MGN3	MGN3_DMSO_24h_2	MGN3_DMSO_24h_3	MGN3_DMSO_24h_4	MGN3_Tg_6h_2	MGN3_Tg_6h_3	MGN3_Tg_6h_4	MGN3_Tg_24h_2	MGN3_Tg_24h_3	MGN3_Tg_24h_4	avg_expression
1700010I14Rik	1.08357622693345	0.726406646997273	-0.357169579936176	0.037856929930531	0.0866831568717075	0.466004029917246	2.05131939050233	2.16577437590404	2.08031936646774	5.39482284527398	5.04992486821032	4.69808187469471	3.52986251164275	3.22246057094643	4.25996433414894	3.6058366819768
1700049G17Rik	0.763910508143821	0.452182523259701	-0.31172798488412	0.0375197586035772	0.12357175734717	0.360517065271849	6.21813466218665	4.39641725073972	5.71737728006982	9.83318498263614	10.1106154991928	11.2358029176269	8.69960563556371	7.27270917846627	7.66638936400728	7.9055818633877
2610301B20Rik	0.888645733378069	0.192626676499156	-0.696019056878913	0.0455281437832839	0.632285325974966	0.102895723255339	2.42137964576317	1.90012010162704	2.25914434938315	4.35787739236656	5.449739101235	3.75204016826523	2.72552167349912	2.97715171375008	2.31940213480471	3.12915292007712
2610307P16Rik	2.19165449527457	0.390890597385362	-1.8007638978892	0.00659201398038243	0.494103052091875	0.011250172661198	0.466358618182201	0.208478029811994	0.3570321186337	1.90441032034296	1.58017576965835	1.91307326739424	0.564759002401026	0.480696633055039	0.401948712725302	0.875214719133868
4930481A15Rik	1.81461982452084	1.90965813091737	0.09503830639653	0.0187767723430026	0.00635348449545568	0.90693125833273	0.253620969233028	0.172333232073692	0.217465546594879	0.983896198783999	0.834525232324728	0.750763249602226	0.885394037606391	0.596034060490845	1.0554173265477	0.638827761473054
5430405H02Rik	1.27010367237218	0.519902824921509	-0.750200847450671	0.0234455060180812	0.211638248489255	0.114357429817911	30.8173631996152	21.2998599335978	34.9414986027512	91.4048939110323	58.1331198328345	89.9841478965362	48.2827216092108	54.3762819471608	31.5647959698988	51.2005203225153
8030423F21Rik	3.15669468439353	4.67943034190816	1.52273565751463	0.0255629632543772	0.000912717744760233	0.039539972037053	0.0348965167464402	0	0.0267158723376487	0.270754821901795	0.291222785616244	0.21978703430224	0.66449555421868	0.763820716496964	0.672306623427023	0.327111102783004
9130023H24Rik	0.988445175890604	0.814453285993022	-0.173991889897582	0.0346532816566583	0.0364153608033704	0.72672039649763	0.663475428558134	0.413115706185141	0.715125573832576	1.21582151615715	1.22290958891717	1.56015271488695	1.05974515771874	1.24706384842274	1.0259504751106	1.01370666775436
9930104L06Rik	1.15422871044493	0.794149719171071	-0.360078991273863	0.0425289746553254	0.087136117550054	0.520886847906909	7.37045830738307	5.47767719379498	10.9796226114333	23.8036119014076	13.8028838902808	22.7753026883358	17.2266735811394	17.5123409525661	9.58481152225604	14.2814869609552
A730017C20Rik	-1.00637685409328	-0.845987019956893	0.160389834136387	0.0350612519792875	0.0339253918989504	0.764885085345794	4.27034070182698	4.12741124528568	3.71890330009174	2.31643994678311	2.37777050560469	2.14818640878389	2.32995267143891	2.21305651287552	2.61664850833366	2.90207886678046
