genes	logFC_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_24h_PCCL3	FDR_Tg_24hv6h_PCCL3	PCCL3_DMSO_24h_1	PCCL3_DMSO_24h_2	PCCL3_DMSO_24h_3	PCCL3_Tg_6h_1	PCCL3_Tg_6h_2	PCCL3_Tg_6h_3	PCCL3_Tg_24h_1	PCCL3_Tg_24h_2	PCCL3_Tg_24h_3	avg_expression
Aamp	0.234956042050941	0.607078274154542	0.372122232103601	0.333240420049511	0.0391166777871507	0.175485443066976	206.80125724676	198.878587738122	225.559184230882	242.751550832887	203.630088845289	182.093302143668	294.421930506306	332.585999657511	269.768210500161	239.610012411287
Abca17	-1.24395059053573	-2.18622443268743	-0.942273842151707	0.0743043682865351	0.0165604720909634	0.303193061740895	4.22876492429013	2.62839387640083	1.7466660070918	0.69749786316276	1.82911733202361	0.703277370480894	0.489494568251232	0.626731872132991	0.651437283461961	1.51126456636625
Abcb11	5.29654504499543	5.7154902985568	0.418945253561377	0.0182963042067967	0.0141962637859811	0.747203909367083	0.0384509223944936	0.0153315729264902	0	0.299490134615286	1.67875503392886	0.166262080308542	0.226992376653616	0.53282747500521	2.17057087650753	0.569853385815559
Abcb9	-7.1671256153599	-4.06307405921733	3.10405155614257	0.00246382252053324	0.00590051414321833	0.368409193593347	1.14800042667614	1.25381861548415	0.647034367454025	0	0	0	0	0.0628783847392549	0.0871426861880825	0.355430497837961
Abcc5	0.564542816772029	0.994115180448664	0.429572363676634	0.171885646877627	0.0442528568638847	0.347475579168326	140.714526582586	135.368777006875	246.197257188883	181.49723182445	186.039300249281	286.421943727247	275.464226393558	279.540702888718	423.558904687277	239.422541172097
Abcg3l1	-0.892472157228069	-1.7578802555236	-0.86540809829553	0.0810931968131826	0.00969695734227469	0.147491633665277	3.89542441067852	3.34148023637593	2.64390870381835	2.11988093353898	1.60768442734307	0.779965481781425	0.869928477113638	0.661838790762918	1.17451138462792	1.89940253844897
Abcg5	-2.33167699579148	-3.98408421508335	-1.65240721929187	0.029715031658838	0.00873813890075869	0.383894008944021	1.99815801743899	0.933664980880321	0.438455071411576	0.350177394144908	0.172182124511	0.0311540280111834	0	0.117993551702042	0.0817631932724345	0.458172040152495
Abcg8	-3.08542588248505	-2.59304386211709	0.492382020367968	0.00341520404699338	0.00705443183783518	0.672025173272651	1.71487347642782	1.26009620661069	0.595454320599478	0.0801417999341052	0.0675526287395083	0.195563760775436	0.241038991941895	0.077154491834554	0.213855673863775	0.493970150080807
Abhd12	-0.465954697176757	-0.59344677996263	-0.127492082785873	0.0410648257918761	0.0232730182697322	0.598377506140685	84.7984691316866	72.3328168134542	67.7217597104278	50.442599536467	42.1954987184293	44.8930295246171	46.3555489381176	43.4599618835189	49.5275036478623	55.7474653227312
Abhd5	1.87367343404866	1.09648349380016	-0.777189940248504	0.000303266061291935	0.00356692137312431	0.0229278070919705	37.401511688756	32.4388017368522	41.6816670344999	107.255463768418	98.6579836003349	139.719244769218	68.0776606406588	70.4269008678699	84.8409104713852	75.6111271753325
