genes	logFC_TgvDMSO_6h_GLUTag	logCPM_TgvDMSO_6h_GLUTag	F_TgvDMSO_6h_GLUTag	PValue_TgvDMSO_6h_GLUTag	FDR_TgvDMSO_6h_GLUTag	logFC_TgvDMSO_24h_GLUTag	logCPM_TgvDMSO_24h_GLUTag	F_TgvDMSO_24h_GLUTag	PValue_TgvDMSO_24h_GLUTag	FDR_TgvDMSO_24h_GLUTag	logFC_Tg_24hv6h_GLUTag	logCPM_Tg_24hv6h_GLUTag	F_Tg_24hv6h_GLUTag	PValue_Tg_24hv6h_GLUTag	FDR_Tg_24hv6h_GLUTag
Syt11	-1.60701307978635	7.59731145077411	111.190226902993	2.50233850412628e-07	0.000168490792611169	-0.139436551511812	7.59731145077411	0.888215023462998	0.364996542019402	0.58993963089612	1.46757652827453	7.59731145077411	93.3261727133043	6.32558008971625e-07	0.000344014240263799
Sec24d	2.50466915967857	5.65813820233224	107.352885887772	3.01769400325608e-07	0.000172427164234859	2.98869350423789	5.65813820233224	150.410768013236	4.89100538713853e-08	4.76300329336235e-05	0.484024344559319	5.65813820233224	4.92400284905749	0.0470420626567753	0.132215218836574
Usp36	1.10305219499308	6.84956634382828	106.339681686002	3.17355581635808e-07	0.000172427164234859	0.312009707039753	6.84956634382828	8.60413037431475	0.0128169984982522	0.0783538083723677	-0.791042487953328	6.84956634382828	55.5250663873694	8.89051075232441e-06	0.00107251600818593
Zfp184	1.5906350738549	3.30617365540531	105.927362524854	3.24103947411079e-07	0.000172427164234859	0.922297307237374	3.30617365540531	33.9802075815543	8.9180343476368e-05	0.00387026601079428	-0.668337766617526	3.30617365540531	21.3571605224999	0.000627276161514237	0.00909711274237057
Cdkn2c	-1.07260239738546	6.99477979411028	105.340844001497	3.33678134616766e-07	0.000172427164234859	-0.395952932736659	6.99477979411028	14.7494473424577	0.00245353075291777	0.028678282281518	0.676649464648798	6.99477979411028	42.273409544771	3.28683725736705e-05	0.00205008754694234
Tspan7	-1.06405292944287	9.11258080113106	105.25161054856	3.35183333135182e-07	0.000172427164234859	-0.572478829436418	9.11258080113106	30.991521124237	0.000133838605966982	0.00504660770232833	0.491574100006451	9.11258080113106	22.8167463794635	0.000482556977137425	0.00774501209616707
Rnasek	-1.55256008094375	6.1946557275313	105.143472312909	3.37019736176107e-07	0.000172427164234859	-0.319317813710523	6.1946557275313	4.76295739891892	0.0502098271932499	0.179420509606407	1.23324226723322	6.1946557275313	66.9791798399605	3.49446620429749e-06	0.000785654208706497
Trappc1	-1.66202291286303	5.20886227261836	104.886708536049	3.41439929177939e-07	0.000172427164234859	-0.544265974810563	5.20886227261836	12.26173993662	0.00452359896223485	0.0413736670931441	1.11775693805247	5.20886227261836	47.6834081237405	1.85960034591509e-05	0.00156516362447853
Dner	-1.86133390501373	5.69249331323242	103.690216245454	3.62867592759069e-07	0.000174406172781304	-0.788225247203733	5.69249331323242	20.100726048706	0.000793862530756344	0.0144468676768272	1.07310865781	5.69249331323242	34.9850924972152	7.82621440910292e-05	0.00302203721671752
Hspa5	1.61096752637697	11.0837927988826	102.973078856548	3.76460570583454e-07	0.000174406172781304	1.8746428760876	11.0837927988826	137.238181294153	8.05637924894885e-08	6.32873347667427e-05	0.263675349710633	11.0837927988826	2.89772429391952	0.115071720042278	0.23875482338926
Fkbp7	2.30179406702213	1.78152515080873	102.390117605171	3.89331225725103e-07	0.000174406172781304	0.950715870380111	1.78152515080873	13.6494601479773	0.00319182849630786	0.0338578056547586	-1.35107819664202	1.78152515080873	44.5245758167863	2.58097247295355e-05	0.00184317933169511
Sesn2	1.55493155557712	6.56515100235861	102.057956545007	3.94695723408892e-07	0.000174406172781304	0.948139200484392	6.56515100235861	38.6216803152728	4.99514339698729e-05	0.00276985598562354	-0.606792355092726	6.56515100235861	16.3766492472201	0.00169943558887515	0.0160093399245134
Lamp1	-1.04289603744649	7.86291913971586	101.232663133442	4.12031942830673e-07	0.000176549444594719	-0.212287684272857	7.86291913971586	4.30275569291533	0.0607895111667661	0.201072207235952	0.83060835317363	7.86291913971586	64.6070969921123	4.18997699226499e-06	0.000792233000444084
Arpc3	-1.1954610882027	6.36041917405795	100.355594495493	4.31443174383376e-07	0.000177021750437103	-0.527192888496544	6.36041917405795	20.2025454130301	0.000778559408590917	0.0143169027838655	0.668268199706153	6.36041917405795	31.644295201748	0.000122177235260289	0.00373128748721486
Ino80	0.999382481682197	6.23807662550646	99.6287820882507	4.48343135859902e-07	0.000177021750437103	0.333304673865302	6.23807662550646	11.1308353113865	0.00611652277805815	0.0501487864426024	-0.666077807816896	6.23807662550646	44.9937880276845	2.45116609886931e-05	0.00179782864149712
Ero1lb	1.22838000633567	6.40511431264411	99.5303110346246	4.50691868156698e-07	0.000177021750437103	0.984035540564876	6.40511431264411	64.2649790717674	4.3031513405364e-06	0.000636956113190245	-0.244344465770794	6.40511431264411	4.11569992653394	0.0658498753217008	0.16418951744989
Herpud1	1.75702483191803	6.28618597003841	96.3431247387876	5.35112166746242e-07	0.000198814722102609	1.15096595095608	6.28618597003841	42.1378438343301	3.33655744022619e-05	0.00214449646385447	-0.606058880961951	6.28618597003841	12.3111579112962	0.00446593904334927	0.0287430032193712
Atf3	2.26916924738002	4.49971698965157	95.8806808402289	5.48919508325426e-07	0.000198814722102609	1.19057774911976	4.49971698965157	26.0659177761286	0.000280058593289674	0.00770433562084824	-1.07859149826027	4.49971698965157	24.8069239437981	0.00034371775713972	0.006393718976456
Stim2	-1.16983865658731	6.16542098832886	95.5917367081968	5.57631017582454e-07	0.000198814722102609	-0.192252603416857	6.16542098832886	2.6979033985172	0.12703697896709	0.316786296652313	0.977586053170454	6.16542098832886	66.9506824971961	3.50197672882499e-06	0.000785654208706497
Ceacam10	-1.1628412624449	4.0916446680721	95.4390366793518	5.62417884307238e-07	0.000198814722102609	-0.484427952974307	4.0916446680721	17.704996649071	0.00128032312058037	0.019116968241823	0.678413309470592	4.0916446680721	31.8403637529556	0.000118917517850347	0.00367873568550309
Grn	-1.21785626431006	7.03971550790454	93.7725879206553	6.16904316816376e-07	0.000212064651555181	0.285416660288788	7.03971550790454	5.38866199925402	0.0391604741462055	0.155486046286613	1.50327292459885	7.03971550790454	141.402585058433	6.84837066891151e-08	9.68359612584088e-05
Wdr43	0.876004618118165	6.7683000367407	92.7957292873413	6.51767411147706e-07	0.000212064651555181	-0.00650367388940537	6.7683000367407	0.0051293465443761	0.944113230521194	0.973348096959803	-0.88250829200757	6.7683000367407	94.1458205211815	6.04163780099898e-07	0.000344014240263799
Clu	-1.27986332030745	4.50543416696716	92.7748343602768	6.52585007203367e-07	0.000212064651555181	-0.16998229977655	4.50543416696716	1.7912521045044	0.206177130259945	0.423146040482409	1.1098810205309	4.50543416696716	69.5568615759554	2.8868790867928e-06	0.000742190368859095
Naaa	-0.938134203641334	6.27095550932367	92.364352796957	6.67894766238029e-07	0.000212064651555181	-0.108994546009587	6.27095550932367	1.287628025783	0.279176397886205	0.504737791345216	0.829139657631747	6.27095550932367	72.2444046334787	2.38057875511804e-06	0.000686967012191205
Arid5a	1.2750933249237	4.24864625409679	92.1830919608094	6.74887504949301e-07	0.000212064651555181	1.01526774816673	4.24864625409679	58.0517302157126	7.14115222391038e-06	0.000839402323002893	-0.259825576756962	4.24864625409679	4.19838805965346	0.0635526851573718	0.160462806824314
Skp1a	-1.20799110871118	7.72552629401373	91.6854626774662	6.94229395913201e-07	0.000213400079526362	-0.454791982285038	7.72552629401373	13.3876168922842	0.00340147538085299	0.0350492461758565	0.753199126426143	7.72552629401373	36.1324755049035	6.76680572155405e-05	0.00285619799709774
Zfp131	1.16990156186737	6.68913861316382	91.2591083262491	7.11391129993107e-07	0.000214022778257501	0.221248760206318	6.68913861316382	3.29851758110508	0.0950075590449189	0.265495431797461	-0.948652801661054	6.68913861316382	60.6942608371747	5.72596133899348e-06	0.000919447316463054
Rnaseh2c	-1.6469346176302	4.80272355027228	90.6608983283375	7.36354197165232e-07	0.000215151340793167	-0.792943906921555	4.80272355027228	22.7182993536065	0.000490994000875956	0.0108309753079345	0.85399071070865	4.80272355027228	24.2128127074323	0.000379562455668032	0.00678509876503916
Plk3	1.05730282487493	5.15267588804541	90.2416764859326	7.54396743053825e-07	0.000215151340793167	0.170923307890367	5.15267588804541	2.32676713891858	0.153706195478321	0.353341831257269	-0.886379516984559	5.15267588804541	64.2324008478564	4.31414010142818e-06	0.000792233000444084
Ncam1	-1.0364644371051	8.41588660590424	90.0960564099097	7.60789748207803e-07	0.000215151340793167	0.13361029636077	8.41588660590424	1.53620598043888	0.239445716180909	0.462283236864835	1.17007473346587	8.41588660590424	114.263682385857	2.16301482365878e-07	0.000210179804383671
Ifrd1	0.881938572361598	7.70680154372124	89.6527272174915	7.80669563080404e-07	0.000216444463175626	0.696382936643238	7.70680154372124	56.1539316865971	8.41195757900171e-06	0.000894323911030708	-0.185555635718361	7.70680154372124	4.04625104251749	0.0678577883588218	0.167629127776684
Adamts16	-1.08321334447557	4.50910082827943	88.5297906465425	8.33867167294332e-07	0.000218248363954002	-0.95267954916295	4.50910082827943	69.5463822600108	2.88908755418371e-06	0.000537522342317864	0.130533795312622	4.50910082827943	1.24212131823188	0.287411420510154	0.448286570160761
Lrp11	-0.900082140611182	7.91824871679407	88.4670974504264	8.36897029720241e-07	0.000218248363954002	-0.357614462506198	7.91824871679407	14.1998501248319	0.00279299026263025	0.0310967577272376	0.542467678104984	7.91824871679407	32.3813744243747	0.000110412671137936	0.0035644638581973
Atp2b2	-0.94613278671321	5.85614042925444	88.284601551725	8.45969988171091e-07	0.000218248363954002	0.0521306204085598	5.85614042925444	0.279531154033359	0.606883090162366	0.782040179977751	0.99826340712177	5.85614042925444	98.2533006893673	4.82496686576576e-07	0.000310113779463309
Atf6	1.39222521446574	7.81405509931867	88.2257707260917	8.48915135606089e-07	0.000218248363954002	1.16814132204626	7.81405509931867	62.686965049694	4.87378945190592e-06	0.000681456705586397	-0.224083892419474	7.81405509931867	2.38794020788338	0.148855230516724	0.284395751858732
Tars	1.37090723305387	8.33321547327698	87.53599445942	8.84396192056562e-07	0.000223310038494282	0.630801317403742	8.33321547327698	18.9929491474292	0.000985321374979431	0.0163526340871	-0.740105915650132	8.33321547327698	26.2407104115524	0.000272345363693398	0.0056548655545149
Cth	1.69213999362737	4.21539056387933	85.8016372632795	9.81709080708238e-07	0.000241773930347041	1.31814052988192	4.21539056387933	51.7890146577669	1.24917796459354e-05	0.00114697249476316	-0.373999463745452	4.21539056387933	4.80420011304663	0.0493751064923846	0.136480303128713
Tmppe	-0.929868932268415	5.40634953105745	85.6323766217228	9.91717677519689e-07	0.000241773930347041	-0.0741166216581621	5.40634953105745	0.569012934861865	0.46554868004634	0.677524672973157	0.855752310610253	5.40634953105745	72.5250090770313	2.33402922041623e-06	0.000686967012191205
Tsc22d3	1.3434621455652	4.65382051186793	84.4374661134796	1.0669109484427e-06	0.000255696962897963	0.880432427896621	4.65382051186793	35.9845222691006	6.89375326499707e-05	0.00336129900576064	-0.463029717668577	4.65382051186793	10.7901960975373	0.00672048126185247	0.0371346639478679
Wars	0.926974151603279	7.60684829217372	82.4661025933839	1.20591309488619e-06	0.000281705783835278	1.32761262456922	7.60684829217372	166.986043976222	2.75721368211539e-08	3.03072908042429e-05	0.400638472965943	7.60684829217372	15.7794214005719	0.0019393444202199	0.0171711522241136
S100a13	-1.81785101406643	3.99906184853233	82.2580105748318	1.22201855109845e-06	0.000281705783835278	-0.783214890796089	3.99906184853233	17.2237061081552	0.00141642099838397	0.0205577223567098	1.03463612327034	3.99906184853233	25.973052894056	0.000284258283840627	0.00577501743319894
Zfp9	1.53580310075551	6.19960355337998	82.0848725914087	1.23520216391706e-06	0.000281705783835278	1.02712178130649	6.19960355337998	37.2031704132035	5.9269736294568e-05	0.00307916362702931	-0.508681319449022	6.19960355337998	9.55484753851196	0.0095893743932195	0.0458862111404818
Draxin	-1.04641176146118	5.21767254417281	80.9032401224341	1.33143930647259e-06	0.000298834155452736	-0.655454485978598	5.21767254417281	32.5609146778094	0.000107752771554901	0.00440041650270073	0.390957275482579	5.21767254417281	11.2024317298467	0.00599789175008405	0.0344057563270542
Tpp1	-0.975805223645943	6.62646716457004	80.170580503471	1.39547204560427e-06	0.000308312105075694	0.158761351083913	6.62646716457004	2.19587668670955	0.164778881992363	0.369194292229704	1.13456657472986	6.62646716457004	107.968940368733	2.92693419688179e-07	0.000243452056140638
Clstn1	-0.831203368500585	7.96144610548181	77.4034507245121	1.67231086766611e-06	0.000363791933366136	-0.104712113781919	7.96144610548181	1.2505851370466	0.285854358494357	0.512205541064029	0.726491254718666	7.96144610548181	59.2785034365	6.43823710248335e-06	0.000946198556986802
Isg20	1.62050103407168	3.79326750250679	76.4753331514995	1.77977556064963e-06	0.000373714885529685	2.51835547802397	3.79326750250679	192.583965137165	1.25491346609368e-08	2.53492520150923e-05	0.897854443952289	3.79326750250679	30.648931132478	0.000140500603417361	0.00394965910998308
Necap2	1.40538509304716	4.99523351675071	76.2632331978899	1.80487713692327e-06	0.000373714885529685	0.842226768760485	4.99523351675071	27.2709772624764	0.000231707146007763	0.00688306521964237	-0.56315832428667	4.99523351675071	13.0601523922008	0.00369014500142069	0.0257672347259696
Msn	-1.34002445464773	7.51688300050289	76.2433708922474	1.8071952135585e-06	0.000373714885529685	-0.422945510879616	7.51688300050289	7.89117701516765	0.0161019842831116	0.090314183960015	0.91707894376811	7.51688300050289	36.2073753839651	6.70370497200154e-05	0.00284623787846436
Resp18	-1.10751471318559	7.10205352064804	75.8599120933684	1.85455420113819e-06	0.000373714885529685	-0.700352484415205	7.10205352064804	30.9115714007751	0.00013535476240812	0.00508977348610018	0.407162228770382	7.10205352064804	10.3839920373652	0.00753492684086624	0.0394517963606016
Bglap3	2.54015583953229	1.14757870844799	75.7848669193855	1.88527203721002e-06	0.000373714885529685	1.10555715243178	1.14757870844799	10.5258908654003	0.00725175091187364	0.0555513888741308	-1.43459868710051	1.14757870844799	32.8732496866417	0.00010393721592507	0.00345867424677764
Endov	0.941965094788126	4.62706890235602	75.4755717665531	1.90359502351342e-06	0.000373714885529685	0.661919413318991	4.62706890235602	37.054983264164	6.03580155701494e-05	0.0031081632851078	-0.280045681469135	4.62706890235602	7.00281723890589	0.0217043168657289	0.0785108827018179
Ltv1	0.789296244135363	6.6382610693153	75.204522666522	1.93890601212516e-06	0.000373714885529685	-0.0379640390475078	6.6382610693153	0.173989868227803	0.684133896663299	0.831784462495189	-0.82726028318287	6.6382610693153	82.4809883410519	1.204787021838e-06	0.000521735676251059
Sez6l2	-0.900926122337923	8.34124853730694	75.1922927091735	1.94052051525139e-06	0.000373714885529685	0.0302605165512892	8.34124853730694	0.0865582262465969	0.773748271652582	0.88711591349773	0.931186638889212	8.34124853730694	80.2556282900597	1.38785161670039e-06	0.000554146886775656
Leprot	-1.4242682078384	5.25404695239759	75.0776890090535	1.95579218735478e-06	0.000373714885529685	-0.156814771339043	5.25404695239759	0.98649332921104	0.34067887408484	0.567932006550299	1.26745343649935	5.25404695239759	59.5469235581586	6.29569413351623e-06	0.000946198556986802
Ddr2	1.44293275559802	7.64993748332773	74.8761905842194	1.98284761642089e-06	0.000373832870615885	1.59370693730893	7.64993748332773	90.7397537688424	7.32970596852576e-07	0.000259105105987386	0.150774181710918	7.64993748332773	0.860589868888813	0.372297327599115	0.53411974556123
Gm16973	1.50990949383661	3.77925425403253	74.4571447335843	2.04104826252434e-06	0.000379742400422293	0.106892401337003	3.77925425403253	0.339770316226897	0.571015178636106	0.756482655041608	-1.40301709249961	3.77925425403253	65.2093949505469	3.99984154804118e-06	0.000785654208706497
Brpf3	0.892357824964206	6.11728286589822	73.914878739928	2.11837500533863e-06	0.000389010682798548	0.480180350668514	6.11728286589822	21.4673245180133	0.000614655426864038	0.0122521807038416	-0.412177474295692	6.11728286589822	16.1125728629426	0.00180094325670315	0.0165037833115895
Mettl16	0.856506744568722	6.36485017770483	73.508717776158	2.17887441169246e-06	0.000394990822837582	0.0125335034700412	6.36485017770483	0.0157352798000089	0.902302446367179	0.952372131321038	-0.843973241098681	6.36485017770483	71.4440010171027	2.51958253802118e-06	0.000698566609561167
Hspa13	0.873726974012769	7.89467382736452	72.3301259502264	2.36622688767382e-06	0.00042352466065453	0.788816511803164	7.89467382736452	59.1046893710672	6.53264926945937e-06	0.000803231831914396	-0.0849104622096054	7.89467382736452	0.696655466570008	0.420609475876122	0.580179298496573
Mgat2	0.907186289849309	6.81668839196285	71.9029798865689	2.43874315388237e-06	0.000425706931348729	0.626184882532519	6.81668839196285	34.4322866206307	8.40525381193154e-05	0.00370250121186019	-0.281001407316789	6.81668839196285	7.0536611630739	0.0213266708081453	0.07752162602241
Alg12	1.06221744295989	4.83140277106076	71.5420791459593	2.50217863244237e-06	0.000425706931348729	1.09931996338466	4.83140277106076	76.7750904386928	1.74394570742562e-06	0.000390080416390329	0.0371025204247682	4.83140277106076	0.0936971637234344	0.764901527072255	0.852100180635128
Cflar	1.44025036363316	4.55714834355594	71.532784777418	2.50385888954388e-06	0.000425706931348729	1.09330811366616	4.55714834355594	41.0361354893433	3.77514178261862e-05	0.00233102641075229	-0.346942249967008	4.55714834355594	4.56279076527628	0.054513633876656	0.145464138679225
Vimp	1.49535949512288	5.7141164500284	71.4717214421884	2.51462266702144e-06	0.000425706931348729	1.46393955831774	5.7141164500284	68.6539538706026	3.08433900081001e-06	0.000547347722255556	-0.0314199368051322	5.7141164500284	0.0342752493958744	0.856289890242686	0.912429468578115
Stmn3	-1.11156161638933	7.15153040087232	71.3919078834595	2.52895206741819e-06	0.000425706931348729	-0.436172369550706	7.15153040087232	11.2986524284559	0.00584265221393059	0.0486492273944461	0.675389246838627	7.15153040087232	26.6302964882166	0.000256063311399087	0.00546113909982366
Plekhb2	-0.829825258602055	7.38792759531833	70.4355480117299	2.70847691407212e-06	0.000450563100764469	-0.353311683246355	7.38792759531833	12.9707152328691	0.00377388146937617	0.0370979517030094	0.4765135753557	7.38792759531833	23.361706171775	0.000438862159605854	0.00729405841247803
Apobr	2.62884518388164	0.88796626360467	70.2275342205111	2.82393700846123e-06	0.000456596177671962	1.8705664258835	0.88796626360467	29.8484242382957	0.000159781231771987	0.00559249771458019	-0.75827875799814	0.88796626360467	9.8100127228475	0.00893257606326845	0.0440860822110352
Serp1	1.08791089225455	8.20779245082407	69.7919481130459	2.83770762818246e-06	0.000456596177671962	1.24785260692253	8.20779245082407	91.3020146971692	7.09641076943556e-07	0.000259105105987386	0.159941714667987	8.20779245082407	1.55283095093512	0.237068456295103	0.392477224214115
Pik3c2a	0.802250998670439	7.40372627925868	69.7389868077005	2.84866041859989e-06	0.000456596177671962	0.225048196629986	7.40372627925868	5.52409144927241	0.0371685283324334	0.150323976537119	-0.577202802040453	7.40372627925868	36.380200256485	6.56071636220474e-05	0.00283695808445183
Calm3	-0.867480407360721	8.75356788439439	69.6177977867514	2.87390804899608e-06	0.000456596177671962	-0.665192937761909	8.75356788439439	41.2149834770096	3.69941576581812e-05	0.00233102641075229	0.202287469598812	8.75356788439439	3.82946817908801	0.0746224836848797	0.178236810693277
Slc44a1	-0.807573755978188	6.03445159700196	69.3933693606236	2.92136707383843e-06	0.000458979226934171	-0.408126742332899	6.03445159700196	18.050103909739	0.0011921170091353	0.0183274644712094	0.399447013645289	6.03445159700196	16.9875959645801	0.00148928060407874	0.0147557658643967
8430419L09Rik	-1.31169354655261	6.55743144555223	69.1817415925116	2.96695401807819e-06	0.000461019008962919	-0.0153351743458378	6.55743144555223	0.00996285851191537	0.92218007776255	0.961979070421428	1.29635837220678	6.55743144555223	67.6061871612619	3.33384519813583e-06	0.000785654208706497
Creld2	1.28172334048351	6.77588341883183	68.4252620163496	3.13686651999464e-06	0.000471947368986135	1.25596527560963	6.77588341883183	65.8333567868023	3.81200879813564e-06	0.000609020612862659	-0.0257580648738761	6.77588341883183	0.0290049896432335	0.867674098049852	0.919363937536523
Orc4	1.02015189727141	6.25351112869341	68.3716057320254	3.14934741202631e-06	0.000471947368986135	0.0622695002853867	6.25351112869341	0.255017088428137	0.622931856978212	0.79104234015913	-0.957882396986022	6.25351112869341	60.4592435919012	5.83755381488419e-06	0.000919447316463054
Cebpg	1.328456050106	7.92937756921241	68.0411687330399	3.22748549165717e-06	0.000471947368986135	0.611505429942409	7.92937756921241	14.7338614138759	0.0024624639258574	0.0286889053012184	-0.716950620163588	7.92937756921241	20.3668359307298	0.000754598561829472	0.00990440033566515
Btaf1	0.703619988924768	6.80636690311197	67.9820598525634	3.24170368409125e-06	0.000471947368986135	0.139012424195094	6.80636690311197	2.658993676883	0.129544695409136	0.320686623439282	-0.564607564729675	6.80636690311197	43.9938546601782	2.72559778463041e-05	0.00189763982355371
Galnt3	2.52647669596763	2.73940943067244	67.703020082635	3.31481516225193e-06	0.000471947368986135	2.55000038284095	2.73940943067244	69.2879781716012	2.94847714328539e-06	0.000541447620857862	0.0235236868733238	2.73940943067244	0.00924964991191251	0.925007942713138	0.956279738854397
