genes	logFC_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	FDR_TgvDMSO_6h_aTC1	FDR_TgvDMSO_24h_aTC1	FDR_Tg_24hv6h_aTC1	aTC1_DMSO_24h_1	aTC1_DMSO_24h_2	aTC1_DMSO_24h_3	aTC1_Tg_6h_1	aTC1_Tg_6h_2	aTC1_Tg_6h_3	aTC1_Tg_24h_1	aTC1_Tg_24h_2	aTC1_Tg_24h_3	avg_expression
0610010K14Rik	-0.330159211191207	-0.746007195619208	-0.415847984428001	0.115878847666898	0.00602555577781515	0.108279046945871	7.9214701195697	9.86057145753206	7.39306975407613	7.16620935912404	6.98398971494925	6.46189430255165	3.79047281939133	5.74162536323453	5.18259645062909	6.72243326011753
0610011F06Rik	-0.487235250953612	-0.988863963894524	-0.501628712940912	0.0162146011590203	0.000563946156958264	0.0374404449669385	3.93479720050316	4.9579081379536	4.07627183749281	2.68802712634083	3.48774330060984	3.33240856460415	1.9143635307532	2.38378891505796	2.1367535821761	3.21245135505463
1110020A21Rik	-0.350016863351614	-1.10319911834557	-0.753182254993951	0.3476827426271	0.0247902516619391	0.132393326088458	0.957991624007041	0.985895974621808	0.454119579170802	0.544766118559795	0.68267263092949	0.730798095059674	0.485587762532273	0.31303326384119	0.372803616362626	0.614185407231633
1600012H06Rik	-0.791819742973929	-0.810146776355198	-0.018327033381269	0.000921429180683468	0.00105095094636882	0.93916878239154	23.1025173298583	22.3424120236123	23.1911026856864	15.4794026027968	12.7556783678697	12.5815647945314	11.9837845703272	12.602653201257	14.1735783236844	16.4680770999582
1700003E16Rik	-0.335769529804948	-0.944557490052529	-0.608787960247582	0.145792946047749	0.00405955742102327	0.0509863761972962	1.09541885904555	1.17377952745742	0.993921843336765	0.966698641248423	0.888027021016706	0.810717945540309	0.40537590134746	0.576314589473057	0.684928759306138	0.843909231974648
1700007L15Rik	-0.208909813921086	-0.647023822310591	-0.438114008389505	0.449808513201944	0.0483535703899886	0.197947791707404	0.471061121554635	0.418851799582069	0.420937944088561	0.289997749931292	0.432537434093414	0.436605532260707	0.179154354678825	0.32624169147984	0.299644095831856	0.363892413722355
1700034H15Rik	0.800465396425676	1.1689136590384	0.368448262612723	0.0317889790882153	0.00801122306864811	0.29678478165644	0.882655407028804	0.831385250812222	1.02700079497723	1.93513580698859	1.64002648244646	1.29054594523423	2.3547434986044	1.69444639589063	2.22802011927321	1.54266218902842
1700048O20Rik	0.952056807178328	-1.73007712361317	-2.68213393079149	0.0509447252104538	0.0389360721713858	0.00418179579530854	0.303574100151354	0.254169435027388	0.353219206167241	0.524125804302377	0.557649056512677	0.810528808281645	0.0485924042146215	0.130194550318817	0.0383144541709812	0.335596424349678
1700056E22Rik	0.0107318039247835	-0.801056744906568	-0.811788548831352	0.973040674413858	0.0206830971423429	0.0330601257636522	3.11793641573487	3.61932921398744	3.24460792569709	3.54184412182392	3.79699315744092	2.92077985976072	1.23364356395836	2.54255738524115	1.64612678476781	2.8515353809347
1700067K01Rik	0.619499255641463	1.63154943739738	1.01205018175592	0.231162614174256	0.00822022035372363	0.0438859564150009	0.0658366516468783	0.108521781247649	0.0478770459581066	0.140055324607591	0.115725477161945	0.113001952633625	0.142267327909261	0.285884662658334	0.233699720465054	0.139207771587605
1700102P08Rik	1.66130099979337	1.08406604521533	-0.577234954578045	0.0023484168425924	0.0350694136633304	0.175123865998109	0.236859868966343	0.176622071308734	0.252628601309647	0.869002937643467	0.675153084251516	0.626758424003295	0.241699273321621	0.473447747398884	0.650202556249028	0.466930507161393
2210408F21Rik	-0.335914762027177	-0.752954644822037	-0.417039882794861	0.1571093802772	0.0111973103798068	0.152246906047891	3.29892474197254	4.19541929222909	3.39498857598866	2.34405779763882	3.05524413997093	3.50570183744581	1.62990549793062	2.20650276219766	2.54326095793254	2.90822284481185
2210417A02Rik	-0.706581843881457	-1.0708728852658	-0.364291041384344	0.0204467437974166	0.00482984984578012	0.297452213883346	0.803064779775672	0.931409910941979	0.585739700544624	0.50109291779787	0.472621408261884	0.509177486308016	0.241740820967188	0.419683660241204	0.40844865229614	0.541442148570509
2310034G01Rik	-0.938238088487303	-0.838946408265013	0.0992916802222901	0.0167723905273949	0.0393672928281504	0.840409559326308	1.52527232384997	1.94875711156492	1.47599503333115	0.815723392178859	0.797793189172707	1.12754396809557	0.435113133468187	1.12417091207327	1.06355056290818	1.14599106962698
2310040G24Rik	0.82785160917331	1.0641357529519	0.23628414377859	0.00866230705270456	0.00317959291275984	0.414750461437012	1.35644238345844	1.84803193940386	1.01460131031346	2.70635218455527	2.60064626518103	2.49449585990841	2.61710271518119	3.05859071372153	3.13659619783352	2.31476217439519
2810021J22Rik	0.774421719103706	0.704897614902845	-0.0695241042008612	0.00308959674117932	0.00736531252674874	0.786373503201342	2.47597997781982	2.82686005786558	2.61899118719125	4.71895846103604	5.02825291124994	4.12098828238528	4.61177471414476	3.97170497195579	4.28972366893834	3.85147047028742
2810029C07Rik	-0.742733628564219	-0.994820495994902	-0.252086867430683	0.0269930600312432	0.0139719974178632	0.539896227581498	0.45470485629508	0.77791948349559	0.71261841654495	0.453180785930743	0.375606092550152	0.382263618954291	0.253999752709189	0.312130283272417	0.400550746229117	0.45810822622017
2810408A11Rik	0.00843495872423859	-0.827380990317503	-0.835815949041741	0.981472765954369	0.0417306449458977	0.0485463779070818	0.277404480997137	0.298618389365511	0.32276992838385	0.315223028011993	0.272987621867719	0.382609872232329	0.128452964184739	0.185740631069054	0.16880571113012	0.261401403026939
