genes	logFC_TgvDMSO_6h_aTC1	FDR_TgvDMSO_6h_aTC1	logFC_TgvDMSO_24h_aTC1	FDR_TgvDMSO_24h_aTC1	logFC_Tg_24hv6h_aTC1	FDR_Tg_24hv6h_aTC1
Ddx50	1.11629426826293	3.6486628131766e-05	0.475312816332263	0.00402216912179994	-0.640981451930667	0.00295617450361984
Phtf1	-1.07743300390495	3.66002892399279e-05	-0.840878567423484	0.000128070786133313	0.236554436481462	0.117504780152089
Acot2	1.74610191101233	3.66002892399279e-05	2.12460704206749	1.00457498863514e-05	0.378505131055167	0.0921852234076529
Nupr1	1.63883636239272	3.66002892399279e-05	1.86165299334221	1.48545547373024e-05	0.222816630949486	0.308191922601369
Rassf4	1.30294237669214	3.66002892399279e-05	-0.459297242101398	0.0135040917480602	-1.76223961879354	2.73379132485424e-05
Pnmal2	-1.85152094515087	3.84997235664996e-05	-1.87973294462002	4.17310056522199e-05	-0.0282119994691498	0.932517133396674
Wdtc1	-1.02298944861719	4.01660249268486e-05	-0.600308492945051	0.000768738439611528	0.422680955672141	0.0135004507428683
Nmd3	1.06790944990276	4.6701300669033e-05	0.586035963317948	0.00127004827035315	-0.481873486584809	0.00942926767415307
Orc2	0.943817029088611	4.78291921035337e-05	0.761624286923433	0.000127980878736076	-0.182192742165178	0.174172089814
Trmt13	1.12930958342024	5.2192221139207e-05	0.189696214708909	0.193722512766118	-0.939613368711326	0.000476800048623527
Klf11	1.33737775881307	5.34373989474582e-05	1.18889781058225	8.41695477931409e-05	-0.148479948230817	0.430396386835854
Loxl2	-1.22614585546	5.34373989474582e-05	-1.16308434127087	6.23631013422083e-05	0.0630615141891286	0.746013431567098
Egln1	-1.27761257100371	5.34373989474582e-05	-0.979894179085144	0.00019359128320581	0.297718391918567	0.112484355013864
Sel1l	1.10494671689276	5.51091994913864e-05	0.955768061577433	9.73083219310526e-05	-0.14917865531533	0.34799209608272
Gatsl2	-1.33461793586449	5.52782906048753e-05	-1.56862023729216	1.81945290091729e-05	-0.234002301427677	0.224970936698298
D6Wsu163e	0.910207352200258	6.37572911644042e-05	0.666693071457146	0.000305979594720382	-0.243514280743113	0.0805249478668202
Inpp4b	2.59349423552754	6.37572911644042e-05	1.94923342969887	0.00050906930628473	-0.644260805828666	0.0438012260897853
Serp1	1.26686878379736	6.37572911644042e-05	0.922004130078018	0.000309043416148415	-0.344864653719344	0.0756941378786571
Gm11974	2.46783184059362	6.79709534157063e-05	1.17673528352466	0.00507898506479222	-1.29109655706895	0.00445184111632533
Snhg5	1.51412531958654	6.79709534157063e-05	0.761569533259854	0.00305401807936221	-0.752555786326684	0.00751321640257772
Erlin1	0.886060116737051	6.79709534157063e-05	1.45309417872765	2.93012808011641e-06	0.567034061990595	0.0027786763278845
Pdcd2	1.29961964735736	7.17899113674733e-05	1.00921765893426	0.000260897784724839	-0.290401988423098	0.130373146181935
Dnajb11	1.6152987009245	7.17899113674733e-05	1.21248883699852	0.000287780258867586	-0.402809863925974	0.100884460891219
Calr	1.58159689519683	7.17899113674733e-05	1.26841782163704	0.00019058549263416	-0.313179073559797	0.183554097490696
Gnpnat1	1.18409844817298	7.17899113674733e-05	1.07594853035725	9.88688768259498e-05	-0.108149917815725	0.546257104287849
Pcyox1	-0.86908985470243	7.17899113674733e-05	-0.314054143226437	0.0157606377017356	0.555035711475993	0.00298218891413454
Arid5a	1.24215426970056	7.38144601725803e-05	2.13612517078591	2.5958134086979e-06	0.893970901085352	0.000988364102177389
Nacad	-1.00711120345695	7.38144601725803e-05	-0.787360111657506	0.000259432226988772	0.21975109179944	0.160381715551425
Olfr1372-ps1	3.37623927854203	7.38144601725803e-05	-0.354499654454315	0.665730118601398	-3.73073893299635	0.000169375046592563
Pdia5	1.06242355934885	7.38144601725803e-05	1.51212746490379	7.29223999517536e-06	0.44970390555494	0.0153940636098693
Pgm2	-1.11749050895031	7.38144601725803e-05	-1.17664461852771	4.59052904833516e-05	-0.0591541095774056	0.74909226535155
Gusb	-0.995724342247156	7.38144601725803e-05	-0.417420821195793	0.00841939829392113	0.578303521051363	0.00484839308967355
Dnajb9	1.70431833189916	7.38144601725803e-05	1.39038833249734	0.00019058549263416	-0.313929999401819	0.216968441145309
1700094D03Rik	1.44526220725342	7.38144601725803e-05	1.23930921367051	0.000165702582650332	-0.205952993582915	0.320286333238446
Scfd1	0.97650242216045	7.38144601725803e-05	0.545463881408112	0.00179488415117431	-0.431038540752338	0.0149759967359068
Snhg12	2.76926923195702	7.55913403266773e-05	1.20252049366513	0.00731394535419253	-1.56674873829189	0.00422869303460309
Manf	1.58616555875737	7.67661691677003e-05	0.953018529437948	0.00116894283690632	-0.633147029319421	0.0217382835832509
Tfap4	0.98364307470998	7.73836315987303e-05	0.318065346447616	0.0307839604746259	-0.665577728262364	0.00254332118594111
St7	1.15734477439436	8.26843774805013e-05	1.18733309847102	6.00827211221485e-05	0.0299883240766593	0.883288789421147
Cyb5r1	1.82275176185009	8.32827322807442e-05	2.54203840092626	1.04416132984504e-05	0.719286639076172	0.0227122912838281
Bace1	-1.03233383201511	9.07926262542762e-05	-0.567225545493526	0.00234690004951816	0.465108286521589	0.0160617554580093
Dag1	-0.975074046330834	9.21769154316238e-05	-0.38629372332191	0.0125302887902539	0.588780323008924	0.00456891609084299
Syt11	-0.847410762704836	9.50506869405679e-05	-0.410248805649649	0.00469146762058112	0.437161957055187	0.00913766894208963
Mfsd9	-1.50812333844761	9.50506869405679e-05	-1.42420778759348	0.000154618189073674	0.0839155508541324	0.776388284793908
Mgea5	0.929846996033145	9.50506869405679e-05	0.597367924082296	0.00101733490630861	-0.332479071950849	0.0393117411752943
Cdr2	1.26417214532886	9.50506869405679e-05	0.895098751719006	0.00060944113013676	-0.369073393609855	0.0743482439475107
Trp53inp2	-0.949046013713221	9.50506869405679e-05	-0.554719912050182	0.00169655380911257	0.394326101663039	0.0225495498081277
Myc	1.95595914908199	9.50506869405679e-05	2.87770130358841	7.29223999517536e-06	0.921742154506424	0.00631115734542094
Nova2	-1.06965605529915	9.55827809847424e-05	-0.779438223575225	0.000532301946107095	0.290217831723925	0.102035808496053
Chst1	-1.39662333256903	9.55827809847424e-05	-0.924809270354864	0.000966398382458747	0.471814062214166	0.0554673909990827
Triobp	-1.09140980726841	9.55827809847424e-05	-0.758904388190108	0.000682272060711874	0.3325054190783	0.0710347013945843
Mcf2l	-0.868285893529382	9.69067624107572e-05	-0.926423824131563	5.92595410375033e-05	-0.0581379306021808	0.699613240977002
Rab3il1	-1.01828066311528	9.69067624107572e-05	-0.715155539615416	0.000720122101830211	0.303125123499863	0.0828623125998391
Ppard	-1.17391590248467	9.88714708664256e-05	-1.09689485281154	0.00012165190881058	0.0770210496731284	0.705205462574674
Jup	-1.24017606033012	0.000102646844795419	-1.40183108352918	5.19919954609922e-05	-0.161655023199054	0.445981705619978
Abat	-0.940788409645555	0.000102646844795419	-0.820618407208609	0.00019058549263416	0.120170002436947	0.438331337123535
Dhx40	0.914958015774343	0.000102646844795419	0.418068746362539	0.00771404198340612	-0.496889269411805	0.00801710859226534
Zfp623	0.942349093003575	0.000102646844795419	0.841702974773949	0.000169844748196232	-0.100646118229625	0.514742336850182
Tars	1.16816863990282	0.000102646844795419	1.01554272012414	0.00019058549263416	-0.15262591977868	0.421410768315299
Nptx1	-1.2905417306052	0.000102646844795419	-1.82717191287041	1.48545547373024e-05	-0.536630182265201	0.0307442261693955
Tubb4a	-1.52168197417204	0.000102646844795419	-1.67392490484556	5.98601204858363e-05	-0.152242930673521	0.563522275465864
Tmem132b	2.69351866480149	0.000102646844795419	-0.482425802975906	0.410943720287993	-3.17594446777739	0.000187034229192927
Slc2a3	-1.62991742660329	0.000105767029971824	-1.69338298598382	7.02846590756119e-05	-0.0634655593805347	0.831965979937284
Nrn1	-1.69796890708619	0.000111070086156971	-2.16156904940889	3.23337980556761e-05	-0.463600142322698	0.130224991746449
Plat	-0.875463380909569	0.000111648641955706	-0.448979897362414	0.0042680876154233	0.426483483547155	0.0140020330254025
St7l	0.873315330743454	0.00011339740469962	0.519866572426892	0.00197845891637115	-0.353448758316563	0.0285631016977699
BC005537	-0.918254417930242	0.000113921430652704	-0.546950605308895	0.00187896447648811	0.371303812621347	0.0294431975059334
Glce	0.910429139140986	0.000113921430652704	1.06932644902879	3.72741862084376e-05	0.158897309887804	0.285413320166825
Pfn2	-1.01682775020393	0.000113921430652704	-0.977540483386671	0.000121206847748947	0.0392872668172606	0.837324613131014
Nbeal2	-1.13084017876816	0.000113921430652704	-0.845902234138945	0.000568537268856364	0.284937944629219	0.137697632837951
Lrrc10b	-1.19045617360071	0.000114669770779868	-0.886720829155344	0.000558210921905681	0.303735344445367	0.129246286605453
Farsb	0.800730385049973	0.000115573961516765	0.492923206903453	0.00165172316309467	-0.30780717814652	0.0363105032628472
Cul7	-0.860503458830245	0.000115573961516765	-0.479295129715838	0.00289589531701343	0.381208329114407	0.0211774786445053
Gnl3	0.919950237550101	0.000115865244825064	0.787160891070851	0.000251048563328583	-0.13278934647925	0.382622311710338
Apof	-1.96031648780328	0.000118600337665786	-1.66576133692134	0.000358398233488193	0.294555150881944	0.427574712696301
Cyp27b1	2.06593346850831	0.000118600337665786	1.68244671941845	0.000520143913455345	-0.383486749089863	0.1878187734781
Cth	2.05950691012409	0.000118600337665786	2.3399547766118	5.19919954609922e-05	0.28044786648771	0.389119655805437
Lrrc59	0.992771566617609	0.000118600337665786	0.782864133453547	0.000411102324991394	-0.209907433164062	0.205257066571224
Syvn1	0.857630915009467	0.000118935516316232	0.60524865770899	0.000810349724758028	-0.252382257300477	0.0885847672905753
C2cd4c	-2.34290496821612	0.000118935516316232	-2.13028064356309	0.000320035372272261	0.212624324653024	0.689414299384943
St3gal2	-0.904492402444399	0.000119870939552996	-0.675977859963681	0.000616352901899973	0.228514542480718	0.141041922281269
Prkab2	-0.973960003257173	0.000124787853179309	-0.649909407135215	0.00121122000004944	0.324050596121958	0.064732464410193
Sdf2l1	2.46771378133481	0.000124947182524957	0.864209691338392	0.0262559170308016	-1.60350408999642	0.00411505465344143
Xbp1	1.40939846508233	0.000129566577595338	0.895878069518602	0.00150344818264741	-0.513520395563725	0.0444943595808421
Pcyox1l	-1.10116706431264	0.000129587953924803	-0.564576374731964	0.00510814632321311	0.536590689580679	0.0160617554580093
Sema6a	1.74164721906855	0.000129587953924803	1.52257220337957	0.000251048563328583	-0.219075015688976	0.446148903633538
Prrt3	-1.10625264548903	0.000132769579152442	-0.59938017322306	0.00378265573911507	0.506872472265974	0.0204452421135966
Tnfsf10	-2.21584790737106	0.000132769579152442	-1.71831747321208	0.000646626884580757	0.497530434158982	0.237329248497134
Wars	0.96396417540722	0.000134983493590256	1.30092650509228	2.11260242993586e-05	0.336962329685056	0.0538674154619388
Prkcz	-0.862023956573633	0.00013518503218271	-1.06037787367976	3.71508872359672e-05	-0.198353917106124	0.18687816360205
Elmsan1	0.909878405780107	0.000135898005599443	1.22702801327059	2.12429002895101e-05	0.317149607490479	0.0546057988745647
Tex10	0.803017476532406	0.000135898005599443	0.164107542361857	0.180117741768032	-0.638909934170549	0.00187584826414167
Catsper2	1.30384079025695	0.000137758679738381	0.301693361016613	0.158656468852346	-1.00214742924034	0.00210128006120384
Dscc1	1.15184136723783	0.000137758679738381	0.698775282275078	0.00260130661692763	-0.45306608496275	0.0338691703782788
Cybrd1	2.33398137302294	0.000138684528017783	-0.176621682821675	0.734036172203214	-2.51060305584462	0.000370675791673747
Lrp11	-0.835424726467027	0.000138684528017783	-0.383326733331	0.00953582473473458	0.452097993136027	0.0106455601970511
Bcl6	1.03590802650359	0.000139926075386585	0.872929168228969	0.000389151161416183	-0.162978858274624	0.346318418740637
Rhbdd1	1.17297849486469	0.000139948226266136	1.15593570923212	0.000128494293626079	-0.0170427856325641	0.943085689383216
Xpot	0.800212517940417	0.000139948226266136	1.14747300196754	1.48545547373024e-05	0.347260484027119	0.0261058411990523
Eif1a	0.924003173861931	0.000139948226266136	0.601502671549317	0.00153771695598348	-0.322500502312614	0.0566048579370658
Sh3pxd2b	-1.06714029945217	0.000142033352775746	-1.04721903411661	0.000143403712794913	0.0199212653355609	0.928551872544344
Arhgef2	0.966881840398862	0.000143286004662108	1.67329114832308	5.78031287802545e-06	0.706409307924222	0.00295617450361984
Fyn	1.01639210666202	0.000143286004662108	1.36639066805166	2.23909786380126e-05	0.349998561389644	0.0577668866632442
Rab27a	-0.838065771392923	0.000143286004662108	-0.84454923213853	0.000123408352317493	-0.00648346074560755	0.971558441708095
Ly6e	-1.02371037715511	0.000143286004662108	-0.669637297755363	0.00158936295485783	0.354073079399747	0.0629597218045984
Zfp9	1.31111085658578	0.000143286004662108	0.853991652926672	0.0015484233953521	-0.457119203659105	0.0564948955033153
Gabrr1	3.97924434558298	0.000152027953290489	0.968689412024826	0.382879015037395	-3.01055493355815	0.000991002803919705
Smad7	1.18363995065754	0.000155883049513835	1.06307958294958	0.000280381317398779	-0.120560367707956	0.560859673748354
Nfxl1	1.05488053249134	0.000155883049513835	0.791578159875977	0.000749075019683984	-0.263302372615361	0.156615477809635
Dusp8	1.15388593117146	0.000155883049513835	0.528695569064962	0.0109016117602203	-0.625190362106497	0.0110085532841447
Dnaja3	0.79402380367316	0.00015652166135911	0.908120639970118	6.34063032063572e-05	0.114096836296958	0.416814109083515
Tuba3a	4.16355790238589	0.000158434584192168	1.97603903580054	0.0647361469325345	-2.18751886658535	0.00345953221840023
1810026B05Rik	1.06615427765695	0.000160704974834174	-0.0237392231608096	0.905292677445087	-1.08989350081776	0.000519515480857906
Cyb5r3	-0.871149608934692	0.000163064998995688	-1.12641907391917	3.3221294967395e-05	-0.255269464984476	0.108982448099055
Diras1	-1.11343827842446	0.000163064998995688	-0.660718338796277	0.00296894035236392	0.452719939628186	0.0391256171506866
Ppme1	-0.931168887714028	0.000163064998995688	-0.873090017062825	0.000211869625208733	0.0580788706512034	0.746161284908965
Ufl1	1.0301286957346	0.00016327640633159	0.795698939697586	0.000684658058339436	-0.23442975603701	0.198146876212308
Zc3h8	1.43036792170058	0.00016327640633159	0.854792502958601	0.00295798335673615	-0.575575418741983	0.0361239370097683
Wbp1l	-0.78197033791495	0.000165299526263368	-0.227842711510788	0.072764361423508	0.554127626404162	0.00416688753922603
Cntnap1	-1.01387793105906	0.000167986769421594	-0.724386855883043	0.00108698536392866	0.28949107517602	0.117776480974266
Ifrd1	0.90960677881706	0.000168709066584408	1.08828789777356	5.43753927382711e-05	0.178681118956505	0.268828513518902
Hspa13	0.770944167463042	0.000171515605644671	0.301193139209276	0.0243130277459243	-0.469751028253766	0.00782518466293381
Ero1lb	0.853430966809439	0.000171515605644671	-0.0650060320666073	0.64935178576171	-0.918436998876046	0.000417638356250439
Isg20	1.22677988716659	0.000171515605644671	1.03697328652608	0.000434387022832245	-0.189806600640505	0.376796703811451
Pcyt1b	-0.955295058817302	0.000172418002579099	-1.04159633656402	0.000101391731564827	-0.0863012777467217	0.639585301167896
Pam	-0.923196980552127	0.000174301409171033	-0.266820803458234	0.0754792025510836	0.656376177093893	0.00417044280738407
Hspa8	-1.30758387401495	0.000177217370727889	-0.570452899280667	0.0143627510119001	0.737130974734285	0.0105279257733153
Rtkn2	-0.808488431053066	0.000177217370727889	-1.27303483326816	1.27726332632149e-05	-0.464546402215089	0.0106695077190934
Calm3	-0.844484145977298	0.000177217370727889	-0.791125896348495	0.000235615953780472	0.0533582496288031	0.746817456252887
Ciart	1.42892841878077	0.000177217370727889	1.64040480399072	7.07456073052853e-05	0.211476385209949	0.395339977152675
Pgam1	-1.32521515561403	0.000177217370727889	-1.02163193440179	0.000724195030968741	0.303583221212239	0.20267491161767
Aldoc	-1.32413865112906	0.000179847927578241	-1.53828143129361	8.23368878306487e-05	-0.214142780164551	0.396578341751395
Abca2	-1.04075801679652	0.000180646694055728	-0.58656426065264	0.004206817314529	0.454193756143878	0.0312526964705668
Ppp1r3c	-1.6972207711852	0.000180646694055728	-2.03424616857448	9.66963064816967e-05	-0.337025397389281	0.344067462659925
Lmo4	1.0018865783403	0.000189132331058152	0.998016942825266	0.000173125355142356	-0.00386963551503449	0.985653414117085
Unc5a	-1.00701994759222	0.000189389390757711	-0.505558343446124	0.0087385081860578	0.501461604146099	0.0203867645979195
Gm2a	-0.978987403080874	0.000189389390757711	-0.61804983478045	0.00253734394470959	0.360937568300424	0.0604302607975819
Mgarp	-1.59749982982284	0.000189548008737185	-2.72875456026415	1.48545547373024e-05	-1.13125473044131	0.00797248046800072
Chac1	1.64406440114792	0.000192941644550662	1.41795287271906	0.000417108653121033	-0.226111528428859	0.442999169769428
Lonrf1	0.82806973548835	0.000192941644550662	0.941922503710877	8.24563700467552e-05	0.113852768222527	0.454210221197926
Ankrd55	0.995464721796288	0.000192941644550662	0.435407698394058	0.0188970067616905	-0.56005702340223	0.0107824379382699
Ulk1	-1.08119043584292	0.000192941644550662	-0.574429255054087	0.00623198910664676	0.506761180788831	0.0247436904000166
Rab39b	0.964957470074683	0.000192941644550662	0.861080973455323	0.0003466968631658	-0.10387649661936	0.567150505499946
Rpp40	1.00962793799208	0.000192941644550662	0.622761639773674	0.00314283181548277	-0.386866298218408	0.0488105608929472
Ndrg4	-0.929598663978301	0.000192941644550662	-0.577465224753905	0.00271693305176014	0.352133439224396	0.0533511469343592
Epb4.1l1	-0.776348114119064	0.000192941644550662	-0.398400953490564	0.00779741183248761	0.3779471606285	0.0216372378097529
Ccdc130	1.2272545596058	0.000192941644550662	0.761283696768022	0.00297086032222154	-0.465970862837781	0.0496969921190213
Avil	2.65234766793703	0.000192941644550662	6.11230227591132	3.82957726044351e-07	3.45995460797429	7.17409751349516e-06
Tmem97	0.875501925399543	0.000199049378647741	0.974831759156414	9.69179807266196e-05	0.0993298337568706	0.545909725174758
Klhdc1	0.967278644842706	0.000201058825154418	0.696583135858753	0.00146809939451384	-0.270695508983953	0.126689092237947
Fam13b	1.0110460866439	0.000202038771332524	1.1883200797814	7.07456073052853e-05	0.177273993137494	0.339973677681016
Polr1e	0.773124223785922	0.000203605145998014	0.492965702698203	0.00271693305176014	-0.280158521087719	0.0624010339756884
Nlgn2	-0.723909187747667	0.000205920307181245	-0.575410769161184	0.000735026449242025	0.148498418586483	0.271007410831374
Orc4	0.867650038660501	0.000208540772285326	0.200796334956146	0.159979744742697	-0.666853703704355	0.00339505056960209
Tspan2	0.837947090970885	0.000208956082345225	0.666570552347609	0.000783327716866516	-0.171376538623276	0.265925237125793
Cry1	0.868476444747558	0.000211182276263011	0.839680986368964	0.000247200980535313	-0.0287954583785942	0.875681448524275
Wdr75	0.808641237744463	0.000212742947982832	0.513755568726573	0.00266201144311554	-0.29488566901789	0.0640162754052964
Impad1	-0.884288818570531	0.000212742947982832	-0.531723927704291	0.00349882019084027	0.352564890866241	0.0476633371317146
Ccnf	-0.822948926723886	0.000228951751999505	-0.368749160436646	0.0163580661959198	0.454199766287241	0.0144669269291134
Rimbp2	-0.96669196999495	0.00022990033868747	-1.11104205778637	9.1017273436125e-05	-0.144350087791423	0.434196116455543
Eif2ak3	0.693083636639781	0.00022990033868747	0.489064837583095	0.0015923605382695	-0.204018799056686	0.125636378819726
Slc25a4	-0.914133245349618	0.000230286470392645	-0.464914519979589	0.0090122497391275	0.449218725370029	0.0228077520466486
Rnf138	0.797200434591147	0.000232719030248982	0.201670647776864	0.135559416674656	-0.595529786814283	0.00417044280738407
Tmem248	0.709094355478738	0.000232719030248982	0.567448439410906	0.000783327716866516	-0.141645916067832	0.291187969959993
2310022B05Rik	-1.18433396885122	0.000232719030248982	-1.07346030920161	0.000384899724956655	0.110873659649617	0.638191732700102
Klf15	1.29135909802125	0.000233931430618027	1.59383773094153	6.34063032063572e-05	0.302478632920277	0.194410319960352
Nfil3	1.05610120059815	0.000233931430618027	0.880826365437656	0.000653663204209524	-0.175274835160494	0.37466085570415
Cbln3	-2.55753648547389	0.000234646315464833	-3.53169505349861	0.000155913461150473	-0.974158568024717	0.220686729439276
Tma16	1.22724588057411	0.000236384994352259	0.890293749257267	0.00149517123260675	-0.336952131316844	0.145188820420927
Gas6	-1.27912954933676	0.000236384994352259	-0.753267615722943	0.0047471860948076	0.525861933613815	0.0508479041706608
Trabd	1.04971294025217	0.000236384994352259	0.552026351540885	0.00805820714665144	-0.497686588711283	0.0262184619718481
