genes	logFC_TgvDMSO_6h_GLUTag	logFC_TgvDMSO_24h_GLUTag	logFC_Tg_24hv6h_GLUTag	FDR_TgvDMSO_6h_GLUTag	FDR_TgvDMSO_24h_GLUTag	FDR_Tg_24hv6h_GLUTag	GLUTag_DMSO_24h_1	GLUTag_DMSO_24h_2	GLUTag_DMSO_24h_3	GLUTag_Tg_6h_1	GLUTag_Tg_6h_2	GLUTag_Tg_6h_3	GLUTag_Tg_24h_1	GLUTag_Tg_24h_2	GLUTag_Tg_24h_3	avg_expression
1110032A03Rik	0.633431129449721	0.837070482594521	0.203639353144801	0.0188928497066535	0.00982479751847698	0.400445053993749	7.5731014066297	7.79732579548905	8.72102039657027	14.5887540414854	11.2452006855966	10.8131503350567	13.8018837981082	15.1433752570886	15.6117522980932	11.6995071126797
1700001L19Rik	-0.428088385732334	-0.60071289333257	-0.172624507600236	0.0761393168896251	0.0404775509482646	0.504266861583323	2.09526518791048	2.246878345601	1.86690621881789	1.56086429219329	1.70843956797073	1.21174263682034	1.57557211775652	1.33583168821594	1.33409600445935	1.65951067330506
1700019D03Rik	-0.225434502024142	1.23001908388932	1.45545358591347	0.693919424004488	0.0275136823341816	0.0100680043956538	0.744753254396974	0.958504886237934	0.895218889181277	0.975507604888878	0.450764066560383	0.954111540260868	2.4084646070255	1.92801896446841	1.98203361993901	1.25526415921769
4732456N10Rik	-1.2109925965501	-1.0882972289127	0.122695367637398	0.0113466333371842	0.0320871847521656	0.815132969015357	1.00809942586578	1.16885949773409	1.85343799209807	0.354715198364045	0.568745174655427	0.887841513084886	0.629699036245135	0.609676033391024	0.697480909607888	0.864283864560705
4930526L06Rik	-0.612302171118076	-0.880156828728668	-0.267854657610591	0.0419228635674724	0.0186681077615095	0.39488800857936	2.75438444085802	2.03027254709533	2.28527672135718	1.81880973852696	1.44145140259404	1.25025209611329	1.28482928905504	1.11764214322583	1.51525093151719	1.72201881226032
4933407L21Rik	-1.10887513417076	-1.57311095500265	-0.46423582083189	0.0323071683246727	0.0186190502952666	0.449996110207332	0.977907989444677	1.30299773936277	0.814384044539018	0.301388942050988	0.705615766159953	0.27210323002181	0.505994546268782	0.308106752997392	0.273375539505366	0.606874950038973
4933408N05Rik	1.92396300319755	2.53324257152164	0.609279568324097	0.0460632607152132	0.017629892719369	0.331988848104617	0.0479028185473782	0.0246605626070925	0.0127957392466579	0.114081869062468	0.0773155195071208	0.188827153225639	0.111537632771958	0.188154512267339	0.227652093136199	0.110325322263539
5031414D18Rik	1.11962017133132	2.05990058674026	0.940280415408935	0.239246633013716	0.0412910565420035	0.180569349194627	0.00583464775469572	0.0420518000509245	0.00623417439968326	0.0389070437985135	0.0414355329871961	0.0367991682828894	0.0724558950365532	0.0916702052887102	0.0798578677689897	0.0461384817075728
5031425E22Rik	-0.561777158668229	-0.630611188659742	-0.0688340299915133	0.00799078727991366	0.00891637200734966	0.735308983304579	15.2362648699181	14.377673137828	15.8265167183893	8.67083999220499	11.1140576069489	10.6970582302324	9.59492158362177	10.981951699337	9.93029812864756	11.8255091074587
6530402F18Rik	1.12048331889129	1.69293792412162	0.572454605230334	0.0608279545447755	0.0156573785631647	0.218080729511309	0.290753000433104	0.449042423043788	0.181219657080793	0.346218100842258	0.860342249658256	0.764075587873744	1.1032488232039	0.968995738176798	1.03171928609325	0.666179429600655
