genes	logFC_TgvDMSO_6h_PCCL3	logCPM_TgvDMSO_6h_PCCL3	F_TgvDMSO_6h_PCCL3	PValue_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	logCPM_TgvDMSO_24h_PCCL3	F_TgvDMSO_24h_PCCL3	PValue_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	logCPM_Tg_24hv6h_PCCL3	F_Tg_24hv6h_PCCL3	PValue_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
Rcan1	3.94664606064961	9.91048132224933	228.597164653922	1.9109994253635e-08	0.000106045938921366	3.27142375602577	9.91048132224933	166.976864515886	9.14924377524718e-08	0.000116442423968163	-0.67522230462384	9.91048132224933	8.43733437446617	0.0150279172992544	0.078654243609784
Sec24d	2.44633281961956	8.25929439568847	209.206743523687	2.97972703452499e-08	0.000106045938921366	1.59640534548449	8.25929439568847	94.1795704424045	1.47633800442904e-06	0.000320333252656658	-0.849927474135073	8.25929439568847	27.7821263862634	0.000311832956487683	0.00951805730490388
Arl4c	2.46610604083812	7.34918015444549	193.994749419511	4.34405535621525e-08	0.000106045938921366	1.77267746419988	7.34918015444549	104.896094925394	8.82729777588964e-07	0.000245931225171719	-0.69342857663824	7.34918015444549	17.0435297509139	0.00186266167586224	0.0239103438306207
Ror1	2.22174663903901	7.34604629903528	184.213507565287	5.62031384918233e-08	0.000106045938921366	0.71035781978202	7.34604629903528	20.2260867196233	0.00102527891156927	0.0137544473338345	-1.51138881925699	7.34604629903528	89.4789776839204	1.88168710917603e-06	0.000469527975917149
Manf	2.65057637217065	7.59158212875255	181.419799501522	6.06387169333007e-08	0.000106045938921366	1.71406903161824	7.59158212875255	80.7817059991185	3.04373854472349e-06	0.000419011476946276	-0.936507340552404	7.59158212875255	25.3150520804423	0.000446681929079261	0.011269168331908
Nrap	3.50791571285509	7.86665197561033	170.677256642179	8.20850778541454e-08	0.000106045938921366	-7.81558062829159e-05	7.86665197561033	1.00587531786612e-07	0.999752912695292	0.999755128437121	-3.50799386866138	7.86665197561033	170.675087924913	8.20902443118167e-08	0.000139851173879812
Edem1	2.61901559752443	8.85406580544142	169.489409952852	8.49732301472756e-08	0.000106045938921366	1.48976461417128	8.85406580544142	59.1307715303847	1.27691651964961e-05	0.000990475462123378	-1.12925098335315	8.85406580544142	34.7310205791298	0.000127281795510409	0.00598701021437094
Fosb	3.74115372156758	3.73948542646082	169.660459594096	8.49982478079282e-08	0.000106045938921366	0.451873089784772	3.73948542646082	2.29495014302389	0.159421039698728	0.361385736369067	-3.28928063178281	3.73948542646082	139.806461115004	2.20364888674636e-07	0.000199951086714686
Emd	2.07430414704615	6.35575097867537	150.270372089102	1.53896821021737e-07	0.000163747213902945	0.804105189149346	6.35575097867537	23.8213509391664	0.000562392600870198	0.00917196168183896	-1.2701989578968	6.35575097867537	59.4233105691256	1.24882832258981e-05	0.00143270752732976
Mycn	-4.41135987227831	6.85560460532144	147.142412023645	1.70715963432668e-07	0.000163747213902945	-3.87415440495479	6.85560460532144	120.677914184631	4.49262166618666e-07	0.000166077247593367	0.537205467323524	6.85560460532144	2.67586091383545	0.131574528354339	0.297830334506574
Eif2ak3	1.94387639449205	6.68872331183297	142.695970675922	1.98389332667196e-07	0.000163747213902945	1.38919075189517	6.68872331183297	75.0368165070351	4.29260382887544e-06	0.000516198539951876	-0.554685642596881	6.68872331183297	12.4849128010491	0.00505460895472091	0.0423238691082797
Dnajb9	3.24445335111718	7.80133308068774	139.482588718256	2.21807406477962e-07	0.000163747213902945	2.84317043784659	7.80133308068774	110.693431716371	6.81666904084271e-07	0.000219474753860165	-0.401282913270588	7.80133308068774	2.55448555159341	0.139715548761101	0.308791163016951
Fosl1	4.90769719854047	2.97969514393668	138.612736673462	2.43041855559886e-07	0.000163747213902945	1.01785689558925	2.97969514393668	4.28542950529142	0.0642178130820048	0.203156257487002	-3.88984030295122	2.97969514393668	104.600277837616	9.43232736308779e-07	0.00033622878361064
Unc5a	-2.73771972028325	5.18142253064091	136.048472094422	2.50679216970251e-07	0.000163747213902945	-1.03078944590361	5.18142253064091	22.4094859783858	0.000706203330175346	0.0108720047661081	1.70693027437964	5.18142253064091	55.3369172782416	1.71973048841541e-05	0.00171646300048743
Bdnf	3.59926756217197	2.67231837012821	135.496300170352	2.6294405590127e-07	0.000163747213902945	2.75951242531582	2.67231837012821	77.5375303427114	3.76389691128053e-06	0.000464933654877453	-0.839755136856144	2.67231837012821	11.1751866322598	0.00704031493586961	0.0505535338727684
Tenm4	-5.41655787403973	4.1616337282934	135.013223988334	2.69317677443085e-07	0.000163747213902945	-4.91044159284743	4.1616337282934	124.426024637913	4.00348336390031e-07	0.000166077247593367	0.506116281192302	4.1616337282934	0.921235887430145	0.358885255582366	0.548634359927644
Ficd	2.88599933130598	6.43774868321211	133.100644108209	2.78900173965541e-07	0.000163747213902945	2.26516283349165	6.43774868321211	85.5513495869284	2.32562315153794e-06	0.000380525322549183	-0.620836497814336	6.43774868321211	7.17549231856253	0.0223188129810538	0.0997153412551019
Nectin1	-2.33349958533464	6.88259173284411	129.010386091747	3.24699225512371e-07	0.000164166112177366	-2.29927494028427	6.88259173284411	125.875775920522	3.65983245889659e-07	0.000166077247593367	0.0342246450503699	6.88259173284411	0.0299873201856284	0.86582351553086	0.926633552274663
