genes	logFC_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
Slc22a15	-1.83222501653579	0.000745718932471389	-1.82677503969026	0.000985020547273847	0.00544997684552732	0.990464929126295
Ugdh	2.15954689781919	0.000748635144474145	1.03325177171268	0.0285750445740669	-1.12629512610651	0.023773020602055
Cxcl10	2.81395065595767	0.000755679657553773	1.68849718097959	0.0112815352021609	-1.12545347497808	0.0513187577516339
Man1c1	-1.25587179276983	0.000755708509036051	-1.40776337603292	0.000543410181738544	-0.151891583263092	0.559285193730587
Nup210	-1.5763738146476	0.000766248176105532	-1.4310386687321	0.00150505130737154	0.145335145915501	0.664563318590193
Igf1r	1.7865832213737	0.000769142088641361	1.17841333478158	0.00723103249098243	-0.608169886592122	0.10019404253789
Ets1	1.4891417985812	0.000769142088641361	-0.450681169168541	0.149334994252284	-1.93982296774975	0.000406228099812893
Cx3cl1	2.31894032384501	0.000772941047804684	-0.64145872787493	0.178766108090377	-2.96039905171994	0.000469527975917149
Sec23b	1.63617944088889	0.000772941047804684	1.4246396689057	0.00181265078442735	-0.211539771983184	0.525651035467225
Lrrc59	1.58826662509673	0.000780027893590614	1.33615594425751	0.0022308757008437	-0.252110680839219	0.431999499862489
Sel1l	2.62398883657369	0.000785037770516626	1.63570740557065	0.00904138573704759	-0.988281431003041	0.0710960549235326
Txndc11	1.66803139221761	0.000785037770516626	1.60278811818134	0.00122931504912139	-0.0652432740362687	0.863212099971852
Zswim4	2.11046369546634	0.000790312862922183	0.57277131263398	0.196382282093247	-1.53769238283236	0.00701467647252691
Bhlhe40	1.37691302098352	0.000805684743192743	1.35581397430242	0.00112878867548235	-0.0210990466810971	0.954273704958642
Gnpnat1	1.33686060200968	0.000805684743192743	0.468315826490919	0.102603157175745	-0.868544775518762	0.0119907576369814
Syde2	1.20289289513571	0.000816713848393067	0.19788218462074	0.466083180875642	-1.00501071051497	0.00408336632686
Pxdn	-2.64689964941341	0.000817945064287096	-2.37591412711593	0.0016433042345843	0.270985522297478	0.614777229373867
Cry1	1.91401533667693	0.00084878459888266	0.136616880197605	0.78174896517773	-1.77739845647932	0.00235447947735618
Fgfr2	-1.76026763887427	0.000849049821846361	-2.21782782732744	0.000380088769910669	-0.457560188453169	0.204977593831667
Kcnk3	2.78752863159831	0.000855353391266164	2.49674884487169	0.00171123353556744	-0.290779786726611	0.594749536974677
Dcun1d3	1.66735239423717	0.000862038746690638	0.898689645248216	0.0211926961733065	-0.768662748988953	0.0413259727657342
Nfil3	1.42101934391915	0.000862877770973692	0.535110662003921	0.0835446745301047	-0.88590868191523	0.0150097442830428
Gfpt1	1.53791759964055	0.000887164072485987	0.914261566436748	0.0140246866666674	-0.623656033203799	0.0663022050562935
Phospho1	-2.21331733120345	0.000887164072485987	-1.07140572540903	0.0290572554921809	1.14191160579442	0.0287843439130629
Sesn3	1.40865655613097	0.000919199523553485	1.68648413374204	0.000464933654877453	0.277827577611063	0.343626502120698
Klf6	1.82299264734043	0.000919199523553485	1.03756446655517	0.0165604720909634	-0.78542818078526	0.0542653402203267
Slit2	-1.24738833587833	0.00093342841163307	-0.625346863783181	0.0293476540279898	0.622041472095153	0.0353973072934285
Dnajb11	1.82574941628357	0.00093342841163307	1.39654282151863	0.0039592211680773	-0.429206594764946	0.254566528486943
Lrrc8b	1.10995879795137	0.000959347677610206	0.466665138204935	0.0609076690837926	-0.643293659746436	0.0208675457727475
Slc26a4	1.92399775073802	0.00100789831121407	1.64335143603752	0.00243985458997771	-0.280646314700505	0.481744177175797
Pdia4	2.26765574275479	0.00102212958708323	0.870332079928514	0.0772919728761319	-1.39732366282628	0.0164363721953126
Lrtm2	-2.98745651554904	0.00102212958708323	-2.30853143635471	0.00310490169966241	0.678925079194329	0.312233726172538
Cpt1a	-1.13295212415543	0.00102212958708323	-0.536009631126013	0.0395406509476597	0.596942493029413	0.0303360429236702
Fgfr1op	1.70302001095263	0.00102212958708323	0.718810880607639	0.06084390751782	-0.98420913034499	0.0210085778215255
Hsd17b7	1.66246552939637	0.00102212958708323	1.18819386667645	0.00630957096961997	-0.474271662719925	0.176761392586305
Ankh	1.99629157012142	0.00102212958708323	2.21060260978961	0.000839712466212626	0.214311039668187	0.616643375726948
Sema3f	-1.44139822116645	0.00102212958708323	-0.411046735891549	0.189963372025881	1.0303514852749	0.00974659430149182
Xylt2	-1.75042097532985	0.00102212958708323	-0.740260099358926	0.0571966038974755	1.01016087597092	0.0217685949048926
Klhl14	-2.05896586822159	0.00102709918937825	-1.63741742854353	0.00350743627931084	0.421548439678059	0.329179620196987
Hpd	3.0026185990301	0.00103375840191391	4.87355100934224	0.000116442423968163	1.87093241031215	0.00369230284948288
Zdhhc13	1.69038434398598	0.00103375840191391	0.675254193858095	0.0738853525279609	-1.01513015012789	0.0185799713988968
Uhrf1bp1l	1.81318644029614	0.00103535846516564	1.23324072909412	0.00813654878043781	-0.579945711202024	0.135924705038341
Sipa1l2	-3.12744083331093	0.0010383743475277	-3.07101056520966	0.00117841786125356	0.0564302681012678	0.959823654974555
Yipf1	-1.28019228448683	0.0010383743475277	-0.52303326951047	0.0677950464131478	0.757159014976362	0.0210085778215255
Hdlbp	1.41740569939146	0.0010383743475277	1.27407935023658	0.00209374353547806	-0.143326349154879	0.649890194731333
Azin1	1.30777215142847	0.0010383743475277	0.566641027322706	0.0571966038974755	-0.741131124105763	0.0237981139258082
Zfp36	1.6617809200397	0.0010383743475277	1.44480592084386	0.00242005092569531	-0.216974999195841	0.541231098917262
Cds1	1.30655349149216	0.001043276742984	0.0613368966337123	0.872357532015244	-1.24521659485845	0.00259321018542987
Ube2g2	1.41289131376536	0.001043276742984	0.835335667792385	0.01651284657532	-0.577555645972971	0.0718076994083124
Slc30a5	1.34192356229001	0.00104498775701662	0.745592781346032	0.0215498920715916	-0.596330780943981	0.0555196225205905
Psmd8	1.22606970239755	0.00105081849370483	0.62973887261568	0.0301410717719949	-0.596330829781873	0.0420536221847882
Zbtb10	1.41191576446511	0.00106535290978112	0.390131117958265	0.218199383287513	-1.02178464650685	0.00965057109608346
Tmem106c	-1.72774442987136	0.00106535290978112	-0.321295921753285	0.400295982424048	1.40644850811807	0.00614434910492773
Pdpr	-1.15772091603998	0.00106535290978112	-0.337017141054429	0.189963372025881	0.820703774985546	0.010782850755036
Cobl	-1.29796301988637	0.00106535290978112	-1.66900464939759	0.000397655203767271	-0.371041629511227	0.190970534837496
Zc3h12c	1.58986640432725	0.00106535290978112	-0.0822005485545661	0.859723070266795	-1.67206695288181	0.00167417693861155
Thbs1	1.77774103412518	0.00109214452405426	-1.04930900586741	0.0168631055519522	-2.82705003999259	0.00028364531854699
Hbegf	1.50512809541165	0.00109214452405426	0.160533974416646	0.683841026473964	-1.34459412099501	0.00386949122699471
Slc41a2	1.27402818718579	0.00109248728223244	1.43533477919916	0.000839712466212626	0.161306592013376	0.566348442022261
Myo1c	1.50294404400211	0.00110329530933183	1.02569406273412	0.00891472269960178	-0.477249981267986	0.147799353951186
